# Pressure:     3.000E-01 Ba
# Temperature:    275.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.3172046E-29
    0.505000      3.8665563E-29
    0.510050      4.4014647E-30
    0.515150      2.8283775E-31
    0.520302      2.1943805E-30
    0.525505      3.1286568E-30
    0.530760      8.0700461E-31
    0.536068      7.6517097E-30
    0.541428      2.4878711E-29
    0.546843      6.3723559E-30
    0.552311      3.9150362E-31
    0.557834      1.3309620E-30
    0.563413      1.1924659E-29
    0.569047      3.2155151E-29
    0.574737      1.6309746E-29
    0.580484      1.0842408E-29
    0.586289      3.2970948E-28
    0.592152      2.4240319E-28
    0.598074      2.9767789E-29
    0.604054      1.4825092E-30
    0.610095      1.4321851E-31
    0.616196      1.6590642E-31
    0.622358      2.0468807E-29
    0.628582      2.6403558E-29
    0.634867      1.7271458E-29
    0.641216      8.3245363E-29
    0.647628      1.7381532E-28
    0.654104      8.4586784E-29
    0.660645      1.0362989E-29
    0.667252      6.3631075E-31
    0.673924      1.3882728E-30
    0.680664      1.1424077E-29
    0.687470      2.6445555E-28
    0.694345      3.9172520E-28
    0.701288      2.4888465E-28
    0.708301      1.6193872E-28
    0.715384      3.1577148E-27
    0.722538      2.4031972E-27
    0.729764      4.8327229E-28
    0.737061      8.3965216E-29
    0.744432      7.6043697E-30
    0.751876      2.1284167E-30
    0.759395      4.4245235E-31
    0.766989      4.4639431E-31
    0.774659      3.1589603E-30
    0.782405      1.8447057E-28
    0.790229      1.9438220E-28
    0.798132      2.3881903E-28
    0.806113      8.8321685E-28
    0.814174      2.3255758E-27
    0.822316      2.0777178E-27
    0.830539      6.7286968E-28
    0.838844      3.7073492E-28
    0.847233      3.4585843E-28
    0.855705      3.4833348E-28
    0.864262      5.0188845E-28
    0.872905      8.4717431E-28
    0.881634      1.4605430E-27
    0.890450      1.7141635E-26
    0.899355      1.0934508E-26
    0.908348      5.7261586E-27
    0.917432      2.0506534E-27
    0.926606      5.3591110E-26
    0.935872      3.5288280E-26
    0.945231      3.0695061E-26
    0.954683      1.5272276E-26
    0.964230      4.7425009E-27
    0.973872      4.6231630E-27
    0.983611      4.4515422E-27
    0.993447      4.5837048E-27
    1.003382      4.3647855E-27
    1.013416      9.4487678E-27
    1.023550      1.3656129E-26
    1.033785      8.4307549E-27
    1.044123      2.7732718E-27
    1.054564      7.4704495E-28
    1.065110      1.1868039E-27
    1.075761      1.4107691E-27
    1.086519      1.7059895E-27
    1.097384      3.2202861E-27
    1.108358      2.4516881E-26
    1.119441      1.0303736E-25
    1.130636      8.9998682E-26
    1.141942      6.1846316E-26
    1.153361      6.5195268E-26
    1.164895      7.8506088E-26
    1.176544      3.6518722E-26
    1.188309      1.5950721E-26
    1.200192      1.8516635E-26
    1.212194      2.0180896E-26
    1.224316      9.6172354E-27
    1.236560      2.0617040E-27
    1.248925      3.1011932E-27
    1.261414      1.9436961E-27
    1.274028      3.5813662E-27
    1.286769      1.1682615E-26
    1.299636      1.7273160E-26
    1.312633      2.4374277E-26
    1.325759      4.3659265E-26
    1.339017      1.4411901E-25
    1.352407      1.3289644E-24
    1.365931      8.4766048E-25
    1.379590      1.0736412E-24
    1.393386      8.0390731E-25
    1.407320      3.2111121E-25
    1.421393      1.5699454E-25
    1.435607      1.4784233E-25
    1.449963      5.6167905E-26
    1.464463      1.1325236E-25
    1.479108      1.3672010E-25
    1.493899      1.9269301E-25
    1.508838      2.0712926E-25
    1.523926      9.8292646E-26
    1.539165      5.0288563E-26
    1.554557      1.2640973E-26
    1.570102      5.1122744E-27
    1.585803      3.0188421E-27
    1.601662      3.5050804E-27
    1.617678      3.0363984E-26
    1.633855      1.8129629E-25
    1.650193      1.0343658E-25
    1.666695      8.7439147E-26
    1.683362      1.1592004E-25
    1.700196      1.5101302E-25
    1.717198      1.2401965E-25
    1.734370      7.5191423E-26
    1.751714      4.4672095E-26
    1.769231      9.0377988E-26
    1.786923      1.7677710E-25
