# Pressure:     3.000E+01 Ba
# Temperature:    140.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.3657654E-31
    0.505000      1.3108217E-31
    0.510050      1.2581203E-31
    0.515150      1.2075680E-31
    0.520302      1.1590751E-31
    0.525505      1.3655939E-31
    0.530760      1.0679294E-31
    0.536068      1.0251162E-31
    0.541428      9.8404151E-32
    0.546843      9.4463340E-32
    0.552311      9.0682303E-32
    0.557834      8.7054448E-32
    0.563413      8.3573460E-32
    0.569047      8.0233290E-32
    0.574737      7.7028147E-32
    0.580484      7.3952480E-32
    0.586289      7.1000976E-32
    0.592152      6.8168541E-32
    0.598074      6.5450297E-32
    0.604054      6.2841569E-32
    0.610095      6.0337880E-32
    0.616196      5.7934937E-32
    0.622358      5.5628627E-32
    0.628582      6.0607239E-32
    0.634867      1.1100864E-31
    0.641216      2.2196132E-31
    0.647628      4.7293315E-32
    0.654104      1.0380644E-31
    0.660645      4.3610454E-32
    0.667252      4.1878933E-32
    0.673924      4.0216734E-32
    0.680664      3.8621050E-32
    0.687470      3.7089187E-32
    0.694345      3.5618562E-32
    0.701288      3.4206698E-32
    0.708301      3.2851223E-32
    0.715384      3.1549858E-32
    0.722538      3.0300420E-32
    0.729764      6.2963589E-32
    0.737061      2.7949036E-32
    0.744432      2.6843155E-32
    0.751876      2.5781325E-32
    0.759395      2.4761774E-32
    0.766989      2.3782803E-32
    0.774659      2.2842782E-32
    0.782405      2.1940145E-32
    0.790229      4.9907817E-32
    0.798132      2.7008235E-31
    0.806113      1.5532918E-31
    0.814174      1.2114899E-31
    0.822316      3.0615359E-30
    0.830539      8.5741794E-29
    0.838844      2.9229053E-28
    0.847233      2.5146573E-28
    0.855705      3.3588528E-28
    0.864262      4.3753515E-28
    0.872905      7.9137371E-28
    0.881634      1.1428799E-27
    0.890450      1.5284380E-26
    0.899355      6.8373329E-27
    0.908348      2.2575730E-28
    0.917432      2.0383748E-28
    0.926606      5.2587944E-28
    0.935872      2.2917212E-28
    0.945231      9.4503360E-29
    0.954683      1.5445349E-28
    0.964230      6.1882465E-28
    0.973872      1.0888440E-27
    0.983611      4.4323161E-27
    0.993447      4.3915293E-27
    1.003382      3.6865739E-27
    1.013416      7.4490251E-27
    1.023550      1.6890714E-26
    1.033785      7.1787470E-27
    1.044123      1.0985221E-27
    1.054564      5.3821282E-28
    1.065110      8.5618673E-28
    1.075761      1.2040010E-27
    1.086519      6.6987196E-28
    1.097384      6.5318837E-28
    1.108358      9.9036271E-28
    1.119441      1.1509248E-26
    1.130636      1.2945278E-26
    1.141942      3.5939671E-27
    1.153361      3.1958670E-26
    1.164895      8.3615940E-26
    1.176544      2.3943741E-26
    1.188309      9.2367904E-27
    1.200192      1.7600047E-26
    1.212194      2.0969394E-26
    1.224316      7.5582499E-27
    1.236560      7.2061183E-28
    1.248925      1.8367797E-27
    1.261414      2.7594091E-27
    1.274028      1.8576686E-27
    1.286769      1.1092202E-26
    1.299636      1.5368656E-26
    1.312633      1.7680116E-26
    1.325759      2.3446400E-26
    1.339017      1.7581212E-26
    1.352407      4.4046579E-26
    1.365931      3.0049664E-26
    1.379590      4.1674983E-26
    1.393386      6.4316284E-26
    1.407320      3.1213653E-26
    1.421393      9.8623330E-27
    1.435607      1.5602679E-26
    1.449963      1.9153021E-26
    1.464463      3.0401586E-26
    1.479108      8.9744398E-26
    1.493899      2.3637761E-25
    1.508838      2.2141906E-25
    1.523926      9.0391854E-26
    1.539165      1.8930465E-26
    1.554557      5.7729309E-27
    1.570102      3.9955708E-27
    1.585803      1.4340240E-27
    1.601662      7.9900812E-28
    1.617678      7.6839606E-27
    1.633855      1.3126906E-25
    1.650193      1.9825754E-25
    1.666695      1.1454096E-25
    1.683362      6.8980277E-26
    1.700196      1.8067500E-25
    1.717198      1.5115364E-25
    1.734370      4.1878829E-26
    1.751714      2.0265734E-26
    1.769231      8.7178747E-26
    1.786923      8.7053059E-26
    1.804792      2.9288615E-26
    1.822840      9.3757018E-27
    1.841069      9.1266996E-27
    1.859479      3.0499713E-27
    1.878074      1.5933334E-27
    1.896855      4.4570994E-27
