# Pressure:     1.000E+02 Ba
# Temperature:   1000.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      3.5289064E-28
    0.505000      3.9936441E-28
    0.510050      4.5943811E-28
    0.515150      5.3045631E-28
    0.520302      6.2715267E-28
    0.525505      7.4207191E-28
    0.530760      8.9657779E-28
    0.536068      1.1194904E-27
    0.541428      1.4421231E-27
    0.546843      1.9041508E-27
    0.552311      2.6345013E-27
    0.557834      3.8946009E-27
    0.563413      6.2082029E-27
    0.569047      1.1455136E-26
    0.574737      2.7793146E-26
    0.580484      1.4001103E-25
    0.586289      3.4310159E-24
    0.592152      8.0020183E-26
    0.598074      2.1867161E-26
    0.604054      1.0214531E-26
    0.610095      5.9477471E-27
    0.616196      3.8591705E-27
    0.622358      2.7561632E-27
    0.628582      2.0718051E-27
    0.634867      1.6232941E-27
    0.641216      1.4175684E-27
    0.647628      1.1655168E-27
    0.654104      1.0109966E-27
    0.660645      8.2225338E-28
    0.667252      6.7242455E-28
    0.673924      5.8244605E-28
    0.680664      5.1643102E-28
    0.687470      8.7616936E-28
    0.694345      5.9430945E-28
    0.701288      6.7573189E-28
    0.708301      7.8285079E-28
    0.715384      2.0880662E-27
    0.722538      1.8350486E-27
    0.729764      1.5612891E-27
    0.737061      9.6841625E-28
    0.744432      5.8709741E-28
    0.751876      4.0002146E-28
    0.759395      4.6493128E-28
    0.766989      9.5502666E-28
    0.774659      2.8570306E-28
    0.782405      3.9513510E-28
    0.790229      3.4859542E-28
    0.798132      4.1560616E-28
    0.806113      2.5866499E-27
    0.814174      1.6529096E-27
    0.822316      1.7049069E-27
    0.830539      2.2761825E-27
    0.838844      1.7364616E-27
    0.847233      1.3497669E-27
    0.855705      1.1556331E-27
    0.864262      1.4536207E-27
    0.872905      1.8238596E-27
    0.881634      5.0730392E-27
    0.890450      1.0536536E-26
    0.899355      6.3705364E-27
    0.908348      6.7154789E-27
    0.917432      8.0923198E-27
    0.926606      4.1622932E-26
    0.935872      2.1283218E-26
    0.945231      5.5175533E-26
    0.954683      2.8986568E-26
    0.964230      1.7718128E-26
    0.973872      1.3424994E-26
    0.983611      9.8925778E-27
    0.993447      8.3593288E-27
    1.003382      8.3098758E-27
    1.013416      1.0197873E-26
    1.023550      7.8231895E-27
    1.033785      7.2056499E-27
    1.044123      5.2851897E-27
    1.054564      3.8821324E-27
    1.065110      3.6416540E-27
    1.075761      3.6827364E-27
    1.086519      7.3683778E-27
    1.097384      2.5281166E-26
    1.108358      7.1471229E-26
    1.119441      5.6694291E-26
    1.130636      7.6962202E-26
    1.141942      5.7013311E-26
    1.153361      7.4992202E-26
    1.164895      7.0702487E-26
    1.176544      4.3826528E-26
    1.188309      3.1692957E-26
    1.200192      2.2507992E-26
    1.212194      1.7509366E-26
    1.224316      1.3167960E-26
    1.236560      9.8737012E-27
    1.248925      7.7097170E-27
    1.261414      7.2646367E-27
    1.274028      1.3691809E-26
    1.286769      1.9252073E-26
    1.299636      2.5057712E-26
    1.312633      3.2408545E-26
    1.325759      6.8486672E-25
    1.339017      8.7163201E-25
    1.352407      1.0318448E-24
    1.365931      4.5973560E-25
    1.379590      8.4529304E-25
    1.393386      7.1826941E-25
    1.407320      7.9624635E-25
    1.421393      6.2552320E-25
    1.435607      4.2971781E-25
    1.449963      2.7861368E-25
    1.464463      2.5615627E-25
    1.479108      2.1965672E-25
    1.493899      1.6308911E-25
    1.508838      1.6157298E-25
    1.523926      1.1974987E-25
    1.539165      8.8533161E-26
    1.554557      6.2083045E-26
    1.570102      4.2440028E-26
    1.585803      3.7081296E-26
    1.601662      7.0739495E-26
    1.617678      1.3831959E-25
    1.633855      1.4202318E-25
    1.650193      1.1701733E-25
    1.666695      1.6480094E-25
    1.683362      1.4998495E-25
    1.700196      1.3556001E-25
    1.717198      1.2850857E-25
    1.734370      1.7189859E-25
    1.751714      2.8164719E-25
    1.769231      5.1515246E-25
    1.786923      9.2227909E-25
    1.804792      1.3075486E-24
    1.822840      1.2396503E-24
    1.841069      1.1930599E-24
    1.859479      1.5981752E-24
    1.878074      5.9111897E-25
    1.896855      9.1264765E-25
    1.915823      1.2381695E-24
    1.934982      1.1946749E-24
    1.954331      9.5207128E-25
    1.973875      6.7650857E-25
    1.993613      4.4362558E-25
    2.013550      3.4454613E-25
    2.033685      2.4030812E-25
    2.054022      1.4700340E-25
    2.074562      9.6030517E-26
    2.095308      7.8658496E-26
    2.116261      8.8901641E-26
    2.137423      1.4440596E-25
    2.158798      2.7537191E-25
    2.180386      5.4220522E-25
    2.202190      7.5704342E-25
    2.224211      8.4993511E-25
    2.246454      1.0862285E-24
    2.268918      1.2393051E-24
    2.291607      1.0941987E-24
    2.314523      1.5169290E-24
    2.337669      1.4845798E-24
    2.361045      1.5113930E-24
    2.384656      1.1304685E-24
