# Pressure:     1.000E-04 Ba
# Temperature:   3000.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.1394676E-32
    0.505000      1.0936460E-32
    0.510050      1.0496935E-32
    0.515150      1.0075322E-32
    0.520302      9.6708764E-33
    0.525505      9.2828854E-33
    0.530760      8.9150718E-33
    0.536068      8.5535668E-33
    0.541428      8.2109602E-33
    0.546843      7.8822478E-33
    0.552311      7.5668560E-33
    0.557834      7.2642355E-33
    0.563413      1.6208264E-32
    0.569047      6.6952262E-33
    0.574737      6.4278507E-33
    0.580484      6.1712715E-33
    0.586289      4.0388298E-28
    0.592152      5.8505922E-33
    0.598074      5.5935623E-33
    0.604054      5.3117261E-33
    0.610095      5.6450388E-33
    0.616196      4.8436229E-33
    0.622358      4.9437569E-33
    0.628582      4.5199805E-33
    0.634867      4.3019647E-33
    0.641216      4.4542789E-33
    0.647628      4.2164384E-33
    0.654104      4.4122554E-33
    0.660645      5.0847690E-33
    0.667252      4.2909251E-33
    0.673924      4.0318864E-33
    0.680664      3.8189220E-33
    0.687470      9.7503712E-33
    0.694345      4.7820820E-33
    0.701288      6.0401140E-33
    0.708301      8.0653223E-33
    0.715384      1.7803318E-32
    0.722538      1.6969764E-32
    0.729764      1.7569351E-32
    0.737061      1.7125527E-32
    0.744432      2.1426612E-32
    0.751876      2.2805809E-32
    0.759395      1.8857954E-32
    0.766989      9.6689314E-30
    0.774659      2.4697737E-32
    0.782405      1.9157067E-32
    0.790229      1.7686156E-32
    0.798132      1.9966825E-32
    0.806113      4.4550104E-32
    0.814174      5.3873684E-31
    0.822316      4.3389441E-32
    0.830539      4.2137369E-32
    0.838844      5.2543959E-32
    0.847233      5.5418086E-32
    0.855705      4.8239438E-32
    0.864262      4.4602728E-32
    0.872905      4.3866056E-32
    0.881634      5.2557338E-32
    0.890450      7.8313537E-32
    0.899355      5.6956677E-32
    0.908348      8.8288525E-32
    0.917432      1.2632190E-31
    0.926606      3.4816890E-31
    0.935872      2.8378665E-31
    0.945231      5.0261177E-31
    0.954683      3.2137390E-31
    0.964230      4.0440984E-31
    0.973872      4.5446729E-31
    0.983611      3.9209991E-31
    0.993447      3.5169864E-31
    1.003382      3.3127364E-31
    1.013416      3.3955074E-31
    1.023550      3.2875083E-31
    1.033785      2.7919669E-31
    1.044123      2.6161850E-31
    1.054564      2.2940635E-31
    1.065110      2.1221950E-31
    1.075761      2.1937937E-31
    1.086519      4.3198521E-31
    1.097384      7.2647457E-31
    1.108358      1.0558884E-30
    1.119441      8.7974767E-31
    1.130636      1.2414503E-30
    1.141942      1.1850897E-30
    1.153361      1.2235927E-30
    1.164895      1.3883461E-30
    1.176544      5.2999280E-30
    1.188309      1.3640955E-30
    1.200192      1.2515721E-30
    1.212194      1.0770309E-30
    1.224316      1.0206682E-30
    1.236560      9.4977711E-31
    1.248925      9.3600301E-31
    1.261414      8.6064669E-31
    1.274028      7.7577423E-31
    1.286769      7.2245427E-31
    1.299636      8.7203087E-31
    1.312633      1.1495787E-30
    1.325759      2.6238832E-29
    1.339017      1.5562828E-29
    1.352407      8.2996550E-30
    1.365931      6.7412386E-30
    1.379590      7.9428257E-30
    1.393386      9.6692706E-30
    1.407320      1.2388335E-29
    1.421393      1.2224228E-29
