# Pressure:     1.000E-05 Ba
# Temperature:   1500.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      9.1177570E-30
    0.505000      7.0298931E-30
    0.510050      6.9031022E-30
    0.515150      3.6829660E-30
    0.520302      2.1819780E-30
    0.525505      1.9912741E-30
    0.530760      1.9290400E-30
    0.536068      4.0644022E-30
    0.541428      5.3126605E-30
    0.546843      4.9412457E-30
    0.552311      3.6327453E-30
    0.557834      2.4413901E-30
    0.563413      7.7446910E-30
    0.569047      6.9995142E-30
    0.574737      8.9952989E-30
    0.580484      1.2474007E-29
    0.586289      9.8093899E-25
    0.592152      5.8821167E-29
    0.598074      5.1186472E-29
    0.604054      3.2540558E-29
    0.610095      1.7431507E-29
    0.616196      1.8198901E-29
    0.622358      2.5079265E-29
    0.628582      1.9917907E-29
    0.634867      2.3133617E-29
    0.641216      6.5779313E-29
    0.647628      6.1991014E-29
    0.654104      6.8828725E-29
    0.660645      5.4137178E-29
    0.667252      3.4646614E-29
    0.673924      3.0977223E-29
    0.680664      2.3759972E-29
    0.687470      2.0138872E-28
    0.694345      8.6477644E-29
    0.701288      1.3634538E-28
    0.708301      2.1734834E-28
    0.715384      6.9597179E-28
    0.722538      5.6047350E-28
    0.729764      5.9745657E-28
    0.737061      4.3457360E-28
    0.744432      3.3640207E-28
    0.751876      2.4814684E-28
    0.759395      1.6057566E-28
    0.766989      2.3331150E-25
    0.774659      1.2777324E-28
    0.782405      1.5803647E-28
    0.790229      1.4511091E-28
    0.798132      2.2321639E-28
    0.806113      1.1920316E-27
    0.814174      8.2749692E-28
    0.822316      9.0853336E-28
    0.830539      8.6363465E-28
    0.838844      7.7395673E-28
    0.847233      6.0527726E-28
    0.855705      3.8770650E-28
    0.864262      2.9735919E-28
    0.872905      2.4167650E-28
    0.881634      4.4842560E-28
    0.890450      1.8852463E-27
    0.899355      8.6291426E-28
    0.908348      1.8228860E-27
    0.917432      3.1774207E-27
    0.926606      1.4000553E-26
    0.935872      7.6194441E-27
    0.945231      2.5901997E-26
    0.954683      1.1642054E-26
    0.964230      9.3517882E-27
    0.973872      7.8668289E-27
    0.983611      5.2765268E-27
    0.993447      3.8221858E-27
    1.003382      2.7634032E-27
    1.013416      2.0351672E-27
    1.023550      1.5696163E-27
    1.033785      1.1232498E-27
    1.044123      9.1665949E-28
    1.054564      8.1687445E-28
    1.065110      8.0129983E-28
    1.075761      8.8067897E-28
    1.086519      4.2768034E-27
    1.097384      1.3514947E-26
    1.108358      2.8187688E-26
    1.119441      2.0290735E-26
    1.130636      2.8430963E-26
    1.141942      1.9425189E-26
    1.153361      2.1159178E-26
    1.164895      2.4960735E-26
    1.176544      1.7222003E-26
    1.188309      1.2248072E-26
    1.200192      8.6906326E-27
    1.212194      6.0112390E-27
    1.224316      4.6809979E-27
    1.236560      3.4991825E-27
    1.248925      2.9568338E-27
    1.261414      3.4689643E-27
    1.274028      4.0490246E-27
    1.286769      5.4438308E-27
    1.299636      6.9383773E-27
    1.312633      1.0601776E-26
    1.325759      5.7998257E-25
    1.339017      5.2316385E-25
    1.352407      3.3242993E-25
    1.365931      1.8580923E-25
    1.379590      2.9996028E-25
    1.393386      3.0778740E-25
    1.407320      3.7398327E-25
    1.421393      3.1999867E-25
    1.435607      2.6034951E-25
    1.449963      2.1507322E-25
    1.464463      1.5389605E-25
    1.479108      1.1568520E-25
    1.493899      9.0784246E-26
    1.508838      7.3291423E-26
    1.523926      5.4448966E-26
    1.539165      4.0158398E-26
    1.554557      3.0515294E-26
    1.570102      2.1933472E-26
    1.585803      1.6350890E-26
    1.601662      1.2372580E-26
    1.617678      1.0245259E-26
    1.633855      8.4205165E-27
    1.650193      7.9561248E-27
    1.666695      6.7492921E-27
    1.683362      9.7812955E-27
    1.700196      1.7577684E-26
    1.717198      4.3076724E-26
    1.734370      8.3570808E-26
    1.751714      1.5769528E-25
    1.769231      2.8386548E-25
    1.786923      4.0001907E-25
    1.804792      5.4525610E-25
    1.822840      4.9420723E-25
    1.841069      6.1611787E-25
    1.859479      6.2501002E-25
    1.878074      3.3396592E-25
    1.896855      3.2279812E-25
    1.915823      3.8207925E-25
    1.934982      4.8888603E-25
    1.954331      4.9953082E-25
    1.973875      3.8415143E-25
    1.993613      2.9716980E-25
    2.013550      2.0491963E-25
    2.033685      1.5559121E-25
    2.054022      1.0425188E-25
    2.074562      6.8792768E-26
    2.095308      4.5898149E-26
    2.116261      3.1436451E-26
    2.137423      2.3108020E-26
    2.158798      1.9512098E-26
    2.180386      1.7893715E-26
    2.202190      1.9127168E-26
    2.224211      2.2220755E-26
    2.246454      2.1815088E-26
    2.268918      2.7759724E-26
    2.291607      1.0510536E-25
    2.314523      1.7991334E-25
    2.337669      1.2326471E-25
    2.361045      1.7965748E-25
    2.384656      2.2090295E-25
    2.408502      3.5179146E-25
    2.432587      6.3036362E-25
    2.456913      1.3976208E-24
    2.481482      2.1076133E-24
    2.506297      3.2462947E-24
    2.531360      3.4800680E-24
    2.556674      3.6378856E-24
    2.582240      2.9101359E-24
    2.608063      1.7373724E-24
    2.634143      1.2151292E-24
    2.660485      5.0576461E-24
    2.687090      3.9128511E-24
    2.713961      3.8027334E-24
    2.741100      4.2073946E-24
    2.768511      3.3092106E-24
    2.796196      3.7708554E-24
    2.824158      4.2667224E-24
    2.852400      3.2666632E-24
    2.880924      2.8704648E-24
    2.909733      2.9277751E-24
    2.938830      2.3371653E-24
    2.968219      1.8870549E-24
    2.997901      1.3542037E-24
    3.027880      1.3433020E-24
    3.058159      9.0352840E-25
    3.088740      7.8001492E-25
    3.119628      6.6036279E-25
    3.150824      5.0357092E-25
    3.182332      4.7633933E-25
    3.214156      3.3666865E-25
    3.246297      2.8946962E-25
    3.278760      2.6511210E-25
    3.311548      2.1829903E-25
    3.344663      2.2359271E-25
    3.378110      2.0267695E-25
    3.411891      1.7041697E-25
    3.446010      1.5288547E-25
    3.480470      1.3054377E-25
    3.515275      1.1407789E-25
    3.550427      9.1762424E-26
    3.585932      7.6681040E-26
    3.621791      5.7934632E-26
    3.658009      4.9016516E-26
    3.694589      3.8293434E-26
    3.731535      3.4730398E-26
    3.768850      2.7966798E-26
    3.806539      2.7829363E-26
    3.844604      3.7469771E-26
    3.883050      2.2286650E-26
    3.921881      6.5074353E-26
    3.961099      3.2394674E-26
    4.000710      4.5611764E-26
    4.040718      7.3341211E-26
    4.081125      9.4638964E-26
    4.121936      1.1424577E-25
    4.163155      1.5113926E-25
    4.204787      1.9435936E-25
    4.246835      2.1060069E-25
    4.289303      2.5864061E-25
    4.332196      4.8421775E-25
    4.375518      1.6242884E-24
    4.419273      2.0989938E-24
    4.463466      5.5655742E-24
    4.508101      6.2533070E-24
    4.553182      7.6526333E-24
    4.598714      6.8444374E-24
    4.644701      3.3997633E-24
    4.691148      4.5094760E-24
    4.738059      5.1648717E-24
    4.785440      4.4472032E-24
    4.833294      4.4512371E-24
    4.881627      4.7608965E-24
    4.930443      4.4716206E-24
    4.979748      3.9791905E-24
    5.029545      3.0860362E-24
    5.079841      2.5116267E-24
    5.130639      2.4402727E-24
    5.181946      2.6095795E-24
    5.233765      2.9094644E-24
    5.286103      2.3795766E-24
    5.338964      3.1500108E-24
    5.392353      3.6209610E-24
    5.446277      2.3974448E-24
    5.500740      3.8125318E-24
    5.555747      3.6687948E-24
    5.611304      4.4751851E-24
    5.667418      5.2071320E-24
    5.724092      4.3703469E-24
    5.781333      4.7724205E-24
    5.839146      4.2108275E-24
    5.897537      3.1002170E-24
    5.956513      1.5437741E-24
    6.016078      3.0910233E-24
    6.076239      1.6262601E-24
    6.137001      1.4926560E-24
    6.198371      1.0458920E-24
    6.260355      7.6519050E-25
    6.322958      1.1185352E-24
    6.386188      3.0352970E-24
    6.450050      6.1797344E-24
    6.514550      6.7952560E-24
    6.579696      1.4018717E-23
    6.645493      6.5343702E-24
    6.711948      5.4131260E-24
    6.779067      8.2501080E-24
    6.846858      5.1703245E-24
    6.915326      5.1109857E-24
    6.984480      6.9269492E-24
    7.054324      4.8227241E-24
    7.124868      4.4557219E-24
    7.196116      5.1578679E-24
    7.268078      5.9927158E-24
    7.340758      3.3533899E-24
    7.414166      6.6043475E-24
    7.488308      4.4710424E-24
    7.563191      5.1738247E-24
    7.638823      3.5228199E-24
    7.715211      3.4124076E-24
    7.792363      4.1707512E-24
    7.870286      3.3467716E-24
    7.948989      3.5413470E-24
    8.028479      3.2877741E-24
    8.108764      3.9002764E-24
    8.189852      2.3254505E-24
    8.271750      3.1455449E-24
    8.354468      1.6755350E-24
    8.438012      1.9647712E-24
    8.522393      1.3200342E-24
    8.607616      1.2275791E-24
    8.693693      1.2177492E-24
    8.780630      1.0151903E-24
    8.868436      9.3948289E-25
    8.957120      9.3897508E-25
    9.046691      7.3873919E-25
    9.137158      6.1731010E-25
    9.228530      5.9536529E-25
    9.320815      1.2245607E-24
    9.414023      8.2101359E-25
    9.508164      6.1812414E-25
    9.603245      4.6655717E-25
    9.699278      4.6411287E-25
    9.796270      1.5141160E-24
    9.894233      4.6946545E-25
    9.993175      7.1828210E-25
   10.093107      4.4667529E-25
   10.194038      4.9443790E-25
   10.295979      1.0031354E-24
   10.398938      8.1926504E-25
   10.502928      7.3362606E-25
   10.607957      1.6915493E-24
   10.714037      5.7669884E-25
   10.821177      1.9833712E-24
   10.929389      1.4161651E-24
   11.038683      8.6127846E-25
   11.149070      1.2187616E-24
   11.260560      8.4779628E-25
   11.373166      1.2984012E-24
   11.486898      1.7774205E-24
   11.601766      1.1678188E-24
   11.717784      2.4494102E-24
   11.834962      1.4040236E-24
   11.953312      1.6536182E-24
   12.072845      1.8512390E-24
   12.193573      2.0354976E-24
   12.315509      2.6974064E-24
   12.438664      3.3660835E-24
   12.563051      2.9099047E-24
   12.688681      3.1612101E-24
   12.815568      2.4970754E-24
   12.943724      4.1542157E-24
   13.073161      3.6919954E-24
   13.203892      5.5078324E-24
   13.335931      4.0421423E-24
   13.469291      4.6033526E-24
   13.603984      6.5998401E-24
   13.740023      6.6491738E-24
   13.877424      6.0868022E-24
   14.016198      4.0761573E-24
   14.156360      6.6882646E-24
   14.297924      5.1182842E-24
   14.440903      6.4695700E-24
   14.585312      9.6320663E-24
   14.731165      8.0169033E-24
   14.878477      6.2035764E-24
   15.027261      9.7382571E-24
   15.177534      4.5207531E-24
   15.329309      1.1150116E-23
   15.482602      1.1164649E-23
   15.637428      1.0059844E-23
   15.793803      4.2524169E-24
   15.951741      1.4542858E-23
   16.111258      1.4070687E-23
   16.272371      6.9638906E-24
   16.435094      8.0573289E-24
   16.599445      1.0677878E-23
   16.765440      8.9691112E-24
   16.933094      5.6602630E-24
   17.102425      1.1743565E-23
   17.273449      1.7272902E-23
   17.446184      6.8543065E-24
   17.620646      1.1740301E-23
   17.796852      1.3147986E-23
   17.974821      1.5783749E-23
   18.154569      4.1325542E-24
   18.336115      2.4730011E-23
   18.519476      2.4727047E-23
   18.704670      3.8102118E-24
   18.891717      1.6330601E-23
   19.080634      1.4892291E-23
   19.271441      3.6662232E-23
   19.464155      1.3419291E-23
   19.658797      9.6453250E-24
   19.855385      4.1606867E-24
   20.053938      1.9439488E-23
   20.254478      1.5308769E-23
   20.457023      9.1283575E-24
   20.661593      9.4966232E-24
   20.868209      2.3510063E-23
   21.076891      1.1982610E-23
   21.287660      2.6102696E-24
   21.500536      1.5532308E-23
   21.715542      1.7620579E-23
   21.932697      1.0244368E-23
   22.152024      1.4092882E-23
   22.373544      1.7685105E-23
