# Pressure:     1.000E+02 Ba
# Temperature:    160.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.3657654E-31
    0.505000      1.3108217E-31
    0.510050      1.2581203E-31
    0.515150      1.2075680E-31
    0.520302      1.1590751E-31
    0.525505      1.3170879E-31
    0.530760      1.0679294E-31
    0.536068      1.0251162E-31
    0.541428      9.8404151E-32
    0.546843      9.4463340E-32
    0.552311      9.0682304E-32
    0.557834      8.7054449E-32
    0.563413      8.3573460E-32
    0.569047      8.0233291E-32
    0.574737      7.7028147E-32
    0.580484      7.3952481E-32
    0.586289      7.1000976E-32
    0.592152      6.8168541E-32
    0.598074      6.5450297E-32
    0.604054      6.2841570E-32
    0.610095      6.0337880E-32
    0.616196      5.7934937E-32
    0.622358      5.5628627E-32
    0.628582      6.7167625E-32
    0.634867      1.4716993E-31
    0.641216      8.9243114E-32
    0.647628      4.7293315E-32
    0.654104      6.9504962E-32
    0.660645      4.3610454E-32
    0.667252      4.1878933E-32
    0.673924      4.0216734E-32
    0.680664      3.8621050E-32
    0.687470      3.7089187E-32
    0.694345      3.5618562E-32
    0.701288      3.4206698E-32
    0.708301      3.2851223E-32
    0.715384      3.1549858E-32
    0.722538      3.0300420E-32
    0.729764      6.1873772E-32
    0.737061      2.7949036E-32
    0.744432      2.6843155E-32
    0.751876      2.5781325E-32
    0.759395      2.4761774E-32
    0.766989      2.3782803E-32
    0.774659      2.2842782E-32
    0.782405      2.1940145E-32
    0.790229      9.1731531E-32
    0.798132      3.2967487E-31
    0.806113      4.7559022E-31
    0.814174      2.9849647E-31
    0.822316      2.2818490E-30
    0.830539      9.0847387E-29
    0.838844      2.8840217E-28
    0.847233      2.5723562E-28
    0.855705      3.3172976E-28
    0.864262      4.4731977E-28
    0.872905      7.9110807E-28
    0.881634      1.1575270E-27
    0.890450      1.5132197E-26
    0.899355      6.8808054E-27
    0.908348      2.4621116E-28
    0.917432      2.1837344E-28
    0.926606      5.0623571E-28
    0.935872      2.3643220E-28
    0.945231      9.9091443E-29
    0.954683      1.5671997E-28
    0.964230      6.0469475E-28
    0.973872      1.1416861E-27
    0.983611      4.4139827E-27
    0.993447      4.4128517E-27
    1.003382      3.7076489E-27
    1.013416      7.8582310E-27
    1.023550      1.6178329E-26
    1.033785      7.2327194E-27
    1.044123      1.2795621E-27
    1.054564      5.4560998E-28
    1.065110      9.0157556E-28
    1.075761      1.1642611E-27
    1.086519      7.1788858E-28
    1.097384      6.2562630E-28
    1.108358      1.1713990E-27
    1.119441      1.1969289E-26
    1.130636      1.2572789E-26
    1.141942      3.9636206E-27
    1.153361      3.7000428E-26
    1.164895      8.2635520E-26
    1.176544      2.6393334E-26
    1.188309      1.0016926E-26
    1.200192      1.7638187E-26
    1.212194      2.0389490E-26
    1.224316      7.9844226E-27
    1.236560      8.0188450E-28
    1.248925      2.1608693E-27
    1.261414      2.6079301E-27
    1.274028      2.0574609E-27
    1.286769      1.1358618E-26
    1.299636      1.4946108E-26
    1.312633      1.8635708E-26
    1.325759      2.2385585E-26
    1.339017      1.8715719E-26
    1.352407      4.2849733E-26
    1.365931      2.9907461E-26
    1.379590      4.4632611E-26
    1.393386      6.1742578E-26
    1.407320      3.1719796E-26
    1.421393      1.0841533E-26
    1.435607      1.6630752E-26
    1.449963      1.8735828E-26
    1.464463      3.0890389E-26
    1.479108      9.3035881E-26
    1.493899      2.3357991E-25
    1.508838      2.1629595E-25
    1.523926      9.7251264E-26
    1.539165      2.3509348E-26
    1.554557      5.9560959E-27
    1.570102      4.0677653E-27
    1.585803      1.5195716E-27
    1.601662      9.8018232E-28
    1.617678      9.5594953E-27
    1.633855      1.4054779E-25
    1.650193      1.8909558E-25
    1.666695      1.2318288E-25
    1.683362      8.4444839E-26
    1.700196      1.7137896E-25
    1.717198      1.4819012E-25
    1.734370      4.7843957E-26
    1.751714      2.2087622E-26
    1.769231      8.1701241E-26
    1.786923      8.5918235E-26
    1.804792      3.2528258E-26
    1.822840      1.0913972E-26
    1.841069      9.0351887E-27
    1.859479      3.3442025E-27
    1.878074      1.8834242E-27
    1.896855      5.7932289E-27
