# Pressure:     1.000E-02 Ba
# Temperature:   1100.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      9.6402966E-30
    0.505000      8.0108133E-30
    0.510050      7.8272248E-30
    0.515150      5.3426480E-30
    0.520302      5.2265246E-30
    0.525505      6.2724515E-30
    0.530760      7.0395331E-30
    0.536068      9.8935439E-30
    0.541428      1.2523090E-29
    0.546843      1.3781501E-29
    0.552311      1.6065528E-29
    0.557834      2.1253010E-29
    0.563413      3.7239679E-29
    0.569047      6.3366947E-29
    0.574737      1.4992813E-28
    0.580484      7.6034625E-28
    0.586289      3.7573131E-23
    0.592152      5.0002368E-28
    0.598074      1.4878828E-28
    0.604054      6.5876983E-29
    0.610095      3.3039511E-29
    0.616196      2.1867234E-29
    0.622358      2.5354510E-29
    0.628582      1.8429947E-29
    0.634867      1.9406753E-29
    0.641216      4.9301528E-29
    0.647628      4.3658854E-29
    0.654104      4.8632478E-29
    0.660645      3.2897456E-29
    0.667252      1.7893452E-29
    0.673924      1.4719459E-29
    0.680664      1.3716662E-29
    0.687470      1.3724281E-28
    0.694345      6.3140897E-29
    0.701288      9.3589041E-29
    0.708301      1.4183205E-28
    0.715384      4.9945669E-28
    0.722538      4.2670862E-28
    0.729764      4.1860852E-28
    0.737061      2.6909686E-28
    0.744432      1.8923083E-28
    0.751876      2.3009739E-28
    0.759395      1.5092373E-27
    0.766989      8.6109637E-24
    0.774659      3.3588428E-28
    0.782405      1.5108175E-28
    0.790229      1.0232178E-28
    0.798132      1.2819487E-28
    0.806113      7.5122516E-28
    0.814174      4.8912585E-28
    0.822316      5.4272499E-28
    0.830539      5.0548607E-28
    0.838844      3.4708110E-28
    0.847233      2.1286920E-28
    0.855705      1.0852419E-28
    0.864262      7.5970539E-29
    0.872905      6.6403724E-29
    0.881634      1.8539406E-28
    0.890450      1.2655718E-27
    0.899355      5.4172072E-28
    0.908348      1.2129361E-27
    0.917432      1.8296508E-27
    0.926606      1.0325477E-26
    0.935872      5.1084513E-27
    0.945231      1.8376785E-26
    0.954683      8.2203425E-27
    0.964230      5.0492517E-27
    0.973872      3.5980424E-27
    0.983611      2.0885739E-27
    0.993447      1.2393877E-27
    1.003382      7.1802642E-28
    1.013416      4.1241593E-28
    1.023550      2.6629489E-28
    1.033785      1.6793878E-28
    1.044123      1.5037711E-28
    1.054564      1.6881657E-28
    1.065110      2.2464345E-28
    1.075761      2.7965980E-28
    1.086519      1.4613298E-27
    1.097384      6.5865465E-27
    1.108358      1.7281100E-26
    1.119441      1.2695080E-26
    1.130636      1.8008254E-26
    1.141942      1.0948611E-26
    1.153361      1.2192333E-26
    1.164895      1.2119985E-26
    1.176544      6.6737699E-27
    1.188309      3.6775631E-27
    1.200192      2.2082566E-27
    1.212194      1.3839957E-27
    1.224316      9.5447040E-28
    1.236560      6.4834310E-28
    1.248925      5.3369313E-28
    1.261414      7.7534290E-28
    1.274028      1.3036831E-27
    1.286769      2.3399603E-27
    1.299636      3.0388818E-27
    1.312633      4.6283286E-27
    1.325759      1.9908466E-25
    1.339017      2.7367048E-25
    1.352407      2.4266636E-25
    1.365931      1.2688465E-25
    1.379590      2.2368385E-25
    1.393386      2.0876395E-25
    1.407320      2.4293880E-25
    1.421393      1.8417948E-25
    1.435607      1.3277443E-25
    1.449963      8.6541754E-26
    1.464463      6.0521603E-26
    1.479108      4.2575579E-26
    1.493899      3.0302063E-26
    1.508838      2.2131384E-26
    1.523926      1.3578147E-26
    1.539165      7.9534688E-27
    1.554557      5.8372470E-27
    1.570102      3.5402117E-27
    1.585803      2.4308891E-27
    1.601662      1.7655418E-27
    1.617678      1.5481209E-27
    1.633855      1.4546962E-27
    1.650193      1.7654129E-27
    1.666695      1.7418734E-27
    1.683362      2.7204287E-27
    1.700196      4.4649549E-27
    1.717198      1.1408306E-26
    1.734370      2.6819298E-26
    1.751714      6.4733926E-26
    1.769231      1.3841547E-25
    1.786923      2.0560813E-25
    1.804792      3.2486126E-25
    1.822840      3.2589356E-25
    1.841069      3.6475868E-25
    1.859479      4.2400412E-25
    1.878074      1.6288820E-25
    1.896855      1.9530669E-25
    1.915823      2.5092670E-25
    1.934982      2.7352262E-25
    1.954331      2.5687883E-25
    1.973875      1.4921552E-25
    1.993613      9.4813711E-26
    2.013550      5.4258802E-26
    2.033685      3.4914498E-26
    2.054022      1.7579760E-26
    2.074562      9.9465948E-27
    2.095308      5.9782551E-27
    2.116261      3.9180840E-27
    2.137423      3.0287515E-27
    2.158798      3.0839079E-27
    2.180386      3.5252192E-27
    2.202190      4.8280488E-27
    2.224211      6.2810010E-27
    2.246454      7.4359392E-27
    2.268918      9.5870704E-27
    2.291607      6.8056913E-26
    2.314523      1.0911943E-25
    2.337669      5.8368501E-26
    2.361045      1.2194243E-25
    2.384656      9.9137519E-26
    2.408502      1.2705422E-25
    2.432587      2.3722922E-25
    2.456913      5.9319844E-25
    2.481482      1.0477355E-24
    2.506297      1.8903553E-24
    2.531360      2.2061985E-24
    2.556674      2.6238114E-24
    2.582240      2.0167581E-24
    2.608063      1.1991031E-24
    2.634143      8.3066137E-25
    2.660485      3.8469909E-24
    2.687090      2.4839749E-24
    2.713961      2.4251463E-24
    2.741100      2.8907981E-24
    2.768511      2.2042024E-24
    2.796196      2.2549358E-24
    2.824158      2.4447473E-24
    2.852400      1.7603389E-24
    2.880924      1.3087555E-24
    2.909733      1.2399362E-24
    2.938830      8.5053045E-25
    2.968219      6.3232251E-25
    2.997901      4.2934376E-25
    3.027880      4.3052566E-25
    3.058159      2.4395493E-25
    3.088740      2.2402733E-25
    3.119628      2.0052179E-25
    3.150824      1.4643433E-25
    3.182332      1.6639827E-25
    3.214156      1.0054568E-25
    3.246297      9.1928861E-26
    3.278760      9.7684784E-26
    3.311548      1.2329332E-25
    3.344663      8.3114696E-26
    3.378110      7.4068118E-26
    3.411891      6.3120755E-26
    3.446010      5.2725565E-26
    3.480470      3.8405319E-26
    3.515275      3.3183452E-26
    3.550427      2.4367156E-26
    3.585932      1.7844024E-26
    3.621791      1.1888546E-26
    3.658009      9.0255992E-27
    3.694589      6.5320116E-27
    3.731535      5.9637377E-27
    3.768850      4.6013286E-27
    3.806539      4.8023679E-27
    3.844604      8.5421862E-27
    3.883050      3.6502329E-27
    3.921881      1.6948238E-26
    3.961099      5.4500213E-27
    4.000710      8.2202434E-27
    4.040718      1.6012757E-26
    4.081125      2.2873393E-26
    4.121936      3.1143985E-26
    4.163155      6.2317941E-26
    4.204787      1.3370949E-25
    4.246835      1.4729479E-25
    4.289303      1.6357523E-25
    4.332196      2.1849847E-25
    4.375518      7.6693172E-25
    4.419273      1.8123051E-24
    4.463466      4.4759503E-24
    4.508101      7.3657820E-24
    4.553182      8.7187785E-24
    4.598714      7.5563913E-24
    4.644701      3.0688540E-24
    4.691148      5.0990402E-24
    4.738059      6.1885275E-24
    4.785440      5.5682077E-24
    4.833294      5.8186951E-24
    4.881627      5.0390450E-24
    4.930443      3.7160062E-24
    4.979748      2.4435565E-24
    5.029545      1.5683439E-24
    5.079841      1.0991364E-24
    5.130639      9.9471917E-25
    5.181946      1.1819957E-24
    5.233765      1.3145059E-24
    5.286103      1.0359936E-24
    5.338964      1.3111654E-24
    5.392353      2.3100969E-24
    5.446277      1.2265733E-24
    5.500740      2.2323017E-24
    5.555747      2.3843804E-24
    5.611304      3.2238957E-24
    5.667418      4.3464253E-24
    5.724092      3.5726621E-24
    5.781333      3.1412459E-24
    5.839146      3.3717748E-24
    5.897537      2.2518196E-24
    5.956513      9.7757649E-25
    6.016078      2.2905404E-24
    6.076239      1.1447974E-24
    6.137001      8.0719619E-25
    6.198371      4.3908944E-25
    6.260355      3.3122805E-25
    6.322958      6.5725455E-25
    6.386188      2.2986593E-24
    6.450050      4.0744172E-24
    6.514550      4.4590624E-24
    6.579696      1.1731398E-23
    6.645493      3.8667970E-24
    6.711948      2.8256919E-24
    6.779067      4.4237399E-24
    6.846858      2.6747483E-24
    6.915326      2.7760084E-24
    6.984480      4.1479038E-24
    7.054324      2.2897564E-24
    7.124868      2.2603620E-24
    7.196116      2.6536246E-24
    7.268078      3.3820672E-24
    7.340758      1.4927117E-24
    7.414166      3.9700951E-24
    7.488308      1.9539243E-24
    7.563191      2.7813870E-24
    7.638823      1.5308578E-24
    7.715211      1.3753856E-24
    7.792363      1.6734443E-24
    7.870286      1.2746514E-24
    7.948989      1.1911832E-24
    8.028479      1.0683601E-24
    8.108764      1.3967748E-24
    8.189852      7.1118867E-25
    8.271750      9.7181633E-25
    8.354468      4.4928211E-25
    8.438012      5.4432798E-25
    8.522393      2.8690634E-25
    8.607616      2.8897682E-25
    8.693693      2.8591021E-25
    8.780630      1.8984481E-25
    8.868436      2.1018858E-25
    8.957120      2.0191717E-25
    9.046691      1.3526688E-25
    9.137158      9.1347482E-26
    9.228530      1.1178202E-25
    9.320815      2.4846976E-25
    9.414023      1.3057892E-25
    9.508164      1.2122294E-25
    9.603245      8.5293415E-26
    9.699278      6.8454928E-26
    9.796270      4.2932713E-25
    9.894233      5.7536724E-26
    9.993175      1.1514407E-25
   10.093107      5.4651959E-26
   10.194038      9.5223217E-26
   10.295979      2.2330037E-25
   10.398938      1.1122034E-25
   10.502928      1.3334386E-25
   10.607957      2.3536363E-25
   10.714037      6.0139592E-26
   10.821177      4.1151549E-25
   10.929389      3.5573693E-25
