# Pressure:     1.000E-02 Ba
# Temperature:     75.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.3657654E-31
    0.505000      1.3108217E-31
    0.510050      1.2581203E-31
    0.515150      1.2075680E-31
    0.520302      1.1590751E-31
    0.525505      1.1166780E-31
    0.530760      1.0679295E-31
    0.536068      1.0251162E-31
    0.541428      9.8404152E-32
    0.546843      9.4463341E-32
    0.552311      9.0682304E-32
    0.557834      8.7054449E-32
    0.563413      8.3573461E-32
    0.569047      8.0233291E-32
    0.574737      7.7028148E-32
    0.580484      7.3952481E-32
    0.586289      7.1000977E-32
    0.592152      6.8168542E-32
    0.598074      6.5450298E-32
    0.604054      6.3249393E-32
    0.610095      6.0337881E-32
    0.616196      5.7934937E-32
    0.622358      5.5628627E-32
    0.628582      5.3415010E-32
    0.634867      5.1290307E-32
    0.641216      1.2154122E-31
    0.647628      4.7293315E-32
    0.654104      4.9442192E-32
    0.660645      4.3610455E-32
    0.667252      4.1878933E-32
    0.673924      4.0216735E-32
    0.680664      3.8621051E-32
    0.687470      3.7089187E-32
    0.694345      3.5618562E-32
    0.701288      3.4206699E-32
    0.708301      3.2851223E-32
    0.715384      3.1549858E-32
    0.722538      3.0300420E-32
    0.729764      3.1030726E-32
    0.737061      2.7949036E-32
    0.744432      2.6843155E-32
    0.751876      2.5781325E-32
    0.759395      2.4761775E-32
    0.766989      2.3782804E-32
    0.774659      2.2842782E-32
    0.782405      2.1940145E-32
    0.790229      2.1073394E-32
    0.798132      2.0867363E-32
    0.806113      1.9441846E-32
    0.814174      1.8674344E-32
    0.822316      9.3383619E-31
    0.830539      7.5709641E-29
    0.838844      3.7288799E-28
    0.847233      2.7396368E-28
    0.855705      4.0707129E-28
    0.864262      4.4404521E-28
    0.872905      9.4116429E-28
    0.881634      1.4235474E-27
    0.890450      2.0632112E-26
    0.899355      7.1330316E-27
    0.908348      2.1002057E-28
    0.917432      1.8578637E-28
    0.926606      7.7325402E-28
    0.935872      2.1370085E-28
    0.945231      8.8997992E-29
    0.954683      1.7439474E-28
    0.964230      6.5916925E-28
    0.973872      7.8157646E-28
    0.983611      5.7485985E-27
    0.993447      4.8999854E-27
    1.003382      4.0819671E-27
    1.013416      8.7319252E-27
    1.023550      2.2037802E-26
    1.033785      6.2409466E-27
    1.044123      6.6783117E-28
    1.054564      5.8548693E-28
    1.065110      6.8668037E-28
    1.075761      1.5478215E-27
    1.086519      6.6302922E-28
    1.097384      8.0584134E-28
    1.108358      6.6678928E-28
    1.119441      1.0416445E-26
    1.130636      1.7848084E-26
    1.141942      3.2611401E-27
    1.153361      1.6554520E-26
    1.164895      1.0924354E-25
    1.176544      1.7452335E-26
    1.188309      8.7430886E-27
    1.200192      2.8720985E-26
    1.212194      2.5575261E-26
    1.224316      6.7205381E-27
    1.236560      5.2356550E-28
    1.248925      8.2346796E-28
    1.261414      2.2339513E-27
    1.274028      8.2705758E-28
    1.286769      6.6811996E-27
    1.299636      1.4517854E-26
    1.312633      1.2658898E-26
    1.325759      1.4032314E-26
    1.339017      1.5525698E-26
    1.352407      7.0106927E-26
    1.365931      4.2498648E-26
    1.379590      3.9768700E-26
    1.393386      1.0939494E-25
    1.407320      3.5412880E-26
    1.421393      6.2014720E-27
    1.435607      9.1223852E-27
    1.449963      1.5850756E-26
    1.464463      2.3775768E-26
    1.479108      6.1477095E-26
    1.493899      1.9999179E-25
    1.508838      2.1419651E-25
    1.523926      5.0681794E-26
    1.539165      6.1351609E-27
    1.554557      5.1711871E-27
    1.570102      4.1422064E-27
    1.585803      8.0850964E-28
    1.601662      2.6950926E-28
    1.617678      1.9612787E-27
    1.633855      4.0674335E-26
    1.650193      1.1999037E-25
    1.666695      4.3428640E-26
    1.683362      3.2176548E-26
    1.700196      2.2357161E-25
    1.717198      1.4692099E-25
    1.734370      1.9860963E-26
    1.751714      1.9373336E-26
    1.769231      1.1914346E-25
    1.786923      1.0338843E-25
    1.804792      1.6279165E-26
    1.822840      4.7314287E-27
    1.841069      1.2338833E-26
    1.859479      1.8863768E-27
    1.878074      5.0269803E-28
    1.896855      8.4165922E-28
