# Pressure:     1.000E+01 Ba
# Temperature:    340.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.1365882E-29
    0.505000      3.7172396E-29
    0.510050      6.1648531E-30
    0.515150      3.9740861E-31
    0.520302      2.2460509E-30
    0.525505      2.7696855E-30
    0.530760      8.3198081E-31
    0.536068      8.9854555E-30
    0.541428      2.2458672E-29
    0.546843      7.4136977E-30
    0.552311      6.2126269E-31
    0.557834      1.3354078E-30
    0.563413      1.3524504E-29
    0.569047      3.0128328E-29
    0.574737      1.7855812E-29
    0.580484      1.2901890E-29
    0.586289      3.2442830E-28
    0.592152      2.5324081E-28
    0.598074      4.5163721E-29
    0.604054      2.7043944E-30
    0.610095      2.1578549E-31
    0.616196      2.0911766E-31
    0.622358      2.4327093E-29
    0.628582      2.7024590E-29
    0.634867      2.0156883E-29
    0.641216      1.0025771E-28
    0.647628      1.6570324E-28
    0.654104      1.0788967E-28
    0.660645      1.3885671E-29
    0.667252      1.1231897E-30
    0.673924      1.7547547E-30
    0.680664      1.2352372E-29
    0.687470      3.2124232E-28
    0.694345      3.3618942E-28
    0.701288      2.7738070E-28
    0.708301      1.8364771E-28
    0.715384      2.9893124E-27
    0.722538      2.3125608E-27
    0.729764      6.2616298E-28
    0.737061      1.2872340E-28
    0.744432      1.2512681E-29
    0.751876      2.5683559E-30
    0.759395      6.0547846E-31
    0.766989      6.8535794E-31
    0.774659      4.5980233E-30
    0.782405      2.2350111E-28
    0.790229      2.0295377E-28
    0.798132      2.6097176E-28
    0.806113      1.2071095E-27
    0.814174      2.3793807E-27
    0.822316      2.1371074E-27
    0.830539      8.9581651E-28
    0.838844      3.7741241E-28
    0.847233      3.7315078E-28
    0.855705      3.5579119E-28
    0.864262      5.1301368E-28
    0.872905      8.4111394E-28
    0.881634      1.6465340E-27
    0.890450      1.5787140E-26
    0.899355      9.7216773E-27
    0.908348      6.0975708E-27
    0.917432      2.4922808E-27
    0.926606      5.5089018E-26
    0.935872      3.3463380E-26
    0.945231      3.7314780E-26
    0.954683      1.8434364E-26
    0.964230      5.0773971E-27
    0.973872      5.2498415E-27
    0.983611      4.2195707E-27
    0.993447      4.3334848E-27
    1.003382      4.4693722E-27
    1.013416      9.3594733E-27
    1.023550      1.1642443E-26
    1.033785      7.9362044E-27
    1.044123      3.2115223E-27
    1.054564      8.8883836E-28
    1.065110      1.2448171E-27
    1.075761      1.3372806E-27
    1.086519      1.8292739E-27
    1.097384      3.7224169E-27
    1.108358      3.3625063E-26
    1.119441      1.0238923E-25
    1.130636      8.8333238E-26
    1.141942      6.1844916E-26
    1.153361      6.9748478E-26
    1.164895      7.1983911E-26
    1.176544      3.4123306E-26
    1.188309      1.7924535E-26
    1.200192      1.7400875E-26
    1.212194      1.8148834E-26
    1.224316      9.1010778E-27
    1.236560      2.6737425E-27
    1.248925      3.2975234E-27
    1.261414      1.7404531E-27
    1.274028      4.1860459E-27
    1.286769      1.1103253E-26
    1.299636      1.6984567E-26
    1.312633      2.4182782E-26
    1.325759      4.3504520E-26
    1.339017      2.3038244E-25
    1.352407      1.4823495E-24
    1.365931      7.3959629E-25
    1.379590      1.0437853E-24
    1.393386      8.6163845E-25
    1.407320      4.1939411E-25
    1.421393      2.0953535E-25
    1.435607      1.5460723E-25
    1.449963      5.6459283E-26
    1.464463      1.2982881E-25
    1.479108      1.4513568E-25
    1.493899      1.6753844E-25
    1.508838      1.9079403E-25
    1.523926      9.8842011E-26
    1.539165      5.9456043E-26
    1.554557      1.7583707E-26
    1.570102      5.9790360E-27
    1.585803      3.5886413E-27
    1.601662      5.0227387E-27
    1.617678      4.4303399E-26
    1.633855      2.1447909E-25
    1.650193      9.5924669E-26
    1.666695      1.0189060E-25
    1.683362      1.2540449E-25
    1.700196      1.3504538E-25
    1.717198      1.1186503E-25
    1.734370      7.8887579E-26
    1.751714      5.5908531E-26
    1.769231      9.6679163E-26
    1.786923      2.5892620E-25
    1.804792      9.4255638E-25
    1.822840      1.8989997E-24
    1.841069      1.6823635E-24
    1.859479      2.4699306E-24
    1.878074      6.4982814E-25
    1.896855      1.4446918E-24
    1.915823      7.3567275E-25
    1.934982      5.0275699E-25
    1.954331      4.0132614E-25
    1.973875      3.5261793E-25
    1.993613      3.2048739E-25
    2.013550      1.9774621E-25
    2.033685      5.0185557E-26
    2.054022      1.7192296E-26
    2.074562      6.5654661E-27
    2.095308      2.7386440E-27
    2.116261      9.2592621E-27
    2.137423      3.9589148E-26
    2.158798      9.5899865E-26
    2.180386      2.2117373E-25
    2.202190      5.1290447E-25
    2.224211      8.3103482E-25
    2.246454      1.3149657E-24
    2.268918      1.2756551E-24
    2.291607      1.2614829E-24
    2.314523      1.1772631E-24
    2.337669      1.5711282E-24
    2.361045      1.7835165E-24
    2.384656      8.4254976E-25
    2.408502      3.8878928E-25
    2.432587      2.2603243E-25
    2.456913      1.7184876E-25
    2.481482      3.6719119E-25
    2.506297      1.6229078E-24
    2.531360      4.5507264E-24
    2.556674      1.3114403E-23
    2.582240      2.2180460E-23
    2.608063      1.3889387E-23
    2.634143      6.9316615E-24
    2.660485      1.5182672E-23
    2.687090      9.0345784E-24
    2.713961      1.2118986E-23
    2.741100      1.5060275E-23
    2.768511      5.7390199E-24
    2.796196      2.8888121E-24
    2.824158      2.1490393E-24
    2.852400      1.1801737E-24
    2.880924      1.1402860E-24
    2.909733      7.6443847E-25
    2.938830      6.5876530E-25
    2.968219      5.5686645E-25
    2.997901      5.5303939E-25
    3.027880      4.5343794E-25
    3.058159      3.7504659E-25
    3.088740      5.3897308E-25
    3.119628      1.0779880E-24
    3.150824      4.1364757E-24
    3.182332      1.9595294E-23
    3.214156      2.4500688E-23
    3.246297      1.9764289E-23
    3.278760      6.5653380E-24
    3.311548      1.0195125E-23
    3.344663      1.1913938E-23
    3.378110      1.3848465E-23
    3.411891      8.3791907E-24
    3.446010      3.2627410E-24
    3.480470      1.1236934E-24
    3.515275      1.1834922E-24
    3.550427      6.2836611E-25
    3.585932      4.2687251E-25
    3.621791      3.8074746E-25
    3.658009      2.5195721E-25
    3.694589      3.3140356E-25
    3.731535      1.6739679E-25
    3.768850      1.5602190E-25
    3.806539      7.8611867E-26
    3.844604      1.3882322E-25
    3.883050      9.7695454E-26
    3.921881      7.9193272E-26
    3.961099      7.4421697E-26
    4.000710      6.8089040E-26
    4.040718      5.4976619E-26
    4.081125      3.1138689E-26
    4.121936      2.0009471E-26
    4.163155      1.7396587E-26
