# Pressure:     3.000E-06 Ba
# Temperature:    290.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.4510872E-29
    0.505000      3.5249007E-29
    0.510050      5.1089408E-30
    0.515150      2.8539090E-31
    0.520302      2.2843965E-30
    0.525505      2.7748534E-30
    0.530760      7.5347400E-31
    0.536068      8.3304818E-30
    0.541428      2.3594167E-29
    0.546843      6.5943195E-30
    0.552311      4.9804617E-31
    0.557834      1.2856563E-30
    0.563413      1.2244528E-29
    0.569047      3.2042564E-29
    0.574737      1.6441637E-29
    0.580484      1.0696636E-29
    0.586289      3.2551706E-28
    0.592152      2.0809580E-28
    0.598074      3.5918726E-29
    0.604054      1.6937742E-30
    0.610095      1.5653041E-31
    0.616196      1.2102759E-31
    0.622358      2.0576451E-29
    0.628582      2.1563742E-29
    0.634867      1.8200681E-29
    0.641216      7.6081172E-29
    0.647628      1.4025673E-28
    0.654104      8.6067844E-29
    0.660645      9.8176692E-30
    0.667252      6.4091610E-31
    0.673924      1.2831765E-30
    0.680664      1.0797089E-29
    0.687470      2.5694122E-28
    0.694345      3.3406801E-28
    0.701288      2.4218948E-28
    0.708301      1.7644203E-28
    0.715384      2.4055655E-27
    0.722538      2.0706298E-27
    0.729764      4.3969368E-28
    0.737061      9.2090036E-29
    0.744432      8.1702536E-30
    0.751876      1.8249149E-30
    0.759395      3.9661572E-31
    0.766989      3.4068408E-31
    0.774659      2.5380294E-30
    0.782405      1.3830316E-28
    0.790229      1.5389211E-28
    0.798132      2.1810962E-28
    0.806113      8.7725843E-28
    0.814174      1.1281088E-27
    0.822316      1.1041366E-27
    0.830539      6.4849942E-28
    0.838844      3.6676556E-28
    0.847233      3.1936794E-28
    0.855705      2.8150905E-28
    0.864262      3.2570569E-28
    0.872905      4.3850109E-28
    0.881634      8.3559900E-28
    0.890450      1.5571935E-26
    0.899355      9.7166523E-27
    0.908348      5.3148557E-27
    0.917432      1.5842631E-27
    0.926606      4.1191713E-26
    0.935872      2.0117289E-26
    0.945231      2.4623697E-26
    0.954683      1.4156362E-26
    0.964230      4.2010452E-27
    0.973872      3.0384221E-27
    0.983611      2.5302405E-27
    0.993447      2.7082554E-27
    1.003382      2.8374923E-27
    1.013416      2.8799287E-27
    1.023550      3.1599344E-27
    1.033785      1.2153803E-27
    1.044123      3.8500501E-28
    1.054564      1.3988642E-28
    1.065110      1.9270874E-28
    1.075761      3.3228967E-28
    1.086519      9.9587230E-28
    1.097384      2.5812781E-27
    1.108358      2.2338622E-26
    1.119441      5.9431576E-26
    1.130636      7.1851416E-26
    1.141942      3.3509771E-26
    1.153361      6.4324431E-26
    1.164895      7.6983530E-26
    1.176544      3.3845832E-26
    1.188309      7.0131615E-27
    1.200192      3.4434704E-27
    1.212194      2.7230717E-27
    1.224316      1.2998683E-27
    1.236560      3.6214683E-28
    1.248925      3.5783695E-28
    1.261414      2.2190252E-28
    1.274028      5.2266949E-28
    1.286769      2.0107484E-27
    1.299636      4.7908336E-27
    1.312633      1.1794411E-26
    1.325759      3.7263942E-26
    1.339017      1.2100184E-25
    1.352407      7.6549176E-25
    1.365931      4.9540409E-25
    1.379590      7.0153654E-25
    1.393386      5.6116078E-25
    1.407320      2.6363608E-25
    1.421393      1.3616569E-25
    1.435607      1.0297590E-25
    1.449963      4.1761941E-26
    1.464463      4.9127615E-26
    1.479108      3.2082116E-26
    1.493899      2.1979797E-26
    1.508838      2.1215501E-26
    1.523926      9.7573975E-27
    1.539165      5.2088547E-27
    1.554557      2.3478389E-27
    1.570102      7.8257132E-28
    1.585803      4.8868508E-28
    1.601662      2.0063577E-27
    1.617678      2.8504390E-26
    1.633855      1.1278944E-25
    1.650193      7.9408066E-26
    1.666695      7.6109153E-26
    1.683362      1.0866924E-25
    1.700196      1.4967259E-25
    1.717198      1.1826456E-25
    1.734370      7.5136240E-26
    1.751714      4.5483861E-26
    1.769231      8.6132857E-26
    1.786923      1.4518761E-25
    1.804792      2.6660580E-25
    1.822840      5.1139915E-25
    1.841069      6.5188835E-25
    1.859479      1.0870886E-24
    1.878074      2.0287327E-25
    1.896855      4.6966407E-25
    1.915823      3.1218443E-25
    1.934982      1.1794110E-25
    1.954331      5.9079653E-26
    1.973875      3.5251801E-26
    1.993613      2.8217919E-26
    2.013550      1.4820318E-26
    2.033685      4.2110514E-27
    2.054022      1.5682289E-27
    2.074562      7.6181915E-28
    2.095308      7.4010511E-28
    2.116261      5.2104729E-27
    2.137423      2.1944954E-26
    2.158798      8.1516637E-26
    2.180386      8.5870373E-26
    2.202190      1.5875277E-25
    2.224211      4.5928094E-25
    2.246454      8.7331702E-25
    2.268918      9.9708240E-25
    2.291607      1.2068472E-24
    2.314523      9.8020442E-25
    2.337669      1.4178775E-24
    2.361045      1.5810826E-24
    2.384656      5.3159572E-25
    2.408502      2.8909553E-25
    2.432587      1.4234027E-25
    2.456913      8.3532701E-26
    2.481482      1.2736459E-25
    2.506297      4.4766187E-25
    2.531360      9.3335514E-25
    2.556674      3.9489523E-24
    2.582240      5.0239434E-24
    2.608063      3.0214099E-24
    2.634143      1.9586193E-24
    2.660485      6.9777271E-24
    2.687090      2.8904138E-24
    2.713961      2.1165643E-24
    2.741100      3.6143484E-24
    2.768511      1.8005417E-24
    2.796196      8.7165945E-25
    2.824158      8.0084102E-25
    2.852400      3.7538538E-25
    2.880924      2.7382681E-25
    2.909733      1.4089314E-25
    2.938830      1.4604342E-25
    2.968219      6.3862008E-26
    2.997901      6.7007158E-26
    3.027880      1.0036318E-25
    3.058159      5.3434387E-26
    3.088740      1.0718574E-25
    3.119628      2.5312419E-25
    3.150824      1.3019856E-24
    3.182332      5.6866074E-24
    3.214156      5.9506118E-24
    3.246297      5.6111648E-24
    3.278760      4.2028971E-24
    3.311548      6.2034931E-24
    3.344663      4.2147787E-24
    3.378110      5.5445095E-24
    3.411891      3.3084760E-24
    3.446010      1.5670957E-24
    3.480470      6.2158554E-25
    3.515275      9.7446490E-25
    3.550427      6.4655596E-25
    3.585932      4.6185248E-25
    3.621791      2.8884684E-25
    3.658009      1.9431450E-25
    3.694589      2.5922637E-25
    3.731535      1.2201237E-25
    3.768850      1.2932870E-25
    3.806539      5.1247073E-26
    3.844604      1.3517227E-25
    3.883050      7.2385915E-26
    3.921881      6.2534504E-26
    3.961099      4.6719830E-26
    4.000710      2.9319105E-26
    4.040718      2.5320402E-26
    4.081125      1.0878330E-26
    4.121936      7.6914299E-27
    4.163155      4.7753433E-27
    4.204787      4.3743870E-27
    4.246835      3.1871680E-27
    4.289303      2.0298876E-27
    4.332196      1.5535456E-27
    4.375518      1.5652640E-27
    4.419273      1.8259476E-27
    4.463466      1.0485350E-27
    4.508101      3.6205342E-27
    4.553182      1.5062200E-27
    4.598714      1.9378271E-27
    4.644701      6.1839806E-27
    4.691148      6.4149651E-27
    4.738059      2.8798138E-27
    4.785440      3.8504282E-27
    4.833294      3.8660649E-27
    4.881627      9.0781393E-27
    4.930443      2.0248417E-26
    4.979748      3.7507590E-26
    5.029545      3.1760879E-27
    5.079841      2.8652455E-26
    5.130639      1.0104672E-25
    5.181946      1.3058644E-25
    5.233765      1.4530079E-25
    5.286103      2.9167662E-26
    5.338964      1.1146416E-25
    5.392353      1.3501859E-24
    5.446277      1.9105713E-25
    5.500740      3.5052507E-25
    5.555747      6.6020782E-25
    5.611304      9.3948234E-25
    5.667418      1.4156118E-24
    5.724092      2.5971575E-24
    5.781333      1.7696738E-24
    5.839146      3.4608877E-24
    5.897537      2.1663151E-24
    5.956513      1.2199939E-24
    6.016078      2.8259564E-24
    6.076239      1.0768687E-24
    6.137001      8.5907969E-25
    6.198371      1.9117382E-25
    6.260355      1.1535904E-25
    6.322958      5.3880758E-25
    6.386188      2.4541529E-24
    6.450050      2.8798015E-24
    6.514550      2.7466308E-24
    6.579696      8.4372854E-24
    6.645493      1.2109162E-24
    6.711948      5.1966809E-25
    6.779067      1.0301723E-24
    6.846858      7.3969358E-25
    6.915326      8.0713792E-25
    6.984480      1.1424552E-24
    7.054324      3.4045058E-25
    7.124868      6.4566959E-25
    7.196116      7.7476405E-25
    7.268078      1.6741442E-24
    7.340758      4.5231042E-24
    7.414166      6.1609582E-24
    7.488308      3.5959812E-24
    7.563191      1.2584610E-24
    7.638823      5.6208949E-23
    7.715211      4.4503993E-24
    7.792363      2.4453387E-24
    7.870286      2.6081991E-24
    7.948989      2.1810999E-24
    8.028479      1.6823127E-24
    8.108764      8.4664763E-25
    8.189852      5.3811771E-25
    8.271750      2.5852218E-25
    8.354468      1.5497286E-25
    8.438012      8.1612084E-26
    8.522393      3.0498351E-26
    8.607616      4.2461925E-26
    8.693693      3.1734610E-26
    8.780630      2.5951249E-26
    8.868436      5.8955726E-26
    8.957120      1.6909990E-26
    9.046691      5.1701813E-26
    9.137158      5.1959063E-26
    9.228530      2.8530091E-26
    9.320815      2.7967703E-26
