# Pressure:     1.000E-04 Ba
# Temperature:   3500.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.0913664E-32
    0.505000      1.0474772E-32
    0.510050      1.0053783E-32
    0.515150      9.6499518E-33
    0.520302      9.2625651E-33
    0.525505      8.8909400E-33
    0.530760      8.5344226E-33
    0.536068      8.1923872E-33
    0.541428      7.8642345E-33
    0.546843      7.5493905E-33
    0.552311      7.2473059E-33
    0.557834      6.9574544E-33
    0.563413      6.6793320E-33
    0.569047      6.4124560E-33
    0.574737      6.1563640E-33
    0.580484      5.9106132E-33
    0.586289      1.6468994E-29
    0.592152      5.4484555E-33
    0.598074      5.2312527E-33
    0.604054      5.0227977E-33
    0.610095      4.8227328E-33
    0.616196      4.6307155E-33
    0.622358      4.4464173E-33
    0.628582      4.2695237E-33
    0.634867      4.0997329E-33
    0.641216      3.9367561E-33
    0.647628      3.7803160E-33
    0.654104      3.6301470E-33
    0.660645      3.4859947E-33
    0.667252      3.3476148E-33
    0.673924      3.2147735E-33
    0.680664      3.0872463E-33
    0.687470      2.9648182E-33
    0.694345      2.8472829E-33
    0.701288      2.7344426E-33
    0.708301      2.6261078E-33
    0.715384      2.5220965E-33
    0.722538      2.4222344E-33
    0.729764      2.3263542E-33
    0.737061      2.2342955E-33
    0.744432      2.1459044E-33
    0.751876      2.0610334E-33
    0.759395      1.9795409E-33
    0.766989      6.0906614E-31
    0.774659      2.1382687E-33
    0.782405      1.7544178E-33
    0.790229      1.6847223E-33
    0.798132      1.6181930E-33
    0.806113      1.5543062E-33
    0.814174      2.0580469E-32
    0.822316      1.5243805E-33
    0.830539      1.3774630E-33
    0.838844      1.3231294E-33
    0.847233      1.2709502E-33
    0.855705      1.2208393E-33
    0.864262      1.1727141E-33
    0.872905      1.1264953E-33
    0.881634      1.1511650E-33
    0.890450      1.0641906E-33
    0.899355      9.9853217E-34
    0.908348      9.7807801E-34
    0.917432      1.0412931E-33
    0.926606      1.6930593E-33
    0.935872      1.4047294E-33
    0.945231      2.4348544E-33
    0.954683      1.5235535E-33
    0.964230      1.8261150E-33
    0.973872      1.9910898E-33
    0.983611      1.7364109E-33
    0.993447      1.5624494E-33
