# Pressure:     1.000E-03 Ba
# Temperature:   4000.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.0879960E-32
    0.505000      1.0442357E-32
    0.510050      1.0022608E-32
    0.515150      9.6199699E-33
    0.520302      9.2337312E-33
    0.525505      8.8632106E-33
    0.530760      8.5077559E-33
    0.536068      8.1667428E-33
    0.541428      7.8395735E-33
    0.546843      7.5256757E-33
    0.552311      7.2245013E-33
    0.557834      6.9355254E-33
    0.563413      7.2493818E-33
    0.569047      6.3921794E-33
    0.574737      6.1368667E-33
    0.580484      5.8918655E-33
    0.586289      7.2718266E-29
    0.592152      5.4311224E-33
    0.598074      5.2145866E-33
    0.604054      5.0067731E-33
    0.610095      4.8888818E-33
    0.616196      4.6159014E-33
    0.622358      4.4321740E-33
    0.628582      4.2558293E-33
    0.634867      4.0865665E-33
    0.641216      3.9240973E-33
    0.647628      3.7681454E-33
    0.654104      3.6184460E-33
    0.660645      3.4747451E-33
    0.667252      3.3367995E-33
    0.673924      3.2043757E-33
    0.680664      3.0772500E-33
    0.687470      3.6853675E-33
    0.694345      2.8380439E-33
    0.701288      2.7255607E-33
    0.708301      2.6175691E-33
    0.715384      2.5138879E-33
    0.722538      2.4143431E-33
    0.729764      2.3187681E-33
    0.737061      2.2270028E-33
    0.744432      2.1388938E-33
    0.751876      2.0542940E-33
    0.759395      2.0855329E-33
    0.766989      3.7567624E-30
    0.774659      2.2450591E-33
    0.782405      1.7482494E-33
    0.790229      1.6791903E-33
    0.798132      1.6128753E-33
    0.806113      1.5601091E-33
    0.814174      9.1319306E-32
    0.822316      1.6481230E-33
    0.830539      1.3729227E-33
    0.838844      1.3249106E-33
    0.847233      1.3002228E-33
    0.855705      1.2168068E-33
    0.864262      1.1688380E-33
    0.872905      1.1227695E-33
    0.881634      1.1776078E-33
    0.890450      1.1616040E-33
    0.899355      1.0409423E-33
    0.908348      1.1266780E-33
    0.917432      1.3603730E-33
    0.926606      3.1411929E-33
    0.935872      2.5827076E-33
    0.945231      4.5064199E-33
    0.954683      2.9893726E-33
    0.964230      3.5653679E-33
    0.973872      3.9768246E-33
    0.983611      3.4659416E-33
    0.993447      3.1340312E-33
    1.003382      2.9233729E-33
    1.013416      2.9962512E-33
    1.023550      2.9188483E-33
    1.033785      2.5311350E-33
    1.044123      3.9361979E-33
    1.054564      2.8885411E-33
    1.065110      2.2493982E-33
    1.075761      2.5785974E-33
    1.086519      3.8648403E-33
    1.097384      7.0079208E-33
    1.108358      9.9453828E-33
    1.119441      8.0734203E-33
    1.130636      1.8907012E-32
    1.141942      1.0804039E-32
    1.153361      1.0965002E-32
    1.164895      4.5597273E-32
    1.176544      2.4526445E-30
    1.188309      1.2192048E-32
    1.200192      1.1162170E-32
    1.212194      9.4746430E-33
    1.224316      9.1586215E-33
    1.236560      1.6361803E-32
    1.248925      2.8245039E-32
    1.261414      7.6158403E-33
    1.274028      6.9423173E-33
    1.286769      6.3053568E-33
    1.299636      7.7336766E-33
    1.312633      1.0137203E-32
    1.325759      2.4397615E-31
    1.339017      1.4302884E-31
    1.352407      7.2462874E-32
    1.365931      6.0095757E-32
    1.379590      7.0253685E-32
    1.393386      8.6511593E-32
    1.407320      1.1030328E-31
    1.421393      1.0832718E-31
    1.435607      1.0418141E-31
    1.449963      1.0805122E-31
    1.464463      1.0308236E-31
    1.479108      9.1935252E-32
    1.493899      8.3582284E-32
    1.508838      8.4060602E-32
    1.523926      7.4559929E-32
    1.539165      7.2312572E-32
    1.554557      5.9018685E-28
    1.570102      7.9856528E-28
    1.585803      1.8116597E-28
    1.601662      4.7471186E-28
    1.617678      1.0631193E-27
    1.633855      6.6686903E-28
    1.650193      3.5676426E-28
    1.666695      2.6385171E-28
    1.683362      3.2674552E-28
    1.700196      2.1970534E-28
    1.717198      1.0441511E-28
    1.734370      9.1363304E-29
    1.751714      9.4931629E-29
    1.769231      4.9864400E-29
    1.786923      2.7364467E-29
    1.804792      2.0834047E-29
    1.822840      1.7022543E-29
    1.841069      9.2694479E-30
    1.859479      5.9248907E-30
    1.878074      5.2457986E-30
    1.896855      3.1156035E-30
    1.915823      1.8654228E-30
    1.934982      1.5682819E-30
    1.954331      1.0558578E-30
    1.973875      6.9746792E-31
    1.993613      6.2349982E-31
    2.013550      4.1434298E-31
    2.033685      3.4067688E-31
    2.054022      2.9141226E-31
    2.074562      2.1118365E-31
    2.095308      1.6697648E-31
    2.116261      1.3838739E-31
    2.137423      1.0159559E-31
    2.158798      8.2921922E-32
    2.180386      6.6603006E-32
    2.202190      5.6211664E-32
    2.224211      4.8600804E-32
    2.246454      4.2979109E-32
    2.268918      4.0338964E-32
    2.291607      3.6804516E-26
    2.314523      8.6432765E-26
    2.337669      5.6664797E-26
    2.361045      3.4642186E-26
    2.384656      5.1797367E-26
    2.408502      6.5263855E-26
    2.432587      4.1561895E-26
    2.456913      2.6977266E-26
    2.481482      2.4595611E-26
    2.506297      1.9437770E-26
    2.531360      1.7142342E-26
    2.556674      1.0035399E-26
    2.582240      8.4648191E-27
    2.608063      5.7426609E-27
    2.634143      3.3566047E-27
    2.660485      2.2611833E-27
    2.687090      1.6732057E-27
    2.713961      1.1355278E-27
    2.741100      7.3304810E-28
    2.768511      4.7446318E-28
    2.796196      3.0152827E-28
    2.824158      1.7800467E-28
    2.852400      1.3450542E-28
    2.880924      7.8831533E-29
    2.909733      4.6610127E-29
    2.938830      3.2177087E-29
    2.968219      2.3290601E-29
    2.997901      1.5748359E-29
    3.027880      9.7805062E-30
    3.058159      6.7537881E-30
    3.088740      4.8383126E-30
    3.119628      3.3308210E-30
    3.150824      2.4016211E-30
    3.182332      1.8671557E-30
    3.214156      1.3772561E-30
    3.246297      1.1068021E-30
    3.278760      8.9627421E-31
    3.311548      7.1955426E-31
    3.344663      5.8382446E-31
    3.378110      4.8667150E-31
    3.411891      3.9838342E-31
    3.446010      3.3133435E-31
    3.480470      2.8076742E-31
    3.515275      2.3896749E-31
    3.550427      2.1235173E-31
    3.585932      1.9013550E-31
    3.621791      1.6159870E-31
    3.658009      1.4273027E-31
    3.694589      1.2974179E-31
    3.731535      1.1717342E-31
    3.768850      1.0400839E-31
    3.806539      1.1174884E-31
    3.844604      2.6709072E-31
    3.883050      1.3424844E-31
    3.921881      1.6465568E-31
    3.961099      1.4523676E-31
    4.000710      1.5952458E-31
    4.040718      1.8077015E-31
    4.081125      1.9180892E-31
    4.121936      1.8763931E-31
    4.163155      5.0808548E-31
    4.204787      1.2159548E-30
    4.246835      2.0735575E-30
    4.289303      2.3604424E-25
    4.332196      1.2940984E-24
    4.375518      1.9248061E-24
    4.419273      3.3082756E-24
    4.463466      4.7281411E-24
    4.508101      3.9577165E-24
    4.553182      4.2891628E-24
    4.598714      3.2297789E-24
    4.644701      2.1820419E-24
    4.691148      1.7549179E-24
    4.738059      2.1239937E-24
    4.785440      2.4025582E-24
    4.833294      2.0319306E-24
    4.881627      1.8709778E-24
    4.930443      1.7018990E-24
    4.979748      1.5605295E-24
    5.029545      1.7632146E-24
    5.079841      1.3208978E-24
    5.130639      1.0605100E-24
    5.181946      1.0269263E-24
    5.233765      8.8422943E-25
    5.286103      8.0746925E-25
    5.338964      4.8138271E-25
    5.392353      3.6602901E-25
    5.446277      3.0680856E-25
    5.500740      2.2889947E-25
    5.555747      1.7482926E-25
    5.611304      1.2171611E-25
    5.667418      7.7940574E-26
    5.724092      5.8959913E-26
    5.781333      4.4476769E-26
    5.839146      2.8063405E-26
    5.897537      1.9751568E-26
    5.956513      1.4145657E-26
    6.016078      9.7336326E-27
    6.076239      5.7265231E-27
    6.137001      4.8846232E-27
    6.198371      3.2869411E-27
    6.260355      2.1132203E-27
    6.322958      1.3922038E-27
    6.386188      9.9419117E-28
    6.450050      7.3153153E-28
    6.514550      3.9785178E-28
    6.579696      2.9693563E-28
    6.645493      2.2376542E-28
    6.711948      1.4581548E-28
    6.779067      1.0796515E-28
    6.846858      5.8790707E-29
    6.915326      5.1646590E-29
    6.984480      3.1562017E-29
    7.054324      2.2999988E-29
    7.124868      1.4864245E-29
    7.196116      1.2429274E-29
    7.268078      1.1051158E-29
    7.340758      1.6217555E-29
    7.414166      1.3443774E-29
    7.488308      1.0696651E-29
    7.563191      8.3371014E-30
    7.638823      6.6163245E-30
    7.715211      4.9098916E-30
    7.792363      3.8763261E-30
    7.870286      3.0812513E-30
    7.948989      3.5772997E-30
    8.028479      3.7416346E-30
    8.108764      3.7152709E-30
    8.189852      3.4723419E-30
    8.271750      3.8695859E-30
    8.354468      3.3613170E-30
    8.438012      3.1955577E-30
    8.522393      2.4582157E-30
    8.607616      2.3685286E-30
    8.693693      2.3911410E-30
    8.780630      2.0366811E-30
    8.868436      1.8892383E-30
    8.957120      1.5209544E-30
    9.046691      1.7292829E-30
    9.137158      1.3641721E-30
    9.228530      1.3102583E-30
    9.320815      1.5574182E-30
    9.414023      1.4861619E-30
    9.508164      1.3608839E-30
    9.603245      1.2795253E-30
    9.699278      1.3056021E-30
    9.796270      1.8881272E-30
    9.894233      1.4578147E-30
    9.993175      1.8681505E-30
   10.093107      1.5661979E-30
   10.194038      1.7248061E-30
   10.295979      2.0878202E-30
   10.398938      2.2956049E-30
   10.502928      2.1745654E-30
   10.607957      3.5568414E-30
   10.714037      2.3694798E-30
   10.821177      3.5270701E-30
   10.929389      3.1318764E-30
   11.038683      3.1753004E-30
   11.149070      3.6471075E-30
   11.260560      3.6385623E-30
   11.373166      3.9312467E-30
   11.486898      4.8828631E-30
   11.601766      3.0922141E-30
   11.717784      4.8618871E-30
   11.834962      4.3508796E-30
   11.953312      5.8295551E-30
   12.072845      6.0049977E-30
   12.193573      5.0133593E-30
   12.315509      6.2979788E-30
   12.438664      7.5607513E-30
   12.563051      6.2071487E-30
   12.688681      6.9083627E-30
   12.815568      6.2832745E-30
   12.943724      7.4969169E-30
   13.073161      7.2673691E-30
   13.203892      9.5100249E-30
   13.335931      7.5558968E-30
   13.469291      8.9594730E-30
   13.603984      1.0424988E-29
   13.740023      1.0067030E-29
   13.877424      9.3144146E-30
   14.016198      9.5297914E-30
   14.156360      8.9205486E-30
   14.297924      9.9728301E-30
