# Pressure:     1.000E-02 Ba
# Temperature:    200.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      7.1339048E-30
    0.505000      5.7877800E-30
    0.510050      4.2636528E-31
    0.515150      1.2318283E-31
    0.520302      4.4449016E-31
    0.525505      5.3647075E-31
    0.530760      1.6885984E-31
    0.536068      1.0855042E-30
    0.541428      4.4816046E-30
    0.546843      7.6376685E-31
    0.552311      1.0507493E-31
    0.557834      2.5955595E-31
    0.563413      1.3396716E-30
    0.569047      5.3361644E-30
    0.574737      1.9002345E-30
    0.580484      1.3171461E-30
    0.586289      5.4269451E-29
    0.592152      3.4840396E-29
    0.598074      2.3800439E-30
    0.604054      1.3009344E-31
    0.610095      6.1109178E-32
    0.616196      5.8350239E-32
    0.622358      2.4409446E-30
    0.628582      3.8228556E-30
    0.634867      2.1039933E-30
    0.641216      8.4685278E-30
    0.647628      2.5448017E-29
    0.654104      9.2356541E-30
    0.660645      7.9556362E-31
    0.667252      5.9162408E-32
    0.673924      1.5584331E-31
    0.680664      1.6439140E-30
    0.687470      3.0678791E-29
    0.694345      6.0415391E-29
    0.701288      2.9701970E-29
    0.708301      2.1742268E-29
    0.715384      4.4036411E-28
    0.722538      3.4838108E-28
    0.729764      4.3370876E-29
    0.737061      6.1915882E-30
    0.744432      4.8086113E-31
    0.751876      2.1152077E-31
    0.759395      3.6365824E-32
    0.766989      3.7597652E-32
    0.774659      1.8387588E-31
    0.782405      1.8334308E-29
    0.790229      2.4839945E-29
    0.798132      3.3393723E-29
    0.806113      8.7927883E-29
    0.814174      2.5190757E-28
    0.822316      2.1599517E-28
    0.830539      1.4521929E-28
    0.838844      3.0895385E-28
    0.847233      2.7948340E-28
    0.855705      3.4659102E-28
    0.864262      4.8983008E-28
    0.872905      8.4673735E-28
    0.881634      1.2962099E-27
    0.890450      1.5799635E-26
    0.899355      8.8324208E-27
    0.908348      1.0717622E-27
    0.917432      4.9127403E-28
    0.926606      6.9249097E-27
    0.935872      4.6967129E-27
    0.945231      3.5596144E-27
    0.954683      1.6633098E-27
    0.964230      1.1180038E-27
    0.973872      1.6864850E-27
    0.983611      4.5961344E-27
    0.993447      4.8262116E-27
    1.003382      4.3222651E-27
    1.013416      9.3803789E-27
    1.023550      1.6255784E-26
    1.033785      8.6103406E-27
    1.044123      2.0234807E-27
    1.054564      6.4872081E-28
    1.065110      1.0649369E-27
    1.075761      1.3033939E-27
    1.086519      9.5245843E-28
    1.097384      9.6256298E-28
    1.108358      3.2820054E-27
    1.119441      2.3416135E-26
    1.130636      2.3833781E-26
    1.141942      1.0567321E-26
    1.153361      4.7246648E-26
    1.164895      8.5176847E-26
    1.176544      3.2852340E-26
    1.188309      1.2137130E-26
    1.200192      2.0237237E-26
    1.212194      2.2313854E-26
    1.224316      9.2962236E-27
    1.236560      1.3913477E-27
    1.248925      2.4137414E-27
    1.261414      2.0133215E-27
    1.274028      2.6969459E-27
    1.286769      1.1567808E-26
    1.299636      1.5269971E-26
    1.312633      1.8872483E-26
    1.325759      2.4517416E-26
    1.339017      3.0148594E-26
    1.352407      1.6388642E-25
    1.365931      1.5193605E-25
    1.379590      1.7451779E-25
    1.393386      1.4114644E-25
    1.407320      5.5794742E-26
    1.421393      2.6851958E-26
    1.435607      3.3765836E-26
    1.449963      2.0094920E-26
    1.464463      4.8904086E-26
    1.479108      1.1039519E-25
    1.493899      2.2132247E-25
    1.508838      2.2608348E-25
    1.523926      9.0387634E-26
    1.539165      3.4878192E-26
    1.554557      8.3262544E-27
    1.570102      4.6429752E-27
    1.585803      2.4697654E-27
    1.601662      1.8433968E-27
    1.617678      1.6543246E-26
    1.633855      1.2008756E-25
    1.650193      1.1077896E-25
    1.666695      7.6768248E-26
    1.683362      9.6958267E-26
    1.700196      1.8495633E-25
    1.717198      1.4162743E-25
    1.734370      6.3611498E-26
    1.751714      3.0519522E-26
    1.769231      8.6629282E-26
    1.786923      1.0476710E-25
    1.804792      6.7633242E-26
    1.822840      1.6449649E-25
    1.841069      2.4518250E-25
    1.859479      2.7678667E-25
    1.878074      7.7624527E-26
    1.896855      1.2518930E-25
    1.915823      7.7233666E-26
    1.934982      2.0648174E-25
    1.954331      3.4234828E-25
    1.973875      3.3917383E-25
    1.993613      2.4704784E-25
    2.013550      9.8672501E-26
    2.033685      2.1229302E-26
    2.054022      7.4464089E-27
    2.074562      1.9375290E-27
    2.095308      4.1529779E-28
    2.116261      1.9031476E-27
    2.137423      1.2043905E-26
    2.158798      9.6808741E-26
    2.180386      1.0433950E-25
    2.202190      2.8082849E-25
    2.224211      6.4343496E-25
    2.246454      1.1216173E-24
    2.268918      1.4860441E-24
    2.291607      1.7747678E-24
    2.314523      1.1754425E-24
    2.337669      1.5754491E-24
    2.361045      1.6570061E-24
    2.384656      4.4609387E-25
    2.408502      1.9632927E-25
    2.432587      8.6926854E-26
    2.456913      4.3954662E-26
    2.481482      4.0085076E-26
    2.506297      6.7341444E-26
    2.531360      1.4368210E-25
    2.556674      1.0426030E-24
    2.582240      2.6413599E-24
    2.608063      2.2059911E-24
    2.634143      8.5952988E-25
    2.660485      1.5906643E-24
    2.687090      1.1706558E-24
    2.713961      8.7472754E-25
    2.741100      8.7403043E-25
    2.768511      2.1667380E-25
    2.796196      1.4302926E-25
    2.824158      2.9036322E-25
    2.852400      3.3499957E-25
    2.880924      4.7230350E-25
    2.909733      5.1397083E-25
    2.938830      5.4505166E-25
    2.968219      2.7528081E-25
    2.997901      3.1138915E-25
    3.027880      3.0977202E-25
    3.058159      1.9921225E-25
    3.088740      3.1054402E-25
    3.119628      1.7095292E-25
    3.150824      4.8105119E-25
    3.182332      3.8437169E-24
    3.214156      5.9414310E-24
    3.246297      6.8923067E-24
    3.278760      5.2496592E-24
    3.311548      3.1824109E-24
    3.344663      5.8230568E-24
    3.378110      5.0891009E-24
