# Pressure:     3.000E-04 Ba
# Temperature:    270.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.0893711E-29
    0.505000      3.5569840E-29
    0.510050      3.8851549E-30
    0.515150      2.4039365E-31
    0.520302      2.5044094E-30
    0.525505      2.5569613E-30
    0.530760      7.2784032E-31
    0.536068      6.9714109E-30
    0.541428      2.3231378E-29
    0.546843      5.6046583E-30
    0.552311      3.4258982E-31
    0.557834      1.1199366E-30
    0.563413      1.1085616E-29
    0.569047      3.0366771E-29
    0.574737      1.5302428E-29
    0.580484      9.5151973E-30
    0.586289      3.1674144E-28
    0.592152      2.0479605E-28
    0.598074      2.7587579E-29
    0.604054      1.3067366E-30
    0.610095      1.2004857E-31
    0.616196      9.5719405E-32
    0.622358      1.9476026E-29
    0.628582      2.1219887E-29
    0.634867      1.6359938E-29
    0.641216      7.1244130E-29
    0.647628      1.3482032E-28
    0.654104      7.8925718E-29
    0.660645      8.3195369E-30
    0.667252      5.0951089E-31
    0.673924      1.1165371E-30
    0.680664      9.8324852E-30
    0.687470      2.4588391E-28
    0.694345      3.4707621E-28
    0.701288      2.2587618E-28
    0.708301      1.5971451E-28
    0.715384      2.3740580E-27
    0.722538      2.1186587E-27
    0.729764      3.9561809E-28
    0.737061      7.7104877E-29
    0.744432      6.3353783E-30
    0.751876      1.6477737E-30
    0.759395      2.9528604E-31
    0.766989      2.7240878E-31
    0.774659      1.9080549E-30
    0.782405      1.2815882E-28
    0.790229      1.4384184E-28
    0.798132      2.1547454E-28
    0.806113      8.0607073E-28
    0.814174      1.1060623E-27
    0.822316      1.0802220E-27
    0.830539      5.7424386E-28
    0.838844      3.6604179E-28
    0.847233      3.3244600E-28
    0.855705      3.5010439E-28
    0.864262      5.0867839E-28
    0.872905      8.5861237E-28
    0.881634      1.4331103E-27
    0.890450      1.6057766E-26
    0.899355      9.8867328E-27
    0.908348      5.2171291E-27
    0.917432      1.7547184E-27
    0.926606      3.9918619E-26
    0.935872      2.0030588E-26
    0.945231      2.2689392E-26
    0.954683      1.2557866E-26
    0.964230      3.8650522E-27
    0.973872      3.7229426E-27
    0.983611      4.5998082E-27
    0.993447      4.7217504E-27
    1.003382      4.4552743E-27
    1.013416      9.7990682E-27
    1.023550      1.4063990E-26
    1.033785      8.5836048E-27
    1.044123      2.8140734E-27
    1.054564      7.5801464E-28
    1.065110      1.1728396E-27
    1.075761      1.3598575E-27
    1.086519      1.5120076E-27
    1.097384      2.6389927E-27
    1.108358      1.8648120E-26
    1.119441      5.9060701E-26
    1.130636      7.1554138E-26
    1.141942      3.2371776E-26
    1.153361      6.1837406E-26
    1.164895      8.0310669E-26
    1.176544      3.7049786E-26
    1.188309      1.5573718E-26
    1.200192      1.8645226E-26
    1.212194      2.0440212E-26
    1.224316      9.3729175E-27
    1.236560      2.1460220E-27
    1.248925      2.8397075E-27
    1.261414      1.8263857E-27
    1.274028      3.6474511E-27
    1.286769      1.1769418E-26
    1.299636      1.6218537E-26
    1.312633      2.1448767E-26
    1.325759      3.9764737E-26
    1.339017      1.0458996E-25
    1.352407      7.5503245E-25
    1.365931      5.1296467E-25
    1.379590      6.8253014E-25
    1.393386      5.3917070E-25
    1.407320      2.3349384E-25
    1.421393      1.2524222E-25
    1.435607      1.0962163E-25
    1.449963      4.8178963E-26
    1.464463      8.4773326E-26
    1.479108      1.3349196E-25
    1.493899      1.9611449E-25
    1.508838      2.1498100E-25
    1.523926      9.3321980E-26
    1.539165      4.8957009E-26
    1.554557      1.2548619E-26
    1.570102      5.1565234E-27
    1.585803      3.1775240E-27
    1.601662      3.5162024E-27
    1.617678      2.9195968E-26
    1.633855      1.3086523E-25
    1.650193      1.0321102E-25
    1.666695      8.7059860E-26
    1.683362      1.1633294E-25
    1.700196      1.6108908E-25
    1.717198      1.2632643E-25
    1.734370      7.4628899E-26
    1.751714      4.2319104E-26
    1.769231      8.5521794E-26
    1.786923      1.3130010E-25
    1.804792      2.3937568E-25
    1.822840      5.2156103E-25
    1.841069      6.9789246E-25
    1.859479      1.0994927E-24
    1.878074      2.0407248E-25
    1.896855      4.5737502E-25
    1.915823      3.3428895E-25
    1.934982      2.9184218E-25
    1.954331      3.3632950E-25
    1.973875      3.1110311E-25
    1.993613      2.6799018E-25
    2.013550      1.3295849E-25
    2.033685      3.3831839E-26
    2.054022      1.1475372E-26
    2.074562      3.8734190E-27
    2.095308      1.2333067E-27
    2.116261      4.6548758E-27
    2.137423      2.0621877E-26
    2.158798      9.5892537E-26
    2.180386      1.5786786E-25
    2.202190      3.3871286E-25
    2.224211      7.3812346E-25
    2.246454      1.2521096E-24
    2.268918      1.3814473E-24
    2.291607      1.4527309E-24
    2.314523      1.2109373E-24
    2.337669      1.5415913E-24
    2.361045      1.6988377E-24
    2.384656      5.4887518E-25
    2.408502      2.8323706E-25
    2.432587      1.3750316E-25
    2.456913      8.0564315E-26
    2.481482      1.1051834E-25
    2.506297      3.5065045E-25
    2.531360      8.1139576E-25
    2.556674      3.8950732E-24
    2.582240      5.8702399E-24
    2.608063      3.7607894E-24
    2.634143      2.0752477E-24
    2.660485      7.0716111E-24
    2.687090      2.9223685E-24
    2.713961      2.3894048E-24
    2.741100      3.6916617E-24
    2.768511      1.5363836E-24
    2.796196      8.4674325E-25
    2.824158      9.1227439E-25
    2.852400      5.9417960E-25
    2.880924      7.0008595E-25
    2.909733      5.9613184E-25
    2.938830      5.9258657E-25
    2.968219      3.1490907E-25
    2.997901      3.7366563E-25
    3.027880      3.6726563E-25
    3.058159      2.5338642E-25
    3.088740      3.6294485E-25
    3.119628      3.1556167E-25
    3.150824      1.1160456E-24
    3.182332      5.2961871E-24
    3.214156      5.4250792E-24
    3.246297      5.3200077E-24
    3.278760      4.0745817E-24
    3.311548      5.1859864E-24
    3.344663      4.1037540E-24
    3.378110      5.4811108E-24
    3.411891      2.8998063E-24
    3.446010      1.3633878E-24
    3.480470      5.6345058E-25
    3.515275      9.3559519E-25
    3.550427      6.5544291E-25
    3.585932      4.5259106E-25
    3.621791      2.8224600E-25
    3.658009      1.8021369E-25
    3.694589      2.4100739E-25
    3.731535      1.1991292E-25
    3.768850      1.2555633E-25
    3.806539      5.0600411E-26
    3.844604      1.3657026E-25
    3.883050      7.7297109E-26
    3.921881      6.7876249E-26
    3.961099      5.1921587E-26
    4.000710      3.5589626E-26
    4.040718      3.1017306E-26
    4.081125      1.7352293E-26
    4.121936      9.4665211E-27
    4.163155      4.9669637E-27
    4.204787      1.0142416E-26
    4.246835      5.1924732E-27
    4.289303      3.1396365E-27
    4.332196      2.6826954E-27
    4.375518      2.1568284E-27
    4.419273      2.6952484E-27
    4.463466      1.4036618E-27
    4.508101      2.8716381E-27
    4.553182      1.2952637E-27
    4.598714      1.5170985E-27
    4.644701      4.9469454E-27
    4.691148      5.3419986E-27
    4.738059      2.0818843E-27
    4.785440      3.4322504E-27
    4.833294      3.5932552E-27
    4.881627      1.0514518E-26
    4.930443      2.8606728E-26
    4.979748      5.7671688E-26
    5.029545      2.7272117E-27
    5.079841      2.7829332E-26
    5.130639      1.1920667E-25
    5.181946      2.4461626E-25
    5.233765      1.3561449E-25
    5.286103      4.1783364E-26
    5.338964      1.4056521E-25
    5.392353      1.6184323E-24
    5.446277      4.0475621E-25
    5.500740      6.0735244E-25
    5.555747      1.3771942E-24
    5.611304      2.1609541E-24
    5.667418      2.2204441E-24
    5.724092      4.6107059E-24
    5.781333      3.6395019E-24
    5.839146      7.1817551E-24
    5.897537      5.1515977E-24
    5.956513      3.2915608E-24
    6.016078      8.5109963E-24
    6.076239      3.5610653E-24
    6.137001      6.0371261E-24
    6.198371      9.8244182E-25
    6.260355      6.3375168E-25
    6.322958      2.0670847E-24
    6.386188      6.5362956E-24
    6.450050      7.1364531E-24
    6.514550      5.0652284E-24
    6.579696      9.8227420E-24
    6.645493      2.6763021E-24
    6.711948      1.1300848E-24
    6.779067      1.7814196E-24
    6.846858      1.0615263E-24
    6.915326      1.7064034E-24
    6.984480      1.9878307E-24
    7.054324      4.2815570E-25
    7.124868      8.0861786E-25
    7.196116      7.3220276E-25
    7.268078      1.5457053E-24
    7.340758      4.1136213E-24
    7.414166      5.9647523E-24
    7.488308      3.6101046E-24
    7.563191      1.3908771E-24
    7.638823      5.9626834E-23
    7.715211      4.0307668E-24
    7.792363      2.3289089E-24
    7.870286      2.6267801E-24
    7.948989      1.9708698E-24
    8.028479      1.3712580E-24
    8.108764      6.8787072E-25
    8.189852      4.9805759E-25
    8.271750      1.9343079E-25
    8.354468      1.6253289E-25
    8.438012      2.6954273E-25
    8.522393      5.6464339E-26
    8.607616      2.3929164E-25
    8.693693      3.9331639E-25
    8.780630      2.1916027E-25
    8.868436      8.3341963E-25
    8.957120      2.1255558E-25
    9.046691      5.3709329E-25
    9.137158      1.1204729E-24
    9.228530      7.0771715E-25
    9.320815      7.8323589E-25
    9.414023      7.3334669E-25
    9.508164      9.3280416E-25
    9.603245      1.3624850E-24
    9.699278      4.1715114E-25
    9.796270      7.4962048E-25
    9.894233      1.9638861E-26
    9.993175      1.3039198E-24
   10.093107      9.8805606E-28
