# Pressure:     1.000E-03 Ba
# Temperature:   1900.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      6.8640693E-30
    0.505000      6.0613637E-30
    0.510050      6.4491307E-30
    0.515150      4.0054109E-30
    0.520302      2.7626147E-30
    0.525505      2.9415577E-30
    0.530760      4.7432304E-30
    0.536068      4.2598430E-30
    0.541428      5.2965109E-30
    0.546843      5.2401163E-30
    0.552311      4.3547436E-30
    0.557834      3.4751087E-30
    0.563413      1.1372666E-29
    0.569047      9.9570741E-30
    0.574737      1.9389481E-29
    0.580484      7.5335213E-29
    0.586289      8.1981847E-24
    0.592152      7.5730387E-29
    0.598074      5.6131427E-29
    0.604054      3.8196474E-29
    0.610095      2.6752366E-29
    0.616196      2.9573079E-29
    0.622358      3.3129500E-29
    0.628582      2.7353458E-29
    0.634867      2.8681112E-29
    0.641216      6.2498513E-29
    0.647628      6.5329442E-29
    0.654104      6.7493651E-29
    0.660645      6.0872171E-29
    0.667252      4.7561400E-29
    0.673924      4.7394741E-29
    0.680664      3.6567556E-29
    0.687470      1.9849424E-28
    0.694345      8.7641184E-29
    0.701288      1.3101078E-28
    0.708301      2.0859722E-28
    0.715384      6.1204985E-28
    0.722538      4.9740570E-28
    0.729764      5.3799385E-28
    0.737061      4.5796446E-28
    0.744432      4.4560498E-28
    0.751876      3.8944394E-28
    0.759395      3.2863121E-28
    0.766989      1.2894726E-24
    0.774659      2.1815653E-28
    0.782405      2.2417284E-28
    0.790229      1.9861135E-28
    0.798132      2.7837325E-28
    0.806113      1.1777734E-27
    0.814174      9.8629010E-28
    0.822316      9.3076711E-28
    0.830539      8.8897302E-28
    0.838844      9.6128883E-28
    0.847233      8.5843542E-28
    0.855705      6.2095706E-28
    0.864262      5.0137954E-28
    0.872905      4.1315086E-28
    0.881634      6.1025355E-28
    0.890450      1.7796367E-27
    0.899355      8.9950958E-28
    0.908348      1.8243663E-27
    0.917432      3.2253994E-27
    0.926606      1.2008662E-26
    0.935872      7.3377183E-27
    0.945231      2.3388828E-26
    0.954683      1.0232289E-26
    0.964230      1.0134536E-26
    0.973872      9.5485365E-27
    0.983611      6.9669966E-27
    0.993447      5.6011808E-27
    1.003382      4.5049281E-27
    1.013416      3.6384689E-27
    1.023550      2.9685272E-27
    1.033785      2.1977543E-27
    1.044123      1.7580273E-27
    1.054564      1.4987360E-27
    1.065110      1.3472729E-27
    1.075761      1.4019367E-27
    1.086519      6.1278949E-27
    1.097384      1.5134557E-26
    1.108358      2.8139280E-26
    1.119441      2.0195770E-26
    1.130636      2.8556678E-26
    1.141942      2.1795552E-26
    1.153361      2.3004279E-26
    1.164895      2.8247804E-26
    1.176544      2.2588418E-26
    1.188309      1.8791278E-26
    1.200192      1.4211935E-26
    1.212194      1.0636298E-26
    1.224316      8.5349925E-27
    1.236560      6.6302318E-27
    1.248925      5.7787173E-27
    1.261414      6.0863937E-27
    1.274028      6.1749442E-27
    1.286769      7.0425441E-27
    1.299636      8.9809100E-27
    1.312633      1.4008588E-26
    1.325759      7.2592403E-25
    1.339017      5.2657509E-25
    1.352407      2.7879245E-25
    1.365931      1.7651116E-25
    1.379590      2.4700550E-25
    1.393386      2.7470750E-25
    1.407320      3.6150590E-25
    1.421393      3.3064385E-25
    1.435607      2.8716552E-25
    1.449963      2.6842180E-25
    1.464463      2.0511093E-25
    1.479108      1.6518224E-25
    1.493899      1.3384147E-25
    1.508838      1.1412928E-25
    1.523926      9.0871744E-26
    1.539165      7.2076716E-26
    1.554557      5.7143178E-26
    1.570102      4.2784938E-26
    1.585803      3.2658953E-26
    1.601662      2.5137940E-26
    1.617678      2.0735792E-26
    1.633855      1.6537298E-26
    1.650193      1.4517445E-26
    1.666695      1.2020654E-26
    1.683362      1.6540720E-26
    1.700196      2.9877137E-26
    1.717198      6.8531793E-26
    1.734370      1.2130933E-25
    1.751714      2.0278680E-25
    1.769231      3.2443598E-25
    1.786923      4.4333756E-25
    1.804792      5.9445990E-25
    1.822840      4.9612007E-25
    1.841069      6.6052599E-25
    1.859479      5.8402150E-25
    1.878074      4.0130668E-25
    1.896855      3.5990895E-25
    1.915823      3.8832302E-25
    1.934982      5.2326835E-25
    1.954331      5.3418389E-25
    1.973875      5.0179151E-25
    1.993613      4.3994698E-25
    2.013550      3.3330040E-25
    2.033685      2.6406607E-25
    2.054022      1.9462820E-25
    2.074562      1.3533425E-25
    2.095308      9.3760840E-26
    2.116261      6.4350859E-26
    2.137423      4.7382117E-26
    2.158798      3.8439220E-26
    2.180386      3.3882901E-26
    2.202190      3.3785501E-26
    2.224211      3.7116349E-26
    2.246454      3.4756442E-26
    2.268918      4.1215653E-26
    2.291607      1.3338661E-25
    2.314523      2.3773217E-25
    2.337669      1.8322462E-25
    2.361045      2.2279313E-25
    2.384656      3.2176729E-25
    2.408502      5.2546726E-25
    2.432587      8.8929542E-25
    2.456913      1.8548970E-24
    2.481482      2.2696452E-24
    2.506297      3.0976988E-24
    2.531360      3.5333899E-24
    2.556674      3.4589051E-24
    2.582240      2.6352817E-24
    2.608063      1.7075110E-24
    2.634143      1.1266244E-24
    2.660485      3.8576884E-24
    2.687090      3.7882211E-24
    2.713961      3.7967145E-24
    2.741100      4.1125425E-24
    2.768511      3.3566044E-24
    2.796196      3.8276793E-24
    2.824158      4.2801508E-24
    2.852400      3.7732434E-24
    2.880924      3.4177709E-24
    2.909733      3.7228775E-24
    2.938830      3.0735888E-24
    2.968219      2.6649536E-24
    2.997901      2.0693458E-24
    3.027880      2.0217233E-24
    3.058159      1.4489143E-24
    3.088740      1.2296869E-24
    3.119628      1.0291667E-24
    3.150824      8.2131536E-25
    3.182332      7.3783447E-25
    3.214156      5.5597906E-25
    3.246297      4.6908481E-25
    3.278760      3.9906370E-25
    3.311548      3.3707795E-25
    3.344663      3.3465673E-25
    3.378110      3.1074165E-25
    3.411891      2.6361713E-25
    3.446010      2.4345293E-25
    3.480470      2.1841427E-25
    3.515275      1.9015075E-25
    3.550427      1.6058739E-25
    3.585932      1.3811008E-25
    3.621791      1.0880474E-25
    3.658009      9.4303111E-26
    3.694589      7.4275484E-26
    3.731535      6.7888047E-26
    3.768850      5.5330399E-26
    3.806539      5.3554015E-26
    3.844604      6.9197700E-26
    3.883050      4.3811997E-26
    3.921881      1.2047511E-25
    3.961099      6.4307957E-26
    4.000710      8.6628702E-26
    4.040718      1.2594357E-25
    4.081125      1.6339379E-25
    4.121936      1.8817858E-25
    4.163155      2.2160250E-25
    4.204787      2.4080160E-25
    4.246835      2.5910897E-25
    4.289303      3.9701569E-25
    4.332196      1.1121185E-24
    4.375518      3.1374012E-24
    4.419273      4.4773727E-24
    4.463466      8.3097901E-24
    4.508101      8.3157353E-24
    4.553182      1.0216739E-23
    4.598714      8.3701002E-24
    4.644701      4.7943712E-24
    4.691148      5.1295129E-24
    4.738059      5.7158564E-24
    4.785440      5.1091298E-24
    4.833294      5.0730012E-24
    4.881627      5.4825172E-24
    4.930443      5.4251504E-24
    4.979748      5.1340852E-24
    5.029545      4.6281975E-24
    5.079841      3.8253873E-24
    5.130639      3.4604124E-24
    5.181946      3.4248784E-24
    5.233765      4.1285185E-24
    5.286103      3.2041652E-24
    5.338964      4.1283907E-24
    5.392353      3.5027230E-24
    5.446277      2.8803982E-24
    5.500740      3.9097482E-24
    5.555747      3.5084574E-24
    5.611304      4.0342429E-24
    5.667418      5.5408219E-24
    5.724092      4.5954334E-24
    5.781333      3.6992410E-24
    5.839146      3.7059709E-24
    5.897537      2.9427738E-24
    5.956513      1.6009771E-24
    6.016078      2.7651960E-24
    6.076239      1.7234603E-24
    6.137001      1.5517445E-24
    6.198371      1.3667571E-24
    6.260355      1.0686123E-24
    6.322958      1.2517548E-24
    6.386188      2.8539441E-24
    6.450050      6.6714332E-24
    6.514550      7.4219527E-24
    6.579696      1.2516444E-23
    6.645493      7.5662628E-24
    6.711948      6.5055156E-24
    6.779067      9.8833249E-24
    6.846858      5.9904015E-24
    6.915326      5.5596021E-24
    6.984480      7.2473274E-24
    7.054324      6.4122341E-24
    7.124868      4.9907898E-24
    7.196116      6.1412886E-24
    7.268078      6.3696491E-24
    7.340758      4.3364715E-24
    7.414166      6.9480885E-24
    7.488308      5.5384335E-24
    7.563191      5.8754232E-24
    7.638823      4.6583950E-24
    7.715211      4.4315449E-24
    7.792363      5.5764367E-24
    7.870286      4.8104417E-24
    7.948989      5.0016234E-24
    8.028479      4.9419982E-24
    8.108764      5.5461623E-24
    8.189852      3.6439577E-24
    8.271750      4.8047220E-24
    8.354468      2.8416964E-24
    8.438012      3.0594872E-24
    8.522393      2.4216248E-24
    8.607616      2.2389625E-24
    8.693693      2.0696954E-24
    8.780630      1.9042446E-24
    8.868436      1.6109593E-24
    8.957120      1.5680722E-24
    9.046691      1.4402068E-24
    9.137158      1.2003864E-24
    9.228530      1.0977998E-24
    9.320815      2.1929259E-24
    9.414023      1.4630096E-24
    9.508164      1.1350133E-24
    9.603245      8.6977420E-25
    9.699278      9.3993647E-25
    9.796270      2.3991443E-24
    9.894233      8.9061371E-25
    9.993175      1.3150132E-24
   10.093107      9.1906403E-25
   10.194038      9.9608589E-25
   10.295979      1.8853979E-24
   10.398938      1.5532663E-24
   10.502928      1.4279212E-24
   10.607957      2.8805886E-24
   10.714037      1.2141088E-24
   10.821177      3.6503768E-24
   10.929389      2.2212517E-24
   11.038683      1.6602797E-24
   11.149070      2.2888644E-24
   11.260560      1.8540930E-24
   11.373166      2.3025006E-24
   11.486898      3.5435193E-24
   11.601766      2.3184399E-24
   11.717784      4.2972854E-24
   11.834962      2.9902804E-24
   11.953312      3.6127684E-24
   12.072845      4.2015810E-24
   12.193573      3.6132943E-24
   12.315509      5.4935558E-24
   12.438664      7.0449117E-24
   12.563051      5.4246745E-24
   12.688681      5.5972355E-24
   12.815568      5.0458210E-24
   12.943724      7.5550099E-24
   13.073161      7.3918047E-24
   13.203892      1.1116063E-23
   13.335931      8.2105265E-24
   13.469291      8.7902189E-24
   13.603984      1.1725142E-23
   13.740023      1.2145508E-23
   13.877424      1.0658752E-23
   14.016198      8.6511787E-24
   14.156360      1.1014386E-23
   14.297924      1.0497760E-23
