# Pressure:     1.000E-06 Ba
# Temperature:   1500.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      9.0397477E-30
    0.505000      6.9714594E-30
    0.510050      6.8429471E-30
    0.515150      3.6546625E-30
    0.520302      2.1577590E-30
    0.525505      1.9749584E-30
    0.530760      1.8717690E-30
    0.536068      4.0336299E-30
    0.541428      5.2727471E-30
    0.546843      4.9015043E-30
    0.552311      3.6038191E-30
    0.557834      2.4225996E-30
    0.563413      7.6851270E-30
    0.569047      6.9455611E-30
    0.574737      8.9032320E-30
    0.580484      1.2357962E-29
    0.586289      9.6706382E-25
    0.592152      5.8375982E-29
    0.598074      5.0800420E-29
    0.604054      3.2294226E-29
    0.610095      1.7299421E-29
    0.616196      1.8061026E-29
    0.622358      2.4892078E-29
    0.628582      1.9766029E-29
    0.634867      2.2958376E-29
    0.641216      6.5281547E-29
    0.647628      6.1521928E-29
    0.654104      6.8307984E-29
    0.660645      5.3728911E-29
    0.667252      3.4383881E-29
    0.673924      3.0742490E-29
    0.680664      2.3580098E-29
    0.687470      1.9958270E-28
    0.694345      8.5823387E-29
    0.701288      1.3531391E-28
    0.708301      2.1570420E-28
    0.715384      6.9070725E-28
    0.722538      5.5623389E-28
    0.729764      5.9293705E-28
    0.737061      4.3128630E-28
    0.744432      3.3385736E-28
    0.751876      2.4626973E-28
    0.759395      1.5931395E-28
    0.766989      1.6795462E-25
    0.774659      1.2675874E-28
    0.782405      1.5686204E-28
    0.790229      1.4402148E-28
    0.798132      2.2152909E-28
    0.806113      1.1830140E-27
    0.814174      8.2119784E-28
    0.822316      9.0165474E-28
    0.830539      8.5710197E-28
    0.838844      7.6810294E-28
    0.847233      6.0069743E-28
    0.855705      3.8477375E-28
    0.864262      2.9510987E-28
    0.872905      2.3984857E-28
    0.881634      4.4503347E-28
    0.890450      1.8709879E-27
    0.899355      8.5638729E-28
    0.908348      1.8090977E-27
    0.917432      3.1533867E-27
    0.926606      1.3894651E-26
    0.935872      7.5618103E-27
    0.945231      2.5706070E-26
    0.954683      1.1553988E-26
    0.964230      9.2810500E-27
    0.973872      7.8073227E-27
    0.983611      5.2366156E-27
    0.993447      3.7932742E-27
    1.003382      2.7425003E-27
    1.013416      2.0197727E-27
    1.023550      1.5577433E-27
    1.033785      1.1147532E-27
    1.044123      9.0972044E-28
    1.054564      8.1066715E-28
    1.065110      7.9520419E-28
    1.075761      8.7409223E-28
    1.086519      4.2444530E-27
    1.097384      1.3412704E-26
    1.108358      2.7974422E-26
    1.119441      2.0137252E-26
    1.130636      2.8215985E-26
    1.141942      1.9278253E-26
    1.153361      2.0999090E-26
    1.164895      2.4765285E-26
    1.176544      1.7092266E-26
    1.188309      1.2155426E-26
    1.200192      8.6248956E-27
    1.212194      5.9657691E-27
    1.224316      4.6455896E-27
    1.236560      3.4715000E-27
    1.248925      2.9305587E-27
    1.261414      3.4427245E-27
    1.274028      4.0183968E-27
    1.286769      5.4026527E-27
    1.299636      6.8858941E-27
    1.312633      1.0521583E-26
    1.325759      5.7559574E-25
    1.339017      5.1920656E-25
    1.352407      3.2991538E-25
    1.365931      1.8440374E-25
    1.379590      2.9769134E-25
    1.393386      3.0545925E-25
    1.407320      3.7115440E-25
    1.421393      3.1757822E-25
    1.435607      2.5838021E-25
    1.449963      2.1344638E-25
    1.464463      1.5273196E-25
    1.479108      1.1481015E-25
    1.493899      9.0097542E-26
    1.508838      7.2736963E-26
    1.523926      5.4037106E-26
    1.539165      3.9854639E-26
    1.554557      3.0351794E-26
    1.570102      2.1752769E-26
    1.585803      1.6206329E-26
    1.601662      1.2320435E-26
    1.617678      1.0154363E-26
    1.633855      8.3489513E-27
    1.650193      7.8952266E-27
    1.666695      6.6996181E-27
    1.683362      9.7073033E-27
    1.700196      1.7444947E-26
    1.717198      4.2750791E-26
    1.734370      8.2938557E-26
    1.751714      1.5650247E-25
    1.769231      2.8171829E-25
    1.786923      3.9699327E-25
    1.804792      5.4113171E-25
    1.822840      4.9046899E-25
    1.841069      6.1145747E-25
    1.859479      6.2028237E-25
    1.878074      3.3143976E-25
    1.896855      3.2035643E-25
    1.915823      3.7918916E-25
    1.934982      4.8518806E-25
    1.954331      4.9575239E-25
    1.973875      3.8124570E-25
    1.993613      2.9492202E-25
    2.013550      2.0336968E-25
    2.033685      1.5441455E-25
    2.054022      1.0346343E-25
    2.074562      6.8272485E-26
    2.095308      4.5551039E-26
    2.116261      3.1198654E-26
    2.137423      2.2933259E-26
    2.158798      1.9364531E-26
    2.180386      1.7758373E-26
    2.202190      1.8982490E-26
    2.224211      2.2052671E-26
    2.246454      2.1650069E-26
    2.268918      2.7549737E-26
    2.291607      1.0455028E-25
    2.314523      1.7864470E-25
    2.337669      1.2217884E-25
    2.361045      1.7989304E-25
    2.384656      2.1910268E-25
    2.408502      3.5254853E-25
    2.432587      6.2435596E-25
    2.456913      1.3870199E-24
    2.481482      2.0916381E-24
    2.506297      3.2219174E-24
    2.531360      3.4537986E-24
    2.556674      3.6104078E-24
    2.582240      2.8881219E-24
    2.608063      1.7242250E-24
    2.634143      1.2059396E-24
    2.660485      5.0194004E-24
    2.687090      3.8832620E-24
    2.713961      3.7739747E-24
    2.741100      4.1755769E-24
    2.768511      3.2841856E-24
    2.796196      3.7423335E-24
    2.824158      4.2344536E-24
    2.852400      3.2419582E-24
    2.880924      2.8487545E-24
    2.909733      2.9056298E-24
    2.938830      2.3194873E-24
    2.968219      1.8727813E-24
    2.997901      1.3439604E-24
    3.027880      1.3331411E-24
    3.058159      8.9669400E-25
    3.088740      7.7411477E-25
    3.119628      6.5536771E-25
    3.150824      4.9976184E-25
    3.182332      4.7273623E-25
    3.214156      3.3412204E-25
    3.246297      2.8728003E-25
    3.278760      2.6310676E-25
    3.311548      2.1664778E-25
    3.344663      2.2190142E-25
    3.378110      2.0114387E-25
    3.411891      1.6912791E-25
    3.446010      1.5172903E-25
    3.480470      1.2955633E-25
    3.515275      1.1321499E-25
    3.550427      9.1068320E-26
    3.585932      7.6101013E-26
    3.621791      5.7496405E-26
    3.658009      4.8645747E-26
    3.694589      3.8003775E-26
    3.731535      3.4467690E-26
    3.768850      2.7755251E-26
    3.806539      2.7618856E-26
    3.844604      3.7186341E-26
    3.883050      2.2118068E-26
    3.921881      6.4582118E-26
    3.961099      3.2149626E-26
    4.000710      4.5266738E-26
    4.040718      7.2786438E-26
    4.081125      9.3923091E-26
    4.121936      1.1338158E-25
    4.163155      1.5015021E-25
    4.204787      1.9316078E-25
    4.246835      2.0893240E-25
    4.289303      2.5701789E-25
    4.332196      4.8172138E-25
    4.375518      1.6164572E-24
    4.419273      2.0254155E-24
    4.463466      5.5112579E-24
    4.508101      6.0543870E-24
    4.553182      7.6644485E-24
    4.598714      6.7927701E-24
    4.644701      3.3987592E-24
    4.691148      4.4840388E-24
    4.738059      4.9573665E-24
    4.785440      4.3485325E-24
    4.833294      4.4206718E-24
    4.881627      4.6382270E-24
    4.930443      4.3496331E-24
    4.979748      3.9034114E-24
    5.029545      3.0456857E-24
    5.079841      2.4533103E-24
    5.130639      2.4088819E-24
    5.181946      2.6193035E-24
    5.233765      2.8827752E-24
    5.286103      2.3627203E-24
    5.338964      3.1307106E-24
    5.392353      3.5927115E-24
    5.446277      2.3786316E-24
    5.500740      3.7843843E-24
    5.555747      3.6412072E-24
    5.611304      4.4413165E-24
    5.667418      5.1678111E-24
    5.724092      4.3372889E-24
    5.781333      4.7363031E-24
    5.839146      4.1789851E-24
    5.897537      3.0767729E-24
    5.956513      1.5320941E-24
    6.016078      3.0676427E-24
    6.076239      1.6139601E-24
    6.137001      1.4813653E-24
    6.198371      1.0379809E-24
    6.260355      7.5940234E-25
    6.322958      1.1100744E-24
    6.386188      3.0123375E-24
    6.450050      6.1329900E-24
    6.514550      6.7438558E-24
    6.579696      1.3912677E-23
    6.645493      6.4849433E-24
    6.711948      5.3721804E-24
    6.779067      8.1877030E-24
    6.846858      5.1312154E-24
    6.915326      5.0723255E-24
    6.984480      6.8745528E-24
    7.054324      4.7862443E-24
    7.124868      4.4220182E-24
    7.196116      5.1188530E-24
    7.268078      5.9473861E-24
    7.340758      3.3280244E-24
    7.414166      6.5543912E-24
    7.488308      4.4372227E-24
    7.563191      5.1346890E-24
    7.638823      3.4961727E-24
    7.715211      3.3865956E-24
    7.792363      4.1392030E-24
    7.870286      3.3214561E-24
    7.948989      3.5145597E-24
    8.028479      3.2629049E-24
    8.108764      3.8707742E-24
    8.189852      2.3078604E-24
    8.271750      3.1217515E-24
    8.354468      1.6628610E-24
    8.438012      1.9499093E-24
    8.522393      1.3100492E-24
    8.607616      1.2182935E-24
    8.693693      1.2085379E-24
    8.780630      1.0075112E-24
    8.868436      9.3237655E-25
    8.957120      9.3187209E-25
    9.046691      7.3315181E-25
    9.137158      6.1264151E-25
    9.228530      5.9086209E-25
    9.320815      1.2152983E-24
    9.414023      8.1480485E-25
    9.508164      6.1344949E-25
    9.603245      4.6302837E-25
    9.699278      4.6060230E-25
    9.796270      1.5026628E-24
    9.894233      4.6591456E-25
    9.993175      7.1284872E-25
   10.093107      4.4329664E-25
   10.194038      4.9069784E-25
   10.295979      9.9554786E-25
   10.398938      8.1306741E-25
   10.502928      7.2807653E-25
   10.607957      1.6787540E-24
   10.714037      5.7233672E-25
   10.821177      1.9683693E-24
   10.929389      1.4054528E-24
   11.038683      8.5476370E-25
   11.149070      1.2095427E-24
   11.260560      8.4138369E-25
   11.373166      1.2885804E-24
   11.486898      1.7639762E-24
