# Pressure:     1.000E-06 Ba
# Temperature:    575.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.1776663E-29
    0.505000      9.2250737E-30
    0.510050      4.3869510E-30
    0.515150      6.9831461E-31
    0.520302      8.0052988E-31
    0.525505      7.6844127E-31
    0.530760      4.3592245E-31
    0.536068      3.5312369E-30
    0.541428      5.8618444E-30
    0.546843      3.3248963E-30
    0.552311      7.7324931E-31
    0.557834      5.4672176E-31
    0.563413      5.4644460E-30
    0.569047      7.3993330E-30
    0.574737      7.3158617E-30
    0.580484      6.1112467E-30
    0.586289      2.0622668E-28
    0.592152      6.1888447E-29
    0.598074      2.9982736E-29
    0.604054      4.8623774E-30
    0.610095      7.4584192E-31
    0.616196      3.0655123E-31
    0.622358      8.4087661E-30
    0.628582      6.7531962E-30
    0.634867      9.4866915E-30
    0.641216      4.4295257E-29
    0.647628      4.0968694E-29
    0.654104      4.1011292E-29
    0.660645      1.2130687E-29
    0.667252      1.9817341E-30
    0.673924      1.4020972E-30
    0.680664      4.8379168E-30
    0.687470      1.1717194E-28
    0.694345      7.7672798E-29
    0.701288      9.6989535E-29
    0.708301      1.0193433E-28
    0.715384      6.6392000E-28
    0.722538      6.0662575E-28
    0.729764      3.3495450E-28
    0.737061      1.1019299E-28
    0.744432      2.6011847E-29
    0.751876      5.4251248E-30
    0.759395      1.9231338E-30
    0.766989      1.1895330E-30
    0.774659      6.0170607E-30
    0.782405      6.0693991E-29
    0.790229      5.2098663E-29
    0.798132      8.6504132E-29
    0.806113      6.0831450E-28
    0.814174      3.7074754E-28
    0.822316      4.5354138E-28
    0.830539      3.9510870E-28
    0.838844      1.1883520E-28
    0.847233      5.2393909E-29
    0.855705      2.8413979E-29
    0.864262      2.7140603E-29
    0.872905      4.2479131E-29
    0.881634      1.4971434E-28
    0.890450      1.5862916E-27
    0.899355      8.5837548E-28
    0.908348      1.6128662E-27
    0.917432      1.1406565E-27
    0.926606      1.3158065E-26
    0.935872      5.9952987E-27
    0.945231      1.7077943E-26
    0.954683      8.1470295E-27
    0.964230      2.5770552E-27
    0.973872      1.5454481E-27
    0.983611      7.3263842E-28
    0.993447      2.8664031E-28
    1.003382      1.6958059E-28
    1.013416      1.0053924E-28
    1.023550      1.0060515E-28
    1.033785      4.0298165E-29
    1.044123      2.4628400E-29
    1.054564      3.3787625E-29
    1.065110      8.8915128E-29
    1.075761      1.6212422E-28
    1.086519      4.4980019E-28
    1.097384      2.6894380E-27
    1.108358      1.4812105E-26
    1.119441      1.4684877E-26
    1.130636      2.2473004E-26
    1.141942      1.1162965E-26
    1.153361      1.0705380E-26
    1.164895      6.2379445E-27
    1.176544      2.5613611E-27
    1.188309      1.0700007E-27
    1.200192      6.4131513E-28
    1.212194      4.4119282E-28
    1.224316      2.2839560E-28
    1.236560      1.0589344E-28
    1.248925      6.1111979E-29
    1.261414      8.4635162E-29
    1.274028      2.7444739E-28
    1.286769      9.8653837E-28
    1.299636      1.8415117E-27
    1.312633      3.3071761E-27
    1.325759      1.9057145E-26
    1.339017      1.2565092E-25
    1.352407      2.9076561E-25
    1.365931      1.5680876E-25
    1.379590      2.7269464E-25
    1.393386      2.4340356E-25
    1.407320      2.0475600E-25
    1.421393      1.0822061E-25
    1.435607      6.1874444E-26
    1.449963      2.4982267E-26
    1.464463      2.3585292E-26
    1.479108      1.8856127E-26
    1.493899      8.2635614E-27
    1.508838      4.2541580E-27
    1.523926      1.3385971E-27
