# Pressure:     3.000E-01 Ba
# Temperature:    310.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.2513597E-29
    0.505000      3.7491814E-29
    0.510050      5.7206281E-30
    0.515150      3.5633108E-31
    0.520302      2.2582580E-30
    0.525505      2.9780752E-30
    0.530760      8.1363457E-31
    0.536068      8.4815593E-30
    0.541428      2.3160927E-29
    0.546843      7.0233887E-30
    0.552311      5.3330870E-31
    0.557834      1.3166047E-30
    0.563413      1.3059561E-29
    0.569047      3.0859940E-29
    0.574737      1.7511841E-29
    0.580484      1.2137436E-29
    0.586289      3.1899897E-28
    0.592152      2.3866066E-28
    0.598074      3.8338387E-29
    0.604054      2.2317135E-30
    0.610095      1.8749477E-31
    0.616196      1.8354943E-31
    0.622358      2.2101283E-29
    0.628582      2.5556522E-29
    0.634867      1.9159897E-29
    0.641216      9.1738669E-29
    0.647628      1.6747755E-28
    0.654104      9.4627200E-29
    0.660645      1.2963689E-29
    0.667252      9.4785072E-31
    0.673924      1.6441151E-30
    0.680664      1.1850445E-29
    0.687470      2.8784700E-28
    0.694345      3.6437342E-28
    0.701288      2.6371146E-28
    0.708301      1.7765502E-28
    0.715384      2.9929356E-27
    0.722538      2.3523440E-27
    0.729764      5.6989892E-28
    0.737061      1.1202034E-28
    0.744432      1.1139569E-29
    0.751876      2.4308278E-30
    0.759395      5.8387476E-31
    0.766989      5.7496850E-31
    0.774659      4.2340980E-30
    0.782405      1.9613303E-28
    0.790229      1.8929814E-28
    0.798132      2.4479987E-28
    0.806113      1.0575741E-27
    0.814174      2.1152948E-27
    0.822316      1.9692198E-27
    0.830539      8.0591999E-28
    0.838844      3.7795342E-28
    0.847233      3.5838028E-28
    0.855705      3.5542328E-28
    0.864262      5.1375898E-28
    0.872905      8.5781144E-28
    0.881634      1.5750544E-27
    0.890450      1.6553969E-26
    0.899355      1.0485531E-26
    0.908348      5.9679875E-27
    0.917432      2.2536667E-27
    0.926606      5.3599500E-26
    0.935872      3.2795195E-26
    0.945231      3.2389142E-26
