# Pressure:     1.000E-05 Ba
# Temperature:    340.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.4380910E-29
    0.505000      3.4485402E-29
    0.510050      7.1113872E-30
    0.515150      3.8585404E-31
    0.520302      2.3075308E-30
    0.525505      2.8017387E-30
    0.530760      9.0476338E-31
    0.536068      8.8151608E-30
    0.541428      2.2035823E-29
    0.546843      7.4169203E-30
    0.552311      6.9763189E-31
    0.557834      1.3424129E-30
    0.563413      1.3942856E-29
    0.569047      3.0161473E-29
    0.574737      1.8661842E-29
    0.580484      1.2531169E-29
    0.586289      3.1044329E-28
    0.592152      2.1346707E-28
    0.598074      5.0197503E-29
    0.604054      2.6623533E-30
    0.610095      2.0679423E-31
    0.616196      1.6614404E-31
    0.622358      2.3003883E-29
    0.628582      2.1791209E-29
    0.634867      2.1720849E-29
    0.641216      8.7873698E-29
    0.647628      1.4395816E-28
    0.654104      9.8834057E-29
    0.660645      1.3534965E-29
    0.667252      1.0095400E-30
    0.673924      1.6367882E-30
    0.680664      1.1119767E-29
    0.687470      2.8544653E-28
    0.694345      3.1770087E-28
    0.701288      2.6900677E-28
    0.708301      1.9657667E-28
    0.715384      2.4294285E-27
    0.722538      2.0465255E-27
    0.729764      5.6592348E-28
    0.737061      1.3006238E-28
    0.744432      1.2317187E-29
    0.751876      2.4435990E-30
    0.759395      6.2569533E-31
    0.766989      4.8955408E-31
    0.774659      3.7564154E-30
    0.782405      1.5818743E-28
    0.790229      1.5893960E-28
    0.798132      2.3351927E-28
    0.806113      1.1084620E-27
    0.814174      1.1342391E-27
    0.822316      1.1493625E-27
    0.830539      8.1241549E-28
    0.838844      3.8010749E-28
    0.847233      3.3417615E-28
    0.855705      2.8475845E-28
    0.864262      3.3071191E-28
    0.872905      4.1657796E-28
    0.881634      9.8043248E-28
    0.890450      1.5055759E-26
    0.899355      9.6037119E-27
    0.908348      6.0434607E-27
    0.917432      1.8179007E-27
    0.926606      4.4363715E-26
    0.935872      2.1057037E-26
    0.945231      2.8170102E-26
    0.954683      1.7404671E-26
    0.964230      4.6373688E-27
    0.973872      3.4811467E-27
    0.983611      2.4365479E-27
    0.993447      2.6035072E-27
    1.003382      2.7960217E-27
    1.013416      2.3514129E-27
    1.023550      2.5069262E-27
    1.033785      8.0933650E-28
    1.044123      2.5571060E-28
    1.054564      1.1097216E-28
    1.065110      1.5947680E-28
    1.075761      3.3469570E-28
    1.086519      1.1292315E-27
    1.097384      3.0834644E-27
    1.108358      2.8590607E-26
    1.119441      6.2071427E-26
    1.130636      7.3719955E-26
    1.141942      3.6525548E-26
    1.153361      6.9138677E-26
    1.164895      7.4756473E-26
    1.176544      3.3880568E-26
    1.188309      7.9458171E-27
    1.200192      2.7120657E-27
    1.212194      1.7307689E-27
    1.224316      8.6119432E-28
    1.236560      2.8823891E-28
    1.248925      2.1233490E-28
    1.261414      1.3451712E-28
    1.274028      3.9633575E-28
    1.286769      1.6627691E-27
    1.299636      5.2156383E-27
    1.312633      1.1906329E-26
    1.325759      4.1101627E-26
    1.339017      1.6363661E-25
    1.352407      8.4662626E-25
    1.365931      5.1526530E-25
    1.379590      7.7592371E-25
    1.393386      6.6354008E-25
    1.407320      3.4678031E-25
    1.421393      1.6991548E-25
    1.435607      1.2131735E-25
    1.449963      4.5874903E-26
    1.464463      5.5194706E-26
    1.479108      3.2621158E-26
    1.493899      1.2750587E-26
    1.508838      9.8329396E-27
    1.523926      4.5238917E-27
    1.539165      2.6411199E-27
    1.554557      1.7284821E-27
    1.570102      5.6263001E-28
    1.585803      4.0380025E-28
    1.601662      2.7253751E-27
    1.617678      3.8988347E-26
    1.633855      1.1239504E-25
    1.650193      7.7992257E-26
    1.666695      8.2535301E-26
    1.683362      1.1351500E-25
    1.700196      1.3874647E-25
    1.717198      1.1202088E-25
    1.734370      8.0517852E-26
    1.751714      5.4561614E-26
    1.769231      8.9719412E-26
    1.786923      1.7511648E-25
    1.804792      3.5124398E-25
    1.822840      5.9827141E-25
    1.841069      7.1403174E-25
    1.859479      1.2228128E-24
    1.878074      2.4563129E-25
    1.896855      5.2459559E-25
    1.915823      4.1348520E-25
    1.934982      1.5407437E-25
    1.954331      5.8800089E-26
    1.973875      2.0943967E-26
    1.993613      1.5217739E-26
    2.013550      8.3719744E-27
    2.033685      2.7061663E-27
    2.054022      1.1266392E-27
    2.074562      7.7726559E-28
    2.095308      1.1558119E-27
    2.116261      7.7874374E-27
    2.137423      2.7204148E-26
    2.158798      7.5477412E-26
    2.180386      9.6526026E-26
    2.202190      1.6904119E-25
    2.224211      4.8074146E-25
    2.246454      9.0590199E-25
    2.268918      9.5389219E-25
    2.291607      1.0738690E-24
    2.314523      9.8017580E-25
    2.337669      1.4153310E-24
    2.361045      1.6252261E-24
    2.384656      5.9091643E-25
    2.408502      3.5556099E-25
    2.432587      1.8092537E-25
    2.456913      1.0928474E-25
    2.481482      1.8154195E-25
    2.506297      6.9583617E-25
    2.531360      1.3187005E-24
    2.556674      4.8832010E-24
    2.582240      5.8332347E-24
    2.608063      3.2941419E-24
    2.634143      2.1795859E-24
    2.660485      7.5596564E-24
    2.687090      3.4400240E-24
    2.713961      2.6180561E-24
    2.741100      4.5772142E-24
    2.768511      2.5656498E-24
    2.796196      1.2840719E-24
    2.824158      1.0874341E-24
    2.852400      5.0993214E-25
    2.880924      3.6036352E-25
    2.909733      1.6983657E-25
    2.938830      1.6037477E-25
    2.968219      7.3330032E-26
    2.997901      6.1441910E-26
    3.027880      1.0424715E-25
    3.058159      5.6378633E-26
    3.088740      1.3693367E-25
    3.119628      3.8770557E-25
    3.150824      1.8849664E-24
    3.182332      7.2869235E-24
    3.214156      7.6407322E-24
    3.246297      6.7437443E-24
    3.278760      4.1764668E-24
    3.311548      8.9595594E-24
    3.344663      4.6854913E-24
    3.378110      6.5826141E-24
    3.411891      4.2103713E-24
    3.446010      2.1687650E-24
    3.480470      7.6610753E-25
    3.515275      1.1302969E-24
    3.550427      6.4937553E-25
    3.585932      5.1646458E-25
    3.621791      3.2658839E-25
    3.658009      2.3507363E-25
    3.694589      2.9900626E-25
    3.731535      1.4194243E-25
    3.768850      1.4575461E-25
    3.806539      6.0185884E-26
    3.844604      1.4468320E-25
    3.883050      7.5826106E-26
    3.921881      6.7007995E-26
    3.961099      5.4940145E-26
    4.000710      3.5977604E-26
    4.040718      3.1883050E-26
    4.081125      1.4931022E-26
    4.121936      1.1311343E-26
    4.163155      7.5560833E-27
    4.204787      6.3187819E-27
    4.246835      5.0881253E-27
    4.289303      3.3601376E-27
    4.332196      2.6218143E-27
    4.375518      2.7679733E-27
    4.419273      3.2063914E-27
    4.463466      1.8851798E-27
    4.508101      6.7788431E-27
    4.553182      2.8508187E-27
    4.598714      3.6543766E-27
    4.644701      1.1498735E-26
    4.691148      1.1867856E-26
    4.738059      5.2874877E-27
    4.785440      7.1817800E-27
    4.833294      6.7908811E-27
    4.881627      1.6537907E-26
    4.930443      3.4407605E-26
    4.979748      6.4832793E-26
    5.029545      5.5901806E-27
    5.079841      5.0183887E-26
    5.130639      1.5676406E-25
    5.181946      2.1385276E-25
    5.233765      2.5487886E-25
    5.286103      4.6427828E-26
    5.338964      1.8193424E-25
    5.392353      2.0871064E-24
    5.446277      2.8257068E-25
    5.500740      5.2159290E-25
    5.555747      9.4167290E-25
    5.611304      1.3274885E-24
    5.667418      2.1933229E-24
    5.724092      3.4993446E-24
    5.781333      2.4360364E-24
    5.839146      4.3974193E-24
    5.897537      2.6133570E-24
    5.956513      1.3608551E-24
    6.016078      3.0958128E-24
    6.076239      1.2115833E-24
    6.137001      6.9860906E-25
    6.198371      1.9806204E-25
    6.260355      1.1421754E-25
    6.322958      5.7629273E-25
    6.386188      2.9091574E-24
    6.450050      3.2419166E-24
    6.514550      3.6873653E-24
    6.579696      1.1863932E-23
    6.645493      1.5480806E-24
    6.711948      7.3466343E-25
    6.779067      1.4978564E-24
    6.846858      1.0618210E-24
    6.915326      1.0535910E-24
    6.984480      1.5224746E-24
    7.054324      5.3097756E-25
