# Pressure:     3.000E-03 Ba
# Temperature:    500.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.1753953E-29
    0.505000      3.1600903E-29
    0.510050      1.2500485E-29
    0.515150      1.4039533E-30
    0.520302      2.3900039E-30
    0.525505      2.5980038E-30
    0.530760      1.1751964E-30
    0.536068      1.0431318E-29
    0.541428      2.0088544E-29
    0.546843      9.8995072E-30
    0.552311      1.8739028E-30
    0.557834      1.5100674E-30
    0.563413      1.6860078E-29
    0.569047      2.5240406E-29
    0.574737      2.2683260E-29
    0.580484      1.7789526E-29
    0.586289      3.0339447E-28
    0.592152      2.0821769E-28
    0.598074      8.2508175E-29
    0.604054      1.0948054E-29
    0.610095      1.3368154E-30
    0.616196      5.2191116E-31
    0.622358      2.8074255E-29
    0.628582      2.2035437E-29
    0.634867      2.8812184E-29
    0.641216      1.3242345E-28
    0.647628      1.3792735E-28
    0.654104      1.2780228E-28
    0.660645      3.2989786E-29
    0.667252      4.3481515E-30
    0.673924      3.4004579E-30
    0.680664      1.3916436E-29
    0.687470      3.6137636E-28
    0.694345      2.7671001E-28
    0.701288      3.0589345E-28
    0.708301      2.9705772E-28
    0.715384      2.3932562E-27
    0.722538      2.0934280E-27
    0.729764      1.0091233E-27
    0.737061      2.8749725E-28
    0.744432      5.7124508E-29
    0.751876      1.0476990E-29
    0.759395      3.0754380E-30
    0.766989      2.0555824E-30
    0.774659      1.3479684E-29
    0.782405      1.9644944E-28
    0.790229      1.7020381E-28
    0.798132      2.7123779E-28
    0.806113      1.8273230E-27
    0.814174      1.2465271E-27
    0.822316      1.4447731E-27
    0.830539      1.3447482E-27
    0.838844      5.9331954E-28
    0.847233      4.5509365E-28
    0.855705      3.7629410E-28
    0.864262      4.6456088E-28
    0.872905      5.8107091E-28
    0.881634      1.9714640E-27
    0.890450      1.2957076E-26
    0.899355      8.6008289E-27
    0.908348      7.1298851E-27
    0.917432      3.4618250E-27
    0.926606      4.9232297E-26
    0.935872      2.1487418E-26
    0.945231      4.9746305E-26
    0.954683      2.6029145E-26
    0.964230      8.2318016E-27
    0.973872      5.3626556E-27
    0.983611      3.2275254E-27
    0.993447      2.8535022E-27
    1.003382      3.0190994E-27
    1.013416      2.3915554E-27
    1.023550      2.5765015E-27
    1.033785      1.1218033E-27
    1.044123      4.7841016E-28
    1.054564      2.4772717E-28
    1.065110      3.5129573E-28
    1.075761      5.9261479E-28
    1.086519      1.7349983E-27
    1.097384      7.2265285E-27
    1.108358      4.8208365E-26
    1.119441      6.4308841E-26
    1.130636      8.5675098E-26
    1.141942      4.5092905E-26
    1.153361      7.9041060E-26
    1.164895      7.2220031E-26
    1.176544      3.2961630E-26
    1.188309      1.3189489E-26
    1.200192      4.4875692E-27
    1.212194      2.6296248E-27
    1.224316      1.4022745E-27
    1.236560      6.3451772E-28
    1.248925      4.2432881E-28
    1.261414      3.3987454E-28
    1.274028      1.0542256E-27
    1.286769      3.4673641E-27
    1.299636      8.3301991E-27
    1.312633      1.5573430E-26
    1.325759      6.2106517E-26
    1.339017      3.8742948E-25
    1.352407      1.0688303E-24
    1.365931      5.9089383E-25
    1.379590      1.0073603E-24
    1.393386      8.3583464E-25
    1.407320      6.4709036E-25
    1.421393      3.3314499E-25
    1.435607      1.9679188E-25
    1.449963      7.7001518E-26
    1.464463      7.9590943E-26
    1.479108      6.1206633E-26
    1.493899      2.8399779E-26
    1.508838      1.8500844E-26
    1.523926      7.8835148E-27
    1.539165      4.8020094E-27
    1.554557      2.9642147E-27
    1.570102      1.2533479E-27
    1.585803      1.3139361E-27
    1.601662      8.8400980E-27
    1.617678      7.8865794E-26
    1.633855      1.1654301E-25
    1.650193      7.7298791E-26
    1.666695      1.2017995E-25
    1.683362      1.2054300E-25
    1.700196      1.2477443E-25
    1.717198      9.9657272E-26
    1.734370      9.3968545E-26
    1.751714      9.1348651E-26
    1.769231      1.6439310E-25
    1.786923      3.3191935E-25
    1.804792      7.0694361E-25
    1.822840      1.0352693E-24
    1.841069      1.1046029E-24
    1.859479      1.6817152E-24
    1.878074      4.0192850E-25
    1.896855      7.4334114E-25
    1.915823      7.5264925E-25
    1.934982      4.1525171E-25
    1.954331      2.1014210E-25
    1.973875      6.2122005E-26
    1.993613      3.1626195E-26
    2.013550      1.8737525E-26
    2.033685      8.5993339E-27
    2.054022      4.6465573E-27
    2.074562      3.3623999E-27
    2.095308      5.8137700E-27
    2.116261      1.8969770E-26
    2.137423      4.2095998E-26
    2.158798      7.7928712E-26
    2.180386      1.4666270E-25
    2.202190      2.6959623E-25
    2.224211      5.9445373E-25
    2.246454      1.0530348E-24
    2.268918      9.3255437E-25
    2.291607      8.8222600E-25
    2.314523      1.1094105E-24
    2.337669      1.4135899E-24
    2.361045      1.6666955E-24
    2.384656      7.3308967E-25
    2.408502      5.6850785E-25
    2.432587      4.1354454E-25
    2.456913      4.1289375E-25
    2.481482      7.2718276E-25
    2.506297      2.2573691E-24
    2.531360      4.0649713E-24
    2.556674      9.2412774E-24
    2.582240      8.8444009E-24
    2.608063      4.9437512E-24
    2.634143      3.2086641E-24
    2.660485      1.3343284E-23
    2.687090      5.4065490E-24
    2.713961      5.4665294E-24
    2.741100      8.8058203E-24
    2.768511      5.4791113E-24
    2.796196      3.8541847E-24
    2.824158      3.1954266E-24
    2.852400      1.5139518E-24
    2.880924      9.5394131E-25
    2.909733      5.7055111E-25
    2.938830      5.0486029E-25
    2.968219      2.7719902E-25
    2.997901      2.6172939E-25
    3.027880      2.7881365E-25
    3.058159      2.3171700E-25
    3.088740      9.0041686E-25
    3.119628      1.8086019E-24
    3.150824      5.5320202E-24
    3.182332      1.3497996E-23
    3.214156      1.4475367E-23
    3.246297      9.7111526E-24
    3.278760      4.5933284E-24
    3.311548      2.4665861E-23
    3.344663      5.7847317E-24
    3.378110      9.5407893E-24
    3.411891      8.1030240E-24
    3.446010      5.3878548E-24
    3.480470      2.4818439E-24
    3.515275      2.0787628E-24
    3.550427      9.2041001E-25
    3.585932      6.8751683E-25
    3.621791      4.1996195E-25
    3.658009      3.2369840E-25
    3.694589      3.8037959E-25
    3.731535      2.0704088E-25
    3.768850      2.3044431E-25
    3.806539      1.0623572E-25
    3.844604      1.7331258E-25
    3.883050      1.0220643E-25
    3.921881      8.8254131E-26
    3.961099      8.3843975E-26
    4.000710      6.4513094E-26
    4.040718      6.3347478E-26
    4.081125      5.8179118E-26
    4.121936      7.3971755E-26
    4.163155      6.8419887E-26
    4.204787      5.4358262E-26
    4.246835      3.9421809E-26
    4.289303      1.9228679E-25
    4.332196      5.5114714E-26
    4.375518      5.5347591E-26
    4.419273      6.6417192E-26
    4.463466      5.4858609E-26
    4.508101      8.3669006E-26
    4.553182      4.8556636E-26
    4.598714      5.9881058E-26
    4.644701      1.0441133E-25
    4.691148      1.2756939E-25
    4.738059      4.1062302E-26
    4.785440      6.3140448E-26
    4.833294      5.4637569E-26
    4.881627      1.6742587E-25
    4.930443      2.9794722E-25
    4.979748      5.2970107E-25
    5.029545      8.1041359E-26
    5.079841      2.8027715E-25
    5.130639      7.6677244E-25
    5.181946      1.4093770E-24
    5.233765      1.0201426E-24
    5.286103      4.1117963E-25
    5.338964      9.5108458E-25
    5.392353      5.4378739E-24
    5.446277      1.6401737E-24
    5.500740      2.7806977E-24
    5.555747      4.1569884E-24
    5.611304      5.7463468E-24
    5.667418      9.1670464E-24
    5.724092      1.0215837E-23
    5.781333      8.9140017E-24
    5.839146      1.3239775E-23
    5.897537      8.5503083E-24
    5.956513      4.0039446E-24
    6.016078      1.0683015E-23
    6.076239      4.7612520E-24
    6.137001      2.6998666E-24
    6.198371      5.6716367E-25
    6.260355      3.5949313E-25
    6.322958      2.3356666E-24
    6.386188      1.1203310E-23
    6.450050      1.1876325E-23
    6.514550      1.2781895E-23
    6.579696      3.3381994E-23
    6.645493      6.9774997E-24
    6.711948      3.4363978E-24
    6.779067      5.8786838E-24
    6.846858      3.9153405E-24
    6.915326      5.6191031E-24
    6.984480      7.5039175E-24
    7.054324      2.9211614E-24
    7.124868      5.1163969E-24
    7.196116      5.9016901E-24
    7.268078      1.0681590E-23
    7.340758      1.2329611E-23
    7.414166      1.6276843E-23
    7.488308      9.1932011E-24
    7.563191      4.7783699E-24
    7.638823      6.1158282E-23
    7.715211      1.3868949E-23
    7.792363      7.8036205E-24
    7.870286      8.8173427E-24
    7.948989      7.0405146E-24
    8.028479      7.0206626E-24
    8.108764      5.2193670E-24
    8.189852      4.0302299E-24
    8.271750      2.0980518E-24
    8.354468      1.6379355E-24
    8.438012      8.4101342E-25
    8.522393      4.2487723E-25
    8.607616      3.4526163E-25
    8.693693      2.4587719E-25
    8.780630      1.5415347E-25
    8.868436      3.2347667E-25
    8.957120      1.1593094E-25
    9.046691      1.5463420E-25
    9.137158      2.0010764E-25
    9.228530      1.9657806E-25
    9.320815      1.2597711E-25
    9.414023      1.4156173E-25
    9.508164      1.2019960E-25
    9.603245      1.4503900E-25
    9.699278      6.2401858E-26
    9.796270      1.1116540E-25
    9.894233      1.5634743E-26
    9.993175      1.2286116E-25
   10.093107      2.2629263E-26
   10.194038      2.6930565E-26
   10.295979      1.2878130E-24
   10.398938      5.7528627E-25
   10.502928      2.8264238E-25
   10.607957      1.6374492E-25
   10.714037      1.6206018E-24
   10.821177      3.4202909E-25
   10.929389      2.0268489E-25
   11.038683      7.0002655E-26
   11.149070      9.0826539E-26
   11.260560      2.8607211E-26
   11.373166      2.4236179E-26
   11.486898      1.6172843E-25
   11.601766      5.0157319E-26
   11.717784      1.5708323E-25
   11.834962      5.1554090E-26
   11.953312      1.3286186E-25
   12.072845      1.5420765E-25
   12.193573      1.6739134E-25
   12.315509      1.8616263E-25
   12.438664      1.5926830E-25
   12.563051      7.1088408E-26
   12.688681      1.2689386E-25
   12.815568      1.2707905E-25
   12.943724      1.3784285E-25
   13.073161      8.3489355E-26
   13.203892      2.2347294E-25
   13.335931      2.8513978E-25
   13.469291      4.4037432E-26
   13.603984      1.5636110E-25
   13.740023      9.1796124E-26
   13.877424      1.2035359E-25
   14.016198      1.0994804E-25
   14.156360      3.3863743E-25
   14.297924      3.8523372E-25
   14.440903      4.8982099E-25
   14.585312      7.4298759E-26
   14.731165      5.6839528E-26
   14.878477      8.7531231E-26
   15.027261      2.7411799E-25
   15.177534      6.3738869E-26
   15.329309      8.7925389E-26
   15.482602      6.5207399E-25
   15.637428      9.5465474E-25
   15.793803      2.1475249E-25
   15.951741      6.2858721E-25
   16.111258      4.2520117E-25
   16.272371      1.7059448E-25
   16.435094      2.5856703E-25
   16.599445      8.9714821E-25
   16.765440      1.1438007E-24
   16.933094      8.6672173E-25
   17.102425      1.1399702E-24
   17.273449      1.6038325E-24
   17.446184      5.5287261E-25
   17.620646      5.3969036E-25
   17.796852      8.3946217E-25
   17.974821      5.9589299E-25
   18.154569      9.8343134E-25
   18.336115      1.3714280E-24
   18.519476      2.0297353E-24
   18.704670      3.4918753E-26
   18.891717      3.0213425E-24
   19.080634      3.1059767E-24
   19.271441      4.7117480E-24
   19.464155      2.7757923E-24
   19.658797      1.2870620E-24
   19.855385      1.8132075E-25
   20.053938      1.6236006E-24
   20.254478      9.3982003E-25
   20.457023      4.2182882E-24
   20.661593      2.1791771E-24
   20.868209      3.6875153E-24
   21.076891      3.2197249E-24
   21.287660      1.3121905E-25
   21.500536      8.0149756E-24
   21.715542      1.0816212E-23
   21.932697      5.0183400E-24
   22.152024      1.1527549E-23
   22.373544      1.0381612E-23
   22.597280      1.1462921E-25
   22.823253      4.1412924E-24
