# Pressure:     1.000E+02 Ba
# Temperature:   2800.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.6693538E-26
    0.505000      1.9188766E-26
    0.510050      2.1990955E-26
    0.515150      2.5297455E-26
    0.520302      2.9365047E-26
    0.525505      3.4868084E-26
    0.530760      4.3825427E-26
    0.536068      5.3015790E-26
    0.541428      6.7005473E-26
    0.546843      8.8486487E-26
    0.552311      1.2057267E-25
    0.557834      1.8233906E-25
    0.563413      2.9006205E-25
    0.569047      5.1733728E-25
    0.574737      1.1712822E-24
    0.580484      6.7810846E-24
    0.586289      1.3111733E-22
    0.592152      3.0112916E-24
    0.598074      9.8580811E-25
    0.604054      4.4792170E-25
    0.610095      2.6247317E-25
    0.616196      1.7870694E-25
    0.622358      1.3251569E-25
    0.628582      1.0203965E-25
    0.634867      8.1046045E-26
    0.641216      6.9716395E-26
    0.647628      6.0628359E-26
    0.654104      5.5027652E-26
    0.660645      5.0938203E-26
    0.667252      4.8859094E-26
    0.673924      4.8655858E-26
    0.680664      4.9175275E-26
    0.687470      5.9953312E-26
    0.694345      5.7261669E-26
    0.701288      6.2432529E-26
    0.708301      7.1934473E-26
    0.715384      8.8731311E-26
    0.722538      1.1753329E-25
    0.729764      1.6650580E-25
    0.737061      2.5871861E-25
    0.744432      4.8470276E-25
    0.751876      1.3511876E-24
    0.759395      1.3236170E-23
    0.766989      5.4863665E-23
    0.774659      2.1311113E-24
    0.782405      6.6970032E-25
    0.790229      3.2347724E-25
    0.798132      1.9562406E-25
    0.806113      1.3254379E-25
    0.814174      1.8050658E-25
    0.822316      7.6600954E-26
    0.830539      5.6777790E-26
    0.838844      4.6706576E-26
    0.847233      3.9914451E-26
    0.855705      3.2521467E-26
    0.864262      2.8100151E-26
    0.872905      2.4812158E-26
    0.881634      2.2220812E-26
    0.890450      2.0486180E-26
    0.899355      1.7772923E-26
    0.908348      1.7136767E-26
    0.917432      1.7041249E-26
    0.926606      2.1497339E-26
    0.935872      1.8627512E-26
    0.945231      2.2626257E-26
    0.954683      1.9853839E-26
    0.964230      1.9450861E-26
    0.973872      1.9499712E-26
    0.983611      1.7479772E-26
    0.993447      1.6175049E-26
    1.003382      1.5271809E-26
    1.013416      1.5062248E-26
    1.023550      1.4275778E-26
    1.033785      1.2774792E-26
    1.044123      1.1789492E-26
    1.054564      1.0860353E-26
    1.065110      1.0461467E-26
    1.075761      1.0461144E-26
    1.086519      1.6019096E-26
    1.097384      2.8038809E-26
    1.108358      3.1231883E-26
    1.119441      2.9013673E-26
    1.130636      6.4356324E-26
    1.141942      4.2372998E-26
    1.153361      6.1285890E-26
    1.164895      2.4780233E-25
    1.176544      1.2352400E-25
    1.188309      4.4274121E-26
    1.200192      3.5217838E-26
    1.212194      2.9822252E-26
    1.224316      3.0231912E-26
    1.236560      7.8415640E-26
    1.248925      9.8276035E-26
    1.261414      2.4625672E-26
    1.274028      2.0429032E-26
    1.286769      1.8680114E-26
    1.299636      2.2162639E-26
    1.312633      2.8783697E-26
    1.325759      1.1339182E-24
    1.339017      3.3290726E-25
    1.352407      2.2571104E-25
    1.365931      1.7594388E-25
    1.379590      2.0755487E-25
    1.393386      2.4980908E-25
    1.407320      3.1593986E-25
    1.421393      3.1093150E-25
    1.435607      2.9176500E-25
    1.449963      2.9433501E-25
    1.464463      2.8752717E-25
    1.479108      2.6079267E-25
    1.493899      2.3585664E-25
    1.508838      2.4321002E-25
    1.523926      2.0059816E-25
    1.539165      1.8786474E-25
    1.554557      1.6961145E-25
    1.570102      1.4721465E-25
    1.585803      1.2795086E-25
    1.601662      1.1311527E-25
    1.617678      1.0104453E-25
    1.633855      8.5743574E-26
    1.650193      7.2801023E-26
    1.666695      6.4937190E-26
    1.683362      7.1318748E-26
    1.700196      9.9454635E-26
    1.717198      1.3725252E-25
    1.734370      2.0021398E-25
    1.751714      2.7975904E-25
    1.769231      3.8260104E-25
    1.786923      4.7722477E-25
    1.804792      5.2324771E-25
    1.822840      4.8984836E-25
    1.841069      6.6680289E-25
    1.859479      6.1222126E-25
    1.878074      5.2435333E-25
    1.896855      4.5116670E-25
    1.915823      4.5699381E-25
    1.934982      4.7177632E-25
    1.954331      5.1175350E-25
    1.973875      5.6821603E-25
    1.993613      5.7811910E-25
    2.013550      5.4123853E-25
    2.033685      5.0713379E-25
    2.054022      4.6533740E-25
    2.074562      4.0003720E-25
    2.095308      3.3497130E-25
    2.116261      2.8868100E-25
    2.137423      2.3749750E-25
    2.158798      2.0165976E-25
    2.180386      1.7270757E-25
    2.202190      1.5072329E-25
    2.224211      1.3395546E-25
    2.246454      1.2403813E-25
    2.268918      1.1849592E-25
    2.291607      3.1841010E-25
    2.314523      4.4180913E-25
    2.337669      4.1082081E-25
    2.361045      3.8362238E-25
    2.384656      5.5568391E-25
    2.408502      8.5966822E-25
    2.432587      1.2458949E-24
    2.456913      1.8027274E-24
    2.481482      2.1913540E-24
    2.506297      2.4911244E-24
    2.531360      2.4983644E-24
    2.556674      2.2699952E-24
    2.582240      1.9141905E-24
    2.608063      1.4684674E-24
    2.634143      1.1718061E-24
    2.660485      2.1857007E-24
    2.687090      2.6799092E-24
    2.713961      2.7766244E-24
    2.741100      2.8857527E-24
    2.768511      2.6556816E-24
    2.796196      3.0603647E-24
    2.824158      3.2266480E-24
    2.852400      3.0823584E-24
    2.880924      3.3663905E-24
    2.909733      3.3787913E-24
    2.938830      3.2816677E-24
    2.968219      3.2128759E-24
    2.997901      2.9631306E-24
    3.027880      2.8644399E-24
    3.058159      2.5312915E-24
    3.088740      2.3719156E-24
    3.119628      2.0908073E-24
    3.150824      1.9028412E-24
    3.182332      1.7099760E-24
    3.214156      1.4703208E-24
    3.246297      1.3067620E-24
    3.278760      1.1550305E-24
    3.311548      1.1037236E-24
    3.344663      9.6908532E-25
    3.378110      8.1019396E-25
    3.411891      7.1904675E-25
    3.446010      6.5684632E-25
    3.480470      5.9724095E-25
    3.515275      5.4776751E-25
    3.550427      4.9793039E-25
    3.585932      4.5031692E-25
    3.621791      3.9298837E-25
    3.658009      3.4858195E-25
    3.694589      3.0699596E-25
    3.731535      2.7341064E-25
    3.768850      2.3366922E-25
    3.806539      2.2702592E-25
    3.844604      2.0790918E-25
    3.883050      1.9779949E-25
    3.921881      2.9928764E-25
    3.961099      2.6413293E-25
    4.000710      2.4531611E-25
    4.040718      3.0478063E-25
    4.081125      3.4346357E-25
    4.121936      3.5374269E-25
    4.163155      3.7649302E-25
    4.204787      3.8493218E-25
    4.246835      4.4411241E-25
    4.289303      2.0656504E-24
    4.332196      5.6143640E-24
    4.375518      9.7838209E-24
    4.419273      1.3719787E-23
    4.463466      1.7359725E-23
    4.508101      1.8506858E-23
    4.553182      1.6674695E-23
    4.598714      1.2848145E-23
    4.644701      8.3196860E-24
    4.691148      7.2109314E-24
    4.738059      8.1353774E-24
    4.785440      9.3937994E-24
    4.833294      1.0588422E-23
    4.881627      1.1264386E-23
    4.930443      1.1553642E-23
    4.979748      1.0850994E-23
    5.029545      1.0085791E-23
    5.079841      8.7703898E-24
    5.130639      7.6174929E-24
    5.181946      6.7409990E-24
    5.233765      5.9436402E-24
    5.286103      5.5077368E-24
    5.338964      4.9900631E-24
    5.392353      4.4079575E-24
    5.446277      3.9300226E-24
    5.500740      3.8320086E-24
    5.555747      3.4190303E-24
    5.611304      3.2183331E-24
    5.667418      3.1736231E-24
    5.724092      2.9113272E-24
    5.781333      2.7966075E-24
    5.839146      2.6341630E-24
    5.897537      2.4165761E-24
    5.956513      1.9582105E-24
    6.016078      2.0889799E-24
    6.076239      1.6609918E-24
    6.137001      1.5663421E-24
    6.198371      1.4093723E-24
    6.260355      1.3246930E-24
    6.322958      1.5959457E-24
    6.386188      2.5019235E-24
    6.450050      4.6526081E-24
