# Pressure:     3.000E-04 Ba
# Temperature:    140.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.3659127E-31
    0.505000      1.3109631E-31
    0.510050      1.2582560E-31
    0.515150      1.2076982E-31
    0.520302      1.1592001E-31
    0.525505      1.1126763E-31
    0.530760      1.0680446E-31
    0.536068      1.0252268E-31
    0.541428      9.8414764E-32
    0.546843      9.4473528E-32
    0.552311      9.0692083E-32
    0.557834      8.7063837E-32
    0.563413      8.3582473E-32
    0.569047      8.0241943E-32
    0.574737      7.7036454E-32
    0.580484      7.3960456E-32
    0.586289      7.1916798E-32
    0.592152      6.9560539E-32
    0.598074      6.5457355E-32
    0.604054      6.2848347E-32
    0.610095      6.0344387E-32
    0.616196      5.7941185E-32
    0.622358      5.5634626E-32
    0.628582      5.3420770E-32
    0.634867      5.1295838E-32
    0.641216      5.8981037E-32
    0.647628      4.8320813E-32
    0.654104      4.5419127E-32
    0.660645      4.3615157E-32
    0.667252      4.1883449E-32
    0.673924      4.0221071E-32
    0.680664      3.8625215E-32
    0.687470      3.7325573E-32
    0.694345      3.9177232E-32
    0.701288      3.5350848E-32
    0.708301      3.3058072E-32
    0.715384      4.9642620E-32
    0.722538      4.7737512E-32
    0.729764      2.9634777E-32
    0.737061      2.7952050E-32
    0.744432      2.6846049E-32
    0.751876      2.5784105E-32
    0.759395      2.4764445E-32
    0.766989      2.3785368E-32
    0.774659      2.2845245E-32
    0.782405      2.2045921E-32
    0.790229      2.1366815E-32
    0.798132      2.0650630E-32
    0.806113      2.0175301E-32
    0.814174      2.6919124E-32
    0.822316      2.5081197E-32
    0.830539      9.0192195E-29
    0.838844      3.2176597E-28
    0.847233      2.6695037E-28
    0.855705      3.5986349E-28
    0.864262      4.6911594E-28
    0.872905      8.6396387E-28
    0.881634      1.2796407E-27
    0.890450      1.7597754E-26
    0.899355      8.4564766E-27
    0.908348      2.4877308E-28
    0.917432      2.4872186E-28
    0.926606      5.9574155E-28
    0.935872      2.5886282E-28
    0.945231      1.0496019E-28
    0.954683      1.7749419E-28
    0.964230      6.2320657E-28
    0.973872      1.1560686E-27
    0.983611      4.9775440E-27
    0.993447      4.9065968E-27
    1.003382      4.2018479E-27
    1.013416      8.8663616E-27
    1.023550      1.8178190E-26
    1.033785      7.9661839E-27
    1.044123      1.2355014E-27
    1.054564      5.9005825E-28
    1.065110      9.5624390E-28
    1.075761      1.3843911E-27
    1.086519      7.5368549E-28
    1.097384      7.0519288E-28
    1.108358      1.1218143E-27
    1.119441      1.2614529E-26
    1.130636      1.5166308E-26
    1.141942      4.0096513E-27
    1.153361      3.6103728E-26
    1.164895      9.1082423E-26
    1.176544      2.6887433E-26
    1.188309      1.0176555E-26
    1.200192      2.1516145E-26
    1.212194      2.2854611E-26
    1.224316      8.4854982E-27
    1.236560      8.1429497E-28
    1.248925      1.7066384E-27
    1.261414      2.1259846E-27
    1.274028      1.7472400E-27
    1.286769      1.0347973E-26
    1.299636      1.4934245E-26
    1.312633      1.6453704E-26
    1.325759      1.9865126E-26
    1.339017      1.9858664E-26
    1.352407      5.4050826E-26
    1.365931      3.7511489E-26
    1.379590      4.6821166E-26
    1.393386      7.5439559E-26
    1.407320      3.7745458E-26
    1.421393      1.0477114E-26
    1.435607      1.3952635E-26
    1.449963      1.3994914E-26
    1.464463      3.3923145E-26
    1.479108      8.8541716E-26
    1.493899      2.1880476E-25
    1.508838      2.2092574E-25
    1.523926      7.5656269E-26
    1.539165      1.8979221E-26
    1.554557      5.9486213E-27
    1.570102      4.0380130E-27
    1.585803      1.6638635E-27
    1.601662      7.7372703E-28
    1.617678      7.9120229E-27
    1.633855      8.8712539E-26
    1.650193      1.0988486E-25
    1.666695      6.2285128E-26
    1.683362      6.5772851E-26
    1.700196      2.0262812E-25
    1.717198      1.4959038E-25
    1.734370      4.5763652E-26
    1.751714      2.3507650E-26
    1.769231      9.5650081E-26
    1.786923      1.0356972E-25
    1.804792      2.9111114E-26
    1.822840      1.0920209E-26
    1.841069      1.1161099E-26
    1.859479      3.2509422E-27
    1.878074      1.7093317E-27
    1.896855      4.2469335E-27
    1.915823      2.1038440E-26
    1.934982      1.4017372E-25
    1.954331      3.0043889E-25
    1.973875      2.9209390E-25
    1.993613      1.7702369E-25
    2.013550      5.7007941E-26
    2.033685      1.3653564E-26
    2.054022      4.0688682E-27
    2.074562      8.6059774E-28
    2.095308      1.7166527E-28
    2.116261      3.7222605E-28
    2.137423      4.3869360E-27
    2.158798      9.2418174E-26
    2.180386      5.1470371E-26
    2.202190      1.5366141E-25
    2.224211      4.0203275E-25
    2.246454      7.4032330E-25
    2.268918      1.3405303E-24
    2.291607      2.1051098E-24
    2.314523      1.0622579E-24
    2.337669      1.3838595E-24
    2.361045      1.3828944E-24
    2.384656      2.7591419E-25
    2.408502      1.2557772E-25
    2.432587      5.5016071E-26
    2.456913      2.8069245E-26
    2.481482      2.4622390E-26
    2.506297      2.9163649E-26
    2.531360      2.5379573E-26
    2.556674      1.6529322E-25
    2.582240      9.8760869E-26
    2.608063      9.2035275E-27
    2.634143      1.9423403E-27
    2.660485      5.6169152E-28
    2.687090      1.6960905E-28
    2.713961      9.8159092E-29
    2.741100      2.1293569E-28
    2.768511      1.8835380E-27
    2.796196      1.8157638E-26
    2.824158      1.0962953E-25
    2.852400      2.0920745E-25
    2.880924      3.1229975E-25
    2.909733      3.5378014E-25
    2.938830      4.4020172E-25
    2.968219      2.0750741E-25
    2.997901      2.2321582E-25
    3.027880      2.2083190E-25
    3.058159      1.2159318E-25
    3.088740      2.2974106E-25
    3.119628      8.5638885E-26
    3.150824      1.0026320E-25
    3.182332      1.2154590E-24
    3.214156      2.3769094E-24
    3.246297      3.9403669E-24
    3.278760      3.9304993E-24
    3.311548      1.6656850E-24
    3.344663      2.3991677E-24
    3.378110      2.1469194E-24
    3.411891      7.5138349E-25
    3.446010      5.3634638E-25
    3.480470      3.4639383E-25
    3.515275      6.6115437E-25
    3.550427      6.4311613E-25
    3.585932      1.8606798E-25
    3.621791      1.1496756E-25
    3.658009      4.9196570E-26
    3.694589      1.3584506E-25
    3.731535      7.7861330E-26
    3.768850      6.7586292E-26
    3.806539      1.7191729E-26
    3.844604      7.8785301E-26
    3.883050      4.2106678E-26
    3.921881      3.5377056E-26
    3.961099      1.8535840E-26
    4.000710      9.7715525E-27
    4.040718      6.8768052E-27
    4.081125      3.5628488E-27
    4.121936      1.1796137E-27
    4.163155      1.5456689E-28
    4.204787      1.3467542E-27
    4.246835      5.7304756E-28
    4.289303      2.9160286E-28
    4.332196      2.9592206E-28
    4.375518      1.2504395E-28
    4.419273      1.4031913E-28
    4.463466      3.8371680E-29
    4.508101      1.8039398E-29
    4.553182      5.9845434E-30
    4.598714      1.6560259E-30
    4.644701      8.0502411E-31
    4.691148      6.5984971E-31
    4.738059      1.0188755E-30
    4.785440      1.8884606E-30
    4.833294      2.8385040E-30
    4.881627      4.1021805E-30
    4.930443      8.3353547E-30
    4.979748      4.8845927E-30
    5.029545      2.1718438E-30
    5.079841      1.2068574E-29
    5.130639      4.2489799E-29
    5.181946      1.7892471E-28
    5.233765      4.7335392E-29
    5.286103      2.4710524E-27
    5.338964      1.9411493E-27
    5.392353      3.3815088E-27
    5.446277      1.2085307E-27
    5.500740      5.8360252E-27
    5.555747      2.0625182E-26
    5.611304      2.6121873E-26
    5.667418      9.2074354E-26
    5.724092      2.5481851E-25
    5.781333      2.2754967E-25
    5.839146      2.1569873E-25
    5.897537      3.9857163E-25
    5.956513      3.0746492E-25
    6.016078      2.9166258E-25
    6.076239      3.4046936E-25
    6.137001      2.5290696E-24
    6.198371      2.9540450E-25
    6.260355      3.0981962E-25
    6.322958      1.7470228E-25
    6.386188      3.0058206E-25
    6.450050      3.9939924E-25
    6.514550      1.1569756E-25
    6.579696      1.1286882E-25
    6.645493      5.4145326E-26
    6.711948      3.5915139E-26
    6.779067      2.7409623E-26
    6.846858      2.6419239E-26
    6.915326      1.4376347E-26
    6.984480      1.1485510E-26
    7.054324      6.6844002E-27
    7.124868      7.3860715E-27
    7.196116      1.7206572E-26
    7.268078      5.6780232E-26
    7.340758      7.2548275E-25
    7.414166      2.5165114E-24
    7.488308      2.0432597E-24
    7.563191      9.3559893E-25
    7.638823      3.4923995E-23
    7.715211      1.2592449E-24
    7.792363      6.5554161E-25
    7.870286      6.5188154E-25
    7.948989      2.6990865E-25
    8.028479      7.7877246E-26
    8.108764      1.8099521E-26
    8.189852      6.3619104E-27
    8.271750      3.2302870E-27
    8.354468      1.2216159E-27
    8.438012      6.5989291E-27
    8.522393      5.6126315E-28
    8.607616      4.2959426E-27
    8.693693      4.3495698E-26
    8.780630      8.8458440E-27
    8.868436      1.2883323E-25
    8.957120      2.3982879E-26
    9.046691      6.8215351E-26
    9.137158      4.2008676E-25
    9.228530      1.9490523E-25
    9.320815      5.3854885E-25
    9.414023      3.6933426E-25
    9.508164      9.7213885E-25
    9.603245      1.1240780E-24
    9.699278      5.6183960E-25
    9.796270      9.9260787E-25
    9.894233      1.5565362E-26
    9.993175      2.0292816E-24
   10.093107      4.5701276E-29
   10.194038      1.0790492E-28
   10.295979      2.4530743E-23
   10.398938      1.6760641E-25
   10.502928      1.2247945E-24
   10.607957      1.5297022E-26
   10.714037      1.4365416E-23
   10.821177      1.5115918E-25
   10.929389      3.7698956E-27
   11.038683      5.1041075E-27
   11.149070      9.5467858E-25
   11.260560      3.5480636E-27
   11.373166      6.7134523E-29
   11.486898      5.8290850E-25
   11.601766      3.7814578E-29
   11.717784      5.2474783E-25
   11.834962      1.3134260E-27
   11.953312      3.5079995E-25
   12.072845      1.1611146E-25
   12.193573      1.8610761E-25
   12.315509      5.8916041E-26
   12.438664      1.1598371E-26
   12.563051      2.6360176E-26
   12.688681      1.0146195E-26
   12.815568      1.7947690E-26
   12.943724      1.5020813E-26
   13.073161      4.3815361E-27
   13.203892      4.1942316E-27
   13.335931      3.6678474E-27
   13.469291      6.8465780E-28
   13.603984      5.7314611E-28
   13.740023      1.4434315E-27
   13.877424      2.8543921E-28
   14.016198      9.9815243E-28
   14.156360      4.7329395E-29
   14.297924      4.0929433E-29
   14.440903      5.7726081E-28
   14.585312      1.5466955E-29
   14.731165      4.7948614E-29
   14.878477      3.8995457E-28
   15.027261      2.7730163E-29
   15.177534      3.0531367E-29
   15.329309      5.2468718E-28
   15.482602      3.7678004E-29
   15.637428      1.6068066E-28
   15.793803      4.3942209E-27
   15.951741      5.6391216E-28
   16.111258      3.4913869E-29
   16.272371      8.0948764E-30
   16.435094      3.5969212E-30
   16.599445      1.4814285E-30
   16.765440      1.5217659E-30
   16.933094      7.8794344E-29
   17.102425      9.3103999E-31
   17.273449      1.1216535E-30
   17.446184      1.5800608E-28
   17.620646      4.2759865E-31
   17.796852      4.7774486E-31
   17.974821      3.8713985E-28
   18.154569      2.3790299E-28
   18.336115      3.2327592E-31
   18.519476      7.4271010E-29
   18.704670      1.5273754E-29
   18.891717      3.4846202E-30
   19.080634      1.0168320E-28
   19.271441      4.1812035E-29
   19.464155      7.7084137E-30
   19.658797      2.8619738E-29
   19.855385      1.5721970E-29
   20.053938      1.0358331E-29
   20.254478      1.2539278E-29
   20.457023      5.4497047E-30
   20.661593      3.7569590E-31
   20.868209      2.6649895E-31
   21.076891      5.6691113E-31
   21.287660      2.5325441E-31
   21.500536      4.1745915E-31
   21.715542      2.2993061E-30
   21.932697      1.9227741E-31
   22.152024      4.8144224E-32
   22.373544      1.4011632E-30
   22.597280      4.3450316E-30
   22.823253      5.2693791E-32
   23.051485      1.3683838E-30
   23.282000      6.8424568E-31
   23.514820      1.3757230E-31
   23.749968      3.6994875E-30
   23.987468      3.8747914E-32
   24.227343      3.6263775E-32
   24.469616      2.2799738E-31
   24.714312      1.9408359E-31
   24.961455      3.9720678E-30
   25.211070      1.9961819E-31
   25.463180      1.1024841E-31
   25.717812      1.0822937E-29
   25.974990      5.2230100E-32
   26.234740      3.8502417E-31
   26.497088      1.1427313E-30
   26.762059      7.1051519E-30
   27.029679      2.9744414E-32
   27.299976      2.5602767E-31
   27.572976      4.0614251E-31
   27.848705      2.2354128E-31
   28.127193      1.7616174E-29
   28.408464      7.9321220E-30
   28.692549      2.4451158E-30
   28.979475      1.2936570E-31
   29.269269      6.3025706E-31
   29.561962      4.9832293E-29
   29.857582      4.9232757E-31
