# Pressure:     3.000E+00 Ba
# Temperature:   3000.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      7.0733673E-28
    0.505000      8.5171803E-28
    0.510050      1.0501756E-27
    0.515150      1.0461115E-27
    0.520302      1.2227594E-27
    0.525505      1.4495417E-27
    0.530760      2.2260219E-27
    0.536068      2.1684191E-27
    0.541428      2.7521257E-27
    0.546843      3.6347558E-27
    0.552311      4.9902590E-27
    0.557834      7.2945278E-27
    0.563413      1.6101919E-26
    0.569047      2.1434109E-26
    0.574737      5.1614901E-26
    0.580484      2.7127364E-25
    0.586289      1.1181052E-22
    0.592152      1.6002776E-25
    0.598074      4.2088907E-26
    0.604054      1.9586368E-26
    0.610095      1.2113460E-26
    0.616196      7.5096737E-27
    0.622358      5.4079649E-27
    0.628582      4.1017547E-27
    0.634867      3.2766859E-27
    0.641216      2.7252608E-27
    0.647628      2.3359819E-27
    0.654104      2.0337440E-27
    0.660645      1.8096822E-27
    0.667252      1.6521310E-27
    0.673924      1.5468720E-27
    0.680664      1.4766666E-27
    0.687470      4.6041516E-27
    0.694345      1.4940684E-27
    0.701288      1.5630572E-27
    0.708301      1.7004998E-27
    0.715384      2.1391488E-27
    0.722538      2.4731423E-27
    0.729764      3.1746316E-27
    0.737061      4.4830963E-27
    0.744432      7.7714920E-27
    0.751876      1.8991129E-26
    0.759395      1.6706084E-25
    0.766989      8.2220028E-24
    0.774659      3.7315435E-26
    0.782405      1.1123909E-26
    0.790229      5.7483971E-27
    0.798132      3.6057783E-27
    0.806113      3.1500263E-27
    0.814174      1.8128317E-25
    0.822316      2.4603591E-27
    0.830539      1.8556747E-27
    0.838844      1.8687571E-27
    0.847233      1.9565279E-27
    0.855705      1.5783095E-27
    0.864262      1.4345873E-27
    0.872905      1.3581771E-27
    0.881634      1.4842096E-27
    0.890450      2.0592048E-27
    0.899355      1.5327580E-27
    0.908348      2.2353429E-27
    0.917432      3.1176947E-27
    0.926606      8.0442729E-27
    0.935872      6.6502708E-27
    0.945231      1.0531390E-26
    0.954683      8.0424816E-27
    0.964230      9.3260503E-27
    0.973872      1.0352259E-26
    0.983611      9.0356117E-27
    0.993447      8.2264891E-27
    1.003382      7.7495239E-27
    1.013416      7.9224243E-27
    1.023550      7.6310362E-27
    1.033785      6.5035097E-27
    1.044123      5.7531397E-27
    1.054564      5.1689877E-27
    1.065110      4.8984882E-27
    1.075761      5.0106405E-27
    1.086519      9.9587265E-27
    1.097384      1.8384170E-26
    1.108358      2.3884549E-26
    1.119441      2.0323419E-26
    1.130636      4.2073889E-26
    1.141942      2.7565686E-26
    1.153361      2.8195300E-26
    1.164895      1.1093598E-25
    1.176544      3.3364565E-26
    1.188309      3.1323184E-26
    1.200192      2.8866789E-26
    1.212194      2.4807176E-26
    1.224316      2.3526098E-26
    1.236560      4.0693459E-26
    1.248925      6.1455057E-26
    1.261414      2.0072664E-26
    1.274028      1.7682516E-26
    1.286769      1.6430132E-26
    1.299636      1.9911203E-26
    1.312633      2.6374981E-26
    1.325759      8.4712655E-25
    1.339017      3.0262315E-25
    1.352407      1.8949136E-25
    1.365931      1.5373489E-25
    1.379590      1.8147618E-25
    1.393386      2.1950518E-25
    1.407320      2.8158022E-25
    1.421393      2.7252089E-25
    1.435607      2.6436343E-25
    1.449963      2.7154860E-25
    1.464463      2.6426184E-25
    1.479108      2.3680364E-25
    1.493899      2.1362352E-25
    1.508838      2.1059095E-25
    1.523926      1.8393177E-25
    1.539165      1.7468053E-25
    1.554557      1.5787761E-25
    1.570102      1.3762568E-25
    1.585803      1.1973583E-25
    1.601662      1.0570422E-25
    1.617678      9.4888586E-26
    1.633855      8.0298869E-26
    1.650193      6.7747164E-26
    1.666695      6.0253710E-26
    1.683362      6.7592992E-26
    1.700196      9.2651195E-26
    1.717198      1.3010396E-25
    1.734370      1.8620942E-25
    1.751714      2.5159667E-25
    1.769231      3.4914957E-25
    1.786923      4.2146366E-25
    1.804792      4.8530490E-25
    1.822840      4.3193809E-25
    1.841069      5.9859135E-25
    1.859479      5.3928082E-25
    1.878074      4.8094832E-25
    1.896855      3.9994390E-25
    1.915823      4.0569858E-25
    1.934982      4.0927337E-25
    1.954331      4.4564554E-25
    1.973875      5.0124667E-25
    1.993613      5.2607527E-25
    2.013550      4.8921752E-25
    2.033685      4.7191745E-25
    2.054022      4.3542921E-25
    2.074562      3.7589402E-25
    2.095308      3.1934651E-25
    2.116261      2.7307818E-25
    2.137423      2.2267375E-25
    2.158798      1.8685545E-25
    2.180386      1.5768380E-25
    2.202190      1.3476662E-25
    2.224211      1.1957776E-25
    2.246454      1.0669516E-25
    2.268918      9.9317389E-26
    2.291607      2.7834873E-25
    2.314523      4.2626912E-25
    2.337669      3.7486185E-25
    2.361045      3.5421342E-25
    2.384656      5.3198648E-25
    2.408502      7.9243092E-25
    2.432587      1.1108717E-24
    2.456913      1.6423835E-24
    2.481482      1.9775312E-24
    2.506297      2.1818351E-24
    2.531360      2.1605532E-24
    2.556674      2.0801698E-24
    2.582240      1.7737790E-24
    2.608063      1.3543119E-24
    2.634143      1.0013153E-24
    2.660485      1.7883757E-24
    2.687090      2.2725964E-24
    2.713961      2.5418096E-24
    2.741100      2.5556645E-24
    2.768511      2.2494922E-24
    2.796196      2.7925263E-24
    2.824158      3.1544078E-24
    2.852400      2.7935234E-24
    2.880924      2.9679888E-24
    2.909733      3.1113676E-24
    2.938830      3.0443192E-24
    2.968219      2.9395595E-24
    2.997901      2.7159968E-24
    3.027880      2.7052946E-24
    3.058159      2.3373829E-24
    3.088740      2.0906624E-24
    3.119628      1.8466063E-24
    3.150824      1.6675425E-24
    3.182332      1.5259611E-24
    3.214156      1.3039253E-24
    3.246297      1.1735978E-24
    3.278760      9.8718497E-25
    3.311548      8.9015698E-25
    3.344663      8.1566834E-25
    3.378110      7.2623242E-25
    3.411891      6.3526241E-25
    3.446010      5.7425138E-25
    3.480470      5.2068457E-25
    3.515275      4.7809860E-25
    3.550427      4.3146457E-25
    3.585932      3.9715512E-25
    3.621791      3.4851901E-25
    3.658009      3.0914051E-25
    3.694589      2.7769199E-25
    3.731535      2.4766187E-25
    3.768850      2.1174015E-25
    3.806539      2.0608933E-25
    3.844604      1.9016598E-25
    3.883050      1.8088245E-25
    3.921881      2.5627816E-25
    3.961099      2.0441329E-25
    4.000710      2.2860892E-25
    4.040718      2.8557825E-25
    4.081125      3.2048943E-25
    4.121936      3.2317175E-25
    4.163155      3.3868276E-25
    4.204787      3.4182873E-25
    4.246835      3.7085649E-25
    4.289303      2.0693069E-24
    4.332196      4.7174264E-24
    4.375518      9.0470635E-24
    4.419273      1.2557558E-23
    4.463466      1.7727353E-23
    4.508101      1.7818056E-23
    4.553182      1.6499033E-23
    4.598714      1.3001630E-23
    4.644701      8.1749754E-24
    4.691148      6.7210007E-24
    4.738059      7.6012213E-24
    4.785440      8.0884673E-24
    4.833294      9.3138704E-24
    4.881627      1.0331329E-23
    4.930443      1.0810579E-23
    4.979748      9.7916149E-24
    5.029545      9.9915635E-24
    5.079841      8.1071530E-24
    5.130639      6.6393763E-24
    5.181946      6.4152672E-24
    5.233765      5.8099621E-24
    5.286103      5.5902810E-24
    5.338964      4.8101619E-24
    5.392353      4.1210488E-24
    5.446277      3.4880005E-24
    5.500740      3.4983501E-24
    5.555747      3.0247201E-24
    5.611304      3.0718514E-24
    5.667418      2.8705350E-24
    5.724092      2.5634300E-24
    5.781333      2.5761872E-24
    5.839146      2.2895695E-24
    5.897537      2.0024787E-24
    5.956513      1.5184598E-24
    6.016078      1.9870370E-24
    6.076239      1.4811275E-24
    6.137001      1.3889349E-24
    6.198371      1.2401227E-24
    6.260355      1.1928664E-24
    6.322958      1.4142916E-24
    6.386188      2.2097882E-24
    6.450050      4.0553811E-24
    6.514550      4.7821030E-24
    6.579696      6.8157499E-24
    6.645493      6.0794877E-24
    6.711948      5.5583991E-24
    6.779067      6.9740237E-24
    6.846858      5.5848775E-24
    6.915326      5.1242690E-24
    6.984480      5.7322433E-24
    7.054324      5.1893383E-24
    7.124868      4.7753111E-24
    7.196116      5.2960681E-24
    7.268078      5.1591746E-24
    7.340758      4.6213205E-24
    7.414166      5.0384719E-24
    7.488308      4.7180724E-24
    7.563191      5.4412474E-24
    7.638823      4.5170527E-24
    7.715211      4.9479863E-24
    7.792363      5.0225718E-24
    7.870286      4.9714782E-24
    7.948989      5.3157444E-24
    8.028479      5.9289122E-24
    8.108764      6.2686983E-24
    8.189852      5.2707800E-24
    8.271750      5.8888153E-24
    8.354468      4.6833915E-24
    8.438012      5.2810023E-24
    8.522393      4.4647376E-24
    8.607616      4.1521068E-24
    8.693693      4.4260630E-24
    8.780630      3.8086435E-24
    8.868436      3.5630847E-24
    8.957120      3.4888159E-24
    9.046691      3.5701394E-24
