# Pressure:     3.000E+02 Ba
# Temperature:   3250.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.8645049E-26
    0.505000      5.7117235E-26
    0.510050      6.5552041E-26
    0.515150      7.4674139E-26
    0.520302      8.7427444E-26
    0.525505      1.0346343E-25
    0.530760      1.2920957E-25
    0.536068      1.5838571E-25
    0.541428      2.0469033E-25
    0.546843      2.6714614E-25
    0.552311      3.6881534E-25
    0.557834      5.4533669E-25
    0.563413      8.5228176E-25
    0.569047      1.5658910E-24
    0.574737      3.5536258E-24
    0.580484      1.6232090E-23
    0.586289      9.8835608E-23
    0.592152      7.8942398E-24
    0.598074      2.8523388E-24
    0.604054      1.3492836E-24
    0.610095      7.8802455E-25
    0.616196      5.3169123E-25
    0.622358      4.0009104E-25
    0.628582      3.0700456E-25
    0.634867      2.4467588E-25
    0.641216      2.0568298E-25
    0.647628      1.8077140E-25
    0.654104      1.6359164E-25
    0.660645      1.5237566E-25
    0.667252      1.4563549E-25
    0.673924      1.4526087E-25
    0.680664      1.4967387E-25
    0.687470      1.6390666E-25
    0.694345      1.7499359E-25
    0.701288      1.9666752E-25
    0.708301      2.2624635E-25
    0.715384      2.8361482E-25
    0.722538      3.6903659E-25
    0.729764      5.4131895E-25
    0.737061      8.2124420E-25
    0.744432      1.6034163E-24
    0.751876      3.8143410E-24
    0.759395      1.7754602E-23
    0.766989      3.7179517E-23
    0.774659      5.0491468E-24
    0.782405      1.8981372E-24
    0.790229      9.8173152E-25
    0.798132      6.0387039E-25
    0.806113      4.1286024E-25
    0.814174      3.7415686E-25
    0.822316      2.3171246E-25
    0.830539      1.7780975E-25
    0.838844      1.4244497E-25
    0.847233      1.1950873E-25
    0.855705      9.9644831E-26
    0.864262      8.5529509E-26
    0.872905      7.5147179E-26
    0.881634      6.5976798E-26
    0.890450      5.9298386E-26
    0.899355      5.2427822E-26
    0.908348      4.8214667E-26
    0.917432      4.5593486E-26
    0.926606      4.7231087E-26
    0.935872      4.2486263E-26
    0.945231      4.3695994E-26
    0.954683      3.9339449E-26
    0.964230      3.8634734E-26
    0.973872      3.7431787E-26
    0.983611      3.4326489E-26
    0.993447      3.1954802E-26
    1.003382      3.0233987E-26
    1.013416      2.9482657E-26
    1.023550      2.8070181E-26
    1.033785      2.5985939E-26
    1.044123      2.4677559E-26
    1.054564      2.3697362E-26
    1.065110      2.3493432E-26
    1.075761      2.3565325E-26
    1.086519      2.9509253E-26
    1.097384      4.0044816E-26
    1.108358      4.5532235E-26
    1.119441      4.6033766E-26
    1.130636      7.8018449E-26
    1.141942      7.1064275E-26
    1.153361      1.0208939E-25
    1.164895      2.3748489E-25
    1.176544      1.5280571E-25
    1.188309      7.3815691E-26
    1.200192      5.2723162E-26
    1.212194      4.4016550E-26
    1.224316      4.4964569E-26
    1.236560      7.5618408E-26
    1.248925      8.2218436E-26
    1.261414      3.5100909E-26
    1.274028      2.8084893E-26
    1.286769      2.4462380E-26
    1.299636      2.7657874E-26
    1.312633      3.4956433E-26
    1.325759      1.1407527E-24
    1.339017      3.3185747E-25
    1.352407      2.3842437E-25
    1.365931      1.9055163E-25
    1.379590      2.2124772E-25
    1.393386      2.6782815E-25
    1.407320      3.3707472E-25
    1.421393      3.3484909E-25
    1.435607      3.1555656E-25
    1.449963      3.2005661E-25
    1.464463      3.1932031E-25
    1.479108      2.9436906E-25
    1.493899      2.6708973E-25
    1.508838      2.6260561E-25
    1.523926      2.3104943E-25
    1.539165      2.1773049E-25
    1.554557      1.9727370E-25
    1.570102      1.7120787E-25
    1.585803      1.4971679E-25
    1.601662      1.3311954E-25
    1.617678      1.1852020E-25
    1.633855      1.0148388E-25
    1.650193      8.6339239E-26
    1.666695      7.7044411E-26
    1.683362      8.4023840E-26
    1.700196      1.1614989E-25
    1.717198      1.5719023E-25
    1.734370      2.2344163E-25
    1.751714      3.1004648E-25
    1.769231      4.1937915E-25
    1.786923      5.1539295E-25
    1.804792      5.5719569E-25
    1.822840      5.3252888E-25
    1.841069      7.2067115E-25
    1.859479      6.6742230E-25
    1.878074      5.7668433E-25
    1.896855      5.0364535E-25
    1.915823      5.0273797E-25
    1.934982      5.1850366E-25
    1.954331      5.5990041E-25
    1.973875      6.2305193E-25
    1.993613      6.4403519E-25
    2.013550      6.1370966E-25
    2.033685      5.7740758E-25
    2.054022      5.3307786E-25
    2.074562      4.6344855E-25
    2.095308      3.9220261E-25
    2.116261      3.3866353E-25
    2.137423      2.8021871E-25
    2.158798      2.3917198E-25
    2.180386      2.0586162E-25
    2.202190      1.8090339E-25
    2.224211      1.6030923E-25
    2.246454      1.4985324E-25
    2.268918      1.4691106E-25
    2.291607      3.1541145E-25
    2.314523      4.3345724E-25
    2.337669      4.3747482E-25
    2.361045      4.1520102E-25
    2.384656      6.0209936E-25
    2.408502      9.4295860E-25
    2.432587      1.3742056E-24
    2.456913      1.9269700E-24
    2.481482      2.3545216E-24
    2.506297      2.6306521E-24
    2.531360      2.6275848E-24
    2.556674      2.4112795E-24
    2.582240      1.9957752E-24
    2.608063      1.5825483E-24
    2.634143      1.3161012E-24
    2.660485      2.1787921E-24
    2.687090      2.7537866E-24
    2.713961      2.9391472E-24
    2.741100      2.9820604E-24
    2.768511      2.8834194E-24
    2.796196      3.2291263E-24
    2.824158      3.4312046E-24
    2.852400      3.3134600E-24
    2.880924      3.6191921E-24
    2.909733      3.6691541E-24
    2.938830      3.6154939E-24
    2.968219      3.5112220E-24
    2.997901      3.3535796E-24
    3.027880      3.2054401E-24
    3.058159      2.9084447E-24
    3.088740      2.7500235E-24
    3.119628      2.4682140E-24
    3.150824      2.2477695E-24
    3.182332      2.0137659E-24
    3.214156      1.7487086E-24
    3.246297      1.5507911E-24
    3.278760      1.4091708E-24
    3.311548      1.3671483E-24
    3.344663      1.1987377E-24
    3.378110      9.8413434E-25
    3.411891      8.7332656E-25
    3.446010      7.9000726E-25
    3.480470      7.1532956E-25
    3.515275      6.6012117E-25
    3.550427      5.9865271E-25
    3.585932      5.3740512E-25
    3.621791      4.7312865E-25
    3.658009      4.2044782E-25
    3.694589      3.7055410E-25
    3.731535      3.2668460E-25
    3.768850      2.8147142E-25
    3.806539      2.7071416E-25
    3.844604      2.4708877E-25
    3.883050      2.4158874E-25
    3.921881      3.7041602E-25
    3.961099      3.2352517E-25
    4.000710      2.9247152E-25
    4.040718      3.5926865E-25
    4.081125      4.0138144E-25
    4.121936      4.1091099E-25
    4.163155      4.2967158E-25
    4.204787      4.4006003E-25
    4.246835      5.6190029E-25
    4.289303      2.1584597E-24
    4.332196      5.3867036E-24
    4.375518      8.9275429E-24
    4.419273      1.2586943E-23
    4.463466      1.5363675E-23
    4.508101      1.6089298E-23
    4.553182      1.4654419E-23
    4.598714      1.1350166E-23
    4.644701      7.6694584E-24
    4.691148      6.5359080E-24
    4.738059      7.2282811E-24
    4.785440      8.4053276E-24
    4.833294      9.5270727E-24
    4.881627      1.0167377E-23
    4.930443      1.0358377E-23
    4.979748      1.0009866E-23
    5.029545      9.3919538E-24
    5.079841      8.4184383E-24
    5.130639      7.7649072E-24
    5.181946      6.7747373E-24
    5.233765      5.9589286E-24
    5.286103      5.4407109E-24
    5.338964      5.0939995E-24
    5.392353      4.5212452E-24
    5.446277      4.1135602E-24
    5.500740      3.9327780E-24
    5.555747      3.6212526E-24
    5.611304      3.4170340E-24
    5.667418      3.2637142E-24
    5.724092      3.0827625E-24
    5.781333      2.8952560E-24
    5.839146      2.7235873E-24
    5.897537      2.5030969E-24
    5.956513      2.1987514E-24
    6.016078      2.1563037E-24
    6.076239      1.8144687E-24
    6.137001      1.7055953E-24
    6.198371      1.5813308E-24
    6.260355      1.5586175E-24
    6.322958      1.8311145E-24
    6.386188      2.8247590E-24
    6.450050      4.8326190E-24
    6.514550      6.1778954E-24
    6.579696      7.2123151E-24
    6.645493      7.1583912E-24
    6.711948      7.0532988E-24
    6.779067      7.5055849E-24
    6.846858      6.7781866E-24
    6.915326      6.5903089E-24
    6.984480      6.7522390E-24
    7.054324      6.4856657E-24
    7.124868      6.2928711E-24
    7.196116      6.2853680E-24
    7.268078      6.1790692E-24
    7.340758      6.0080383E-24
    7.414166      6.1408130E-24
    7.488308      5.9358587E-24
    7.563191      6.5339339E-24
    7.638823      6.2638814E-24
    7.715211      6.6132142E-24
    7.792363      6.7067691E-24
    7.870286      6.5411596E-24
    7.948989      6.8058193E-24
    8.028479      7.2672272E-24
    8.108764      7.2281825E-24
    8.189852      6.7454625E-24
    8.271750      7.0415835E-24
    8.354468      6.2387720E-24
    8.438012      6.4400786E-24
    8.522393      5.7112193E-24
    8.607616      5.3615046E-24
    8.693693      5.3950486E-24
    8.780630      4.8578482E-24
    8.868436      4.3724829E-24
    8.957120      4.3442794E-24
    9.046691      4.1444404E-24
    9.137158      4.0483081E-24
    9.228530      3.8704433E-24
    9.320815      3.9503922E-24
    9.414023      4.0919747E-24
    9.508164      3.8917435E-24
    9.603245      3.8125603E-24
    9.699278      3.7121550E-24
    9.796270      4.9150856E-24
    9.894233      4.3845505E-24
    9.993175      5.0742025E-24
   10.093107      4.6649395E-24
   10.194038      5.3016294E-24
   10.295979      5.6962875E-24
   10.398938      6.7285986E-24
   10.502928      6.7152538E-24
   10.607957      7.9192224E-24
   10.714037      7.8260722E-24
   10.821177      9.8466132E-24
   10.929389      1.1130127E-23
   11.038683      1.0877966E-23
   11.149070      1.1224983E-23
   11.260560      1.0866948E-23
   11.373166      1.1803361E-23
   11.486898      1.3383900E-23
   11.601766      1.1119865E-23
   11.717784      1.4555173E-23
   11.834962      1.3632294E-23
   11.953312      1.4903199E-23
   12.072845      1.6896031E-23
   12.193573      1.5288185E-23
   12.315509      1.6992471E-23
   12.438664      1.9596534E-23
   12.563051      1.8352552E-23
   12.688681      1.9551336E-23
   12.815568      1.9835686E-23
   12.943724      2.0557238E-23
   13.073161      2.1495234E-23
   13.203892      2.4314992E-23
   13.335931      2.2107196E-23
   13.469291      2.6249574E-23
   13.603984      2.6285613E-23
   13.740023      2.6014854E-23
   13.877424      2.5855872E-23
   14.016198      2.4490049E-23
   14.156360      2.7934838E-23
   14.297924      2.7582483E-23
   14.440903      2.6030238E-23
   14.585312      2.6464579E-23
   14.731165      2.8663228E-23
   14.878477      2.6863850E-23
   15.027261      2.9312770E-23
   15.177534      2.7220601E-23
   15.329309      2.8268114E-23
   15.482602      2.8459877E-23
   15.637428      3.1185940E-23
   15.793803      2.9489173E-23
   15.951741      3.1643202E-23
   16.111258      3.0233080E-23
   16.272371      2.8558967E-23
   16.435094      3.1647986E-23
   16.599445      2.8797302E-23
   16.765440      2.9049116E-23
   16.933094      2.8648516E-23
   17.102425      3.0886986E-23
   17.273449      3.3421607E-23
   17.446184      2.8351455E-23
   17.620646      3.3822277E-23
   17.796852      2.9708394E-23
   17.974821      3.1236787E-23
   18.154569      2.7144769E-23
   18.336115      3.6612402E-23
   18.519476      3.4779101E-23
   18.704670      2.8582043E-23
   18.891717      3.0954804E-23
   19.080634      3.3496201E-23
   19.271441      2.8783766E-23
   19.464155      3.3160859E-23
   19.658797      3.3371819E-23
   19.855385      2.9078996E-23
   20.053938      3.0418565E-23
   20.254478      3.4548439E-23
   20.457023      2.8004280E-23
   20.661593      2.5487784E-23
   20.868209      3.7645437E-23
   21.076891      2.9231190E-23
   21.287660      2.8148875E-23
   21.500536      3.2013129E-23
   21.715542      3.3253222E-23
   21.932697      2.6458571E-23
   22.152024      2.5880290E-23
   22.373544      3.4469960E-23
   22.597280      2.6683018E-23
   22.823253      2.7904352E-23
