# Pressure:     3.000E+01 Ba
# Temperature:   1500.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      7.2892820E-27
    0.505000      8.3249564E-27
    0.510050      9.6783536E-27
    0.515150      1.1410089E-26
    0.520302      1.3557693E-26
    0.525505      1.6446994E-26
    0.530760      2.0149945E-26
    0.536068      2.5167899E-26
    0.541428      3.2386635E-26
    0.546843      4.3224481E-26
    0.552311      5.9890425E-26
    0.557834      8.8499330E-26
    0.563413      1.4071196E-25
    0.569047      2.6483788E-25
    0.574737      6.3603319E-25
    0.580484      3.1372194E-24
    0.586289      2.1726568E-22
    0.592152      1.7946609E-24
    0.598074      4.9287937E-25
    0.604054      2.3515740E-25
    0.610095      1.3728719E-25
    0.616196      9.1273784E-26
    0.622358      6.6447160E-26
    0.628582      5.1799856E-26
    0.634867      4.1756125E-26
    0.641216      3.5446430E-26
    0.647628      3.0939236E-26
    0.654104      2.8137916E-26
    0.660645      2.6315306E-26
    0.667252      2.5495545E-26
    0.673924      2.5477565E-26
    0.680664      2.6432068E-26
    0.687470      2.9002753E-26
    0.694345      3.1939761E-26
    0.701288      3.6001222E-26
    0.708301      4.1743764E-26
    0.715384      5.3194296E-26
    0.722538      7.0366486E-26
    0.729764      9.9937441E-26
    0.737061      1.5910609E-25
    0.744432      2.9956598E-25
    0.751876      7.9595084E-25
    0.759395      7.9922174E-24
    0.766989      5.1451130E-23
    0.774659      1.4079438E-24
    0.782405      4.2897926E-25
    0.790229      2.0954982E-25
    0.798132      1.2426861E-25
    0.806113      8.3017578E-26
    0.814174      6.1077689E-26
    0.822316      4.5165025E-26
    0.830539      3.6353813E-26
    0.838844      2.9388073E-26
    0.847233      2.4230216E-26
    0.855705      2.0367659E-26
    0.864262      1.7609732E-26
    0.872905      1.5522912E-26
    0.881634      1.5428899E-26
    0.890450      1.6526286E-26
    0.899355      1.3270207E-26
    0.908348      1.3351035E-26
    0.917432      1.5101289E-26
    0.926606      3.4799292E-26
    0.935872      2.2513291E-26
    0.945231      4.7505984E-26
    0.954683      2.8510849E-26
    0.964230      2.3849475E-26
    0.973872      2.0441956E-26
    0.983611      1.6550346E-26
    0.993447      1.4351742E-26
    1.003382      1.2110150E-26
    1.013416      1.0307448E-26
    1.023550      8.6446811E-27
    1.033785      7.2696809E-27
    1.044123      6.5052334E-27
    1.054564      6.0720229E-27
    1.065110      6.0086373E-27
    1.075761      6.4466982E-27
    1.086519      1.3246057E-26
    1.097384      3.2738534E-26
    1.108358      6.2745858E-26
    1.119441      4.6979212E-26
    1.130636      6.5022317E-26
    1.141942      5.1742023E-26
    1.153361      5.8276814E-26
    1.164895      6.5629453E-26
    1.176544      4.5197588E-26
    1.188309      3.1088650E-26
    1.200192      2.2280958E-26
    1.212194      1.5859363E-26
    1.224316      1.2211353E-26
    1.236560      1.0244120E-26
    1.248925      9.7290401E-27
    1.261414      9.0968308E-27
    1.274028      1.1411132E-26
    1.286769      1.5513637E-26
    1.299636      2.0326387E-26
    1.312633      3.0112472E-26
    1.325759      1.4806871E-24
    1.339017      7.9899007E-25
    1.352407      6.5030431E-25
    1.365931      3.5424162E-25
    1.379590      5.6051769E-25
    1.393386      5.4190010E-25
    1.407320      6.5436800E-25
    1.421393      5.8199488E-25
    1.435607      4.7697079E-25
    1.449963      3.7567026E-25
    1.464463      2.8825154E-25
    1.479108      2.2243948E-25
    1.493899      1.7607071E-25
    1.508838      1.4192687E-25
    1.523926      1.0897626E-25
    1.539165      8.1245299E-26
    1.554557      6.2030743E-26
    1.570102      5.1642995E-26
    1.585803      5.1773098E-26
    1.601662      7.8334879E-26
    1.617678      1.0901599E-25
    1.633855      9.7015169E-26
    1.650193      8.5808088E-26
    1.666695      1.1983626E-25
    1.683362      1.1104683E-25
    1.700196      1.0787418E-25
    1.717198      1.3641404E-25
    1.734370      2.2153986E-25
    1.751714      3.6248200E-25
    1.769231      5.9087151E-25
    1.786923      8.5063214E-25
    1.804792      1.0774050E-24
    1.822840      9.1963097E-25
    1.841069      1.1102834E-24
    1.859479      1.1583078E-24
    1.878074      6.1893492E-25
    1.896855      5.9480387E-25
    1.915823      7.8636812E-25
    1.934982      8.7363982E-25
    1.954331      8.7565444E-25
    1.973875      7.3729910E-25
    1.993613      5.4873535E-25
    2.013550      3.8144842E-25
    2.033685      2.8728849E-25
    2.054022      2.0287906E-25
    2.074562      1.4903863E-25
    2.095308      1.2059881E-25
    2.116261      1.1573872E-25
    2.137423      1.3590000E-25
    2.158798      1.9356715E-25
    2.180386      3.1848916E-25
    2.202190      5.0054659E-25
    2.224211      5.1755557E-25
    2.246454      6.2250203E-25
    2.268918      7.4443214E-25
    2.291607      7.5105217E-25
    2.314523      9.8699911E-25
    2.337669      1.0154120E-24
    2.361045      9.9486748E-25
    2.384656      9.2260781E-25
    2.408502      1.0935848E-24
    2.432587      1.6799836E-24
    2.456913      3.0632581E-24
    2.481482      4.4105319E-24
    2.506297      6.1139831E-24
    2.531360      6.7010595E-24
    2.556674      6.4720270E-24
    2.582240      5.2933800E-24
    2.608063      2.9731500E-24
    2.634143      2.4281181E-24
    2.660485      8.9436831E-24
    2.687090      7.3533390E-24
    2.713961      6.4250197E-24
    2.741100      7.8638795E-24
    2.768511      6.5569741E-24
    2.796196      7.3025987E-24
    2.824158      8.0718312E-24
    2.852400      6.3442696E-24
    2.880924      5.9718253E-24
    2.909733      5.3110319E-24
    2.938830      4.2893792E-24
    2.968219      3.7044918E-24
    2.997901      3.0345228E-24
    3.027880      3.3896053E-24
    3.058159      4.2242285E-24
    3.088740      6.4388799E-24
    3.119628      8.7331450E-24
    3.150824      9.8332268E-24
    3.182332      9.4334826E-24
    3.214156      7.2220169E-24
    3.246297      4.8249237E-24
    3.278760      6.9159971E-24
    3.311548      2.3027924E-23
    3.344663      8.8243185E-24
    3.378110      5.2197156E-24
    3.411891      6.0218108E-24
    3.446010      5.6691526E-24
    3.480470      5.1632282E-24
    3.515275      4.5793469E-24
    3.550427      3.7651265E-24
    3.585932      2.6717448E-24
    3.621791      1.8530476E-24
    3.658009      1.2770564E-24
    3.694589      9.5080484E-25
    3.731535      7.3927633E-25
    3.768850      5.6228442E-25
    3.806539      4.4566737E-25
    3.844604      3.6908250E-25
    3.883050      2.8992804E-25
    3.921881      3.9025007E-25
    3.961099      2.8216935E-25
    4.000710      2.2358976E-25
    4.040718      2.5095228E-25
    4.081125      2.6275462E-25
    4.121936      2.9438567E-25
    4.163155      3.3959157E-25
    4.204787      3.6309352E-25
    4.246835      3.9593352E-25
    4.289303      5.0262215E-25
    4.332196      7.3503246E-25
    4.375518      1.6253456E-24
    4.419273      2.5641356E-24
    4.463466      4.1623277E-24
    4.508101      5.2059091E-24
    4.553182      4.7594837E-24
    4.598714      3.5574295E-24
    4.644701      1.8652599E-24
    4.691148      2.4756941E-24
    4.738059      3.3739645E-24
    4.785440      3.7251655E-24
    4.833294      3.8300038E-24
    4.881627      3.8031360E-24
    4.930443      3.7890335E-24
    4.979748      3.7615749E-24
    5.029545      3.0036385E-24
    5.079841      3.1736201E-24
    5.130639      3.9441393E-24
    5.181946      4.7374407E-24
    5.233765      4.6477751E-24
    5.286103      4.7273326E-24
    5.338964      5.8718853E-24
    5.392353      6.6943273E-24
    5.446277      5.8926235E-24
    5.500740      7.7213376E-24
    5.555747      7.5226084E-24
    5.611304      7.8943111E-24
    5.667418      8.6948122E-24
    5.724092      8.4677262E-24
    5.781333      8.4796035E-24
    5.839146      8.3004957E-24
    5.897537      7.4898089E-24
    5.956513      4.2121801E-24
    6.016078      6.9298792E-24
    6.076239      3.5198444E-24
    6.137001      3.6077511E-24
    6.198371      2.3403130E-24
    6.260355      1.9720309E-24
    6.322958      2.9466362E-24
    6.386188      8.5296743E-24
    6.450050      1.4124939E-23
    6.514550      1.5738915E-23
    6.579696      2.6213849E-23
    6.645493      1.4495089E-23
    6.711948      1.1918765E-23
    6.779067      1.6312816E-23
    6.846858      1.0644649E-23
    6.915326      1.1105727E-23
    6.984480      1.4868046E-23
    7.054324      1.2410251E-23
    7.124868      1.4476855E-23
    7.196116      1.5997285E-23
    7.268078      1.7865263E-23
    7.340758      1.5181171E-23
    7.414166      2.0189178E-23
    7.488308      1.3628079E-23
    7.563191      1.4714499E-23
    7.638823      1.5919462E-23
    7.715211      1.9323933E-23
    7.792363      1.7922884E-23
    7.870286      1.4003976E-23
    7.948989      1.2072296E-23
    8.028479      1.0489918E-23
    8.108764      1.1442172E-23
    8.189852      8.6661901E-24
    8.271750      8.8061513E-24
    8.354468      6.7357150E-24
    8.438012      6.8307400E-24
    8.522393      5.0200512E-24
    8.607616      4.5748456E-24
    8.693693      4.1161401E-24
    8.780630      3.1966865E-24
    8.868436      2.8011559E-24
    8.957120      2.5185673E-24
    9.046691      2.1706422E-24
    9.137158      1.7557360E-24
    9.228530      1.5788487E-24
    9.320815      2.3199603E-24
    9.414023      1.6956237E-24
    9.508164      1.3334898E-24
    9.603245      1.0408216E-24
    9.699278      9.5661086E-25
    9.796270      2.9208212E-24
    9.894233      1.0593326E-24
    9.993175      1.3144558E-24
   10.093107      9.6875445E-25
   10.194038      1.3359523E-24
   10.295979      2.7731631E-24
   10.398938      2.1681074E-24
   10.502928      2.1512681E-24
   10.607957      2.3287425E-24
   10.714037      2.0648348E-24
   10.821177      3.8485464E-24
   10.929389      6.1328262E-24
   11.038683      2.0502446E-24
   11.149070      2.4230602E-24
   11.260560      2.0131908E-24
   11.373166      2.6644388E-24
   11.486898      3.7026367E-24
   11.601766      3.0302246E-24
   11.717784      4.6671668E-24
   11.834962      3.0365831E-24
   11.953312      3.7883689E-24
   12.072845      4.5433719E-24
   12.193573      4.6642005E-24
   12.315509      6.2512950E-24
   12.438664      7.2402152E-24
   12.563051      6.5371593E-24
   12.688681      7.3554376E-24
   12.815568      5.7071930E-24
   12.943724      8.9238349E-24
   13.073161      9.2466409E-24
   13.203892      1.2924665E-23
   13.335931      1.0934260E-23
   13.469291      1.2581177E-23
   13.603984      1.4390636E-23
   13.740023      1.3096432E-23
   13.877424      1.3166526E-23
   14.016198      9.8003182E-24
   14.156360      1.8962866E-23
   14.297924      1.6562442E-23
   14.440903      1.3595739E-23
   14.585312      1.8438572E-23
   14.731165      2.4002381E-23
   14.878477      1.7492742E-23
   15.027261      2.4647581E-23
   15.177534      1.2648024E-23
   15.329309      2.6372410E-23
   15.482602      2.9066278E-23
   15.637428      3.0222315E-23
   15.793803      1.5644621E-23
   15.951741      2.9913270E-23
   16.111258      3.0662450E-23
   16.272371      3.0078852E-23
   16.435094      2.6345704E-23
   16.599445      3.0454950E-23
   16.765440      2.2902179E-23
