# Pressure:     1.000E-05 Ba
# Temperature:   3750.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.0756282E-32
    0.505000      1.0323545E-32
    0.510050      9.9084695E-33
    0.515150      9.5103208E-33
    0.520302      9.1283941E-33
    0.525505      8.7620152E-33
    0.530760      8.4105388E-33
    0.536068      8.0733470E-33
    0.541428      7.7498482E-33
    0.546843      7.4394762E-33
    0.552311      7.1416884E-33
    0.557834      6.8559656E-33
    0.563413      6.5818104E-33
    0.569047      6.3187464E-33
    0.574737      6.0663172E-33
    0.580484      5.8240859E-33
    0.586289      4.6058270E-31
    0.592152      5.3685597E-33
    0.598074      5.1544793E-33
    0.604054      4.9490246E-33
    0.610095      4.7518427E-33
    0.616196      4.5625956E-33
    0.622358      4.3809593E-33
    0.628582      4.2066235E-33
    0.634867      4.0392905E-33
    0.641216      3.8786753E-33
    0.647628      3.7245045E-33
    0.654104      3.5765162E-33
    0.660645      3.4344592E-33
    0.667252      3.2980927E-33
    0.673924      3.1671861E-33
    0.680664      3.0415180E-33
    0.687470      2.9208763E-33
    0.694345      2.8050576E-33
    0.701288      2.6938668E-33
    0.708301      2.5871170E-33
    0.715384      2.4846288E-33
    0.722538      2.3862302E-33
    0.729764      2.2917563E-33
    0.737061      2.2010490E-33
    0.744432      2.1139565E-33
    0.751876      2.0303333E-33
    0.759395      1.9500398E-33
    0.766989      2.0588438E-32
    0.774659      1.7989122E-33
    0.782405      1.7278265E-33
    0.790229      1.6595669E-33
    0.798132      1.5940200E-33
    0.806113      1.5310772E-33
    0.814174      1.9354310E-33
    0.822316      1.4125905E-33
    0.830539      1.3568505E-33
    0.838844      1.3033218E-33
    0.847233      1.2519161E-33
    0.855705      1.2025485E-33
    0.864262      1.1551375E-33
    0.872905      1.1096051E-33
    0.881634      1.0658762E-33
    0.890450      1.0238789E-33
    0.899355      9.8354416E-34
    0.908348      9.4480570E-34
    0.917432      9.0759992E-34
    0.926606      8.7186577E-34
    0.935872      8.3754467E-34
    0.945231      8.0458037E-34
    0.954683      7.7291891E-34
    0.964230      7.4250848E-34
    0.973872      7.1329934E-34
    0.983611      6.8524377E-34
    0.993447      6.5829594E-34
    1.003382      6.3241186E-34
    1.013416      6.0754931E-34
    1.023550      5.8366775E-34
    1.033785      5.6072828E-34
    1.044123      5.4941717E-34
    1.054564      5.1752762E-34
    1.065110      4.9719615E-34
    1.075761      4.7766603E-34
    1.086519      4.5890555E-34
    1.097384      4.4088421E-34
    1.108358      4.2357277E-34
    1.119441      4.0694314E-34
    1.130636      4.3320962E-34
    1.141942      3.7562245E-34
    1.153361      3.6088064E-34
    1.164895      4.4720484E-34
    1.176544      7.8183967E-31
    1.188309      3.2004551E-34
    1.200192      3.0749048E-34
    1.212194      2.9542924E-34
    1.224316      2.8384230E-34
    1.236560      2.9431660E-34
    1.248925      3.3424374E-34
    1.261414      2.5174375E-34
    1.274028      2.4187408E-34
    1.286769      2.3239224E-34
    1.299636      2.2328294E-34
    1.312633      2.1453150E-34
    1.325759      4.4289710E-34
    1.339017      2.5719441E-34
    1.352407      2.1099818E-34
    1.365931      2.3689743E-34
    1.379590      1.9548032E-34
    1.393386      2.6023957E-34
    1.407320      2.6596530E-34
    1.421393      2.4081543E-34
    1.435607      2.7584690E-34
    1.449963      2.1872507E-34
    1.464463      2.4417369E-34
    1.479108      1.8207759E-34
    1.493899      1.7734578E-34
    1.508838      1.7231733E-34
    1.523926      1.4950941E-34
    1.539165      1.4658548E-34
    1.554557      1.7062756E-28
    1.570102      2.2581959E-28
    1.585803      6.0044541E-29
    1.601662      1.4943925E-28
    1.617678      3.2924442E-28
    1.633855      2.1600422E-28
    1.650193      1.0433455E-28
    1.666695      8.5160978E-29
    1.683362      1.0544330E-28
    1.700196      7.4910142E-29
    1.717198      3.1754659E-29
    1.734370      2.7868831E-29
    1.751714      2.8563379E-29
    1.769231      1.6019719E-29
    1.786923      8.5621011E-30
    1.804792      6.7684539E-30
    1.822840      5.1080182E-30
    1.841069      2.6074228E-30
    1.859479      1.8106134E-30
    1.878074      1.4935938E-30
    1.896855      9.0617544E-31
    1.915823      4.9455342E-31
    1.934982      4.4588691E-31
    1.954331      2.7720043E-31
    1.973875      1.4928204E-31
    1.993613      1.2574408E-31
    2.013550      7.0501284E-32
    2.033685      4.7120140E-32
    2.054022      3.5947105E-32
    2.074562      1.9359241E-32
