# Pressure:     1.000E-01 Ba
# Temperature:   1600.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      2.1011446E-29
    0.505000      2.2869285E-29
    0.510050      2.7854204E-29
    0.515150      2.3795218E-29
    0.520302      2.6731022E-29
    0.525505      3.2856543E-29
    0.530760      5.8974384E-29
    0.536068      5.1103796E-29
    0.541428      6.4268852E-29
    0.546843      8.2340912E-29
    0.552311      1.0992438E-28
    0.557834      1.5290394E-28
    0.563413      2.8799410E-28
    0.569047      4.5680108E-28
    0.574737      1.1257173E-27
    0.580484      5.6273253E-27
    0.586289      8.7532688E-23
    0.592152      3.5094771E-27
    0.598074      9.3786815E-28
    0.604054      4.5947704E-28
    0.610095      2.8214187E-28
    0.616196      1.7924836E-28
    0.622358      1.4211383E-28
    0.628582      1.0849686E-28
    0.634867      9.4262794E-29
    0.641216      1.2516840E-28
    0.647628      1.1525192E-28
    0.654104      1.1507771E-28
    0.660645      1.0094960E-28
    0.667252      8.1847776E-29
    0.673924      8.0205783E-29
    0.680664      7.4916731E-29
    0.687470      4.0737181E-28
    0.694345      1.4503032E-28
    0.701288      1.9885409E-28
    0.708301      2.9326910E-28
    0.715384      7.6627253E-28
    0.722538      6.8342338E-28
    0.729764      7.7154489E-28
    0.737061      7.4882516E-28
    0.744432      9.5261996E-28
    0.751876      1.7897938E-27
    0.759395      1.3687841E-26
    0.766989      2.3594211E-23
    0.774659      3.1596407E-27
    0.782405      9.9467802E-28
    0.790229      5.4445178E-28
    0.798132      4.6489101E-28
    0.806113      1.3667343E-27
    0.814174      1.6659318E-27
    0.822316      9.8924567E-28
    0.830539      9.3844093E-28
    0.838844      8.7982990E-28
    0.847233      7.2309774E-28
    0.855705      4.8958522E-28
    0.864262      3.8599656E-28
    0.872905      3.1687553E-28
    0.881634      5.1631153E-28
    0.890450      1.9003740E-27
    0.899355      8.9382493E-28
    0.908348      1.8429270E-27
    0.917432      3.2980068E-27
    0.926606      1.3580784E-26
    0.935872      7.7157066E-27
    0.945231      2.4834829E-26
    0.954683      1.1341899E-26
    0.964230      9.6811760E-27
    0.973872      8.4408084E-27
    0.983611      5.8041453E-27
    0.993447      4.3236776E-27
    1.003382      3.2469767E-27
    1.013416      2.5146882E-27
    1.023550      1.9673260E-27
    1.033785      1.4387243E-27
    1.044123      1.1642309E-27
    1.054564      1.0187782E-27
    1.065110      9.6203251E-28
    1.075761      1.0381456E-27
    1.086519      4.8118391E-27
    1.097384      1.3960325E-26
    1.108358      2.8701926E-26
    1.119441      2.0701268E-26
    1.130636      2.9087496E-26
    1.141942      2.0279689E-26
    1.153361      2.1773392E-26
    1.164895      3.0263677E-26
    1.176544      1.9024175E-26
    1.188309      1.4129376E-26
    1.200192      1.0214563E-26
    1.212194      7.3150484E-27
    1.224316      5.8079602E-27
    1.236560      5.2565573E-27
    1.248925      5.3332834E-27
    1.261414      4.1840086E-27
    1.274028      4.6825600E-27
    1.286769      5.9164542E-27
    1.299636      7.4860108E-27
    1.312633      1.1649205E-26
    1.325759      8.2022643E-25
    1.339017      5.3401995E-25
    1.352407      3.2153948E-25
    1.365931      1.8488216E-25
    1.379590      2.9828729E-25
    1.393386      2.9599359E-25
    1.407320      3.7151429E-25
    1.421393      3.2465432E-25
