# Pressure:     3.000E+02 Ba
# Temperature:    425.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.2705873E-29
    0.505000      3.7990776E-29
    0.510050      9.1989541E-30
    0.515150      8.6994217E-31
    0.520302      2.3627240E-30
    0.525505      2.5825661E-30
    0.530760      9.9787897E-31
    0.536068      1.0606333E-29
    0.541428      2.1101484E-29
    0.546843      9.1700277E-30
    0.552311      1.2738787E-30
    0.557834      1.4543883E-30
    0.563413      1.6545804E-29
    0.569047      2.9636186E-29
    0.574737      2.0954524E-29
    0.580484      1.7330521E-29
    0.586289      3.2984773E-28
    0.592152      2.5540646E-28
    0.598074      6.5972248E-29
    0.604054      7.2615024E-30
    0.610095      7.9698398E-31
    0.616196      3.7638659E-31
    0.622358      2.7189946E-29
    0.628582      2.6335668E-29
    0.634867      2.4390035E-29
    0.641216      1.3001974E-28
    0.647628      1.5987483E-28
    0.654104      1.2534672E-28
    0.660645      2.1847664E-29
    0.667252      2.8221384E-30
    0.673924      2.6637916E-30
    0.680664      1.3342460E-29
    0.687470      3.7955200E-28
    0.694345      3.3293046E-28
    0.701288      3.1017563E-28
    0.708301      2.4758314E-28
    0.715384      2.8067271E-27
    0.722538      2.3464895E-27
    0.729764      8.7192585E-28
    0.737061      2.2138925E-28
    0.744432      3.3678711E-29
    0.751876      6.3418217E-30
    0.759395      1.7601385E-30
    0.766989      1.2975134E-30
    0.774659      1.0312392E-29
    0.782405      2.4227995E-28
    0.790229      2.1870969E-28
    0.798132      2.9151423E-28
    0.806113      1.6854622E-27
    0.814174      2.6504512E-27
    0.822316      2.0217547E-27
    0.830539      1.2584976E-27
    0.838844      4.9575942E-28
    0.847233      4.3647806E-28
    0.855705      4.0196093E-28
    0.864262      6.0265890E-28
    0.872905      9.4832167E-28
    0.881634      2.4883899E-27
    0.890450      1.5863237E-26
    0.899355      9.1478511E-27
    0.908348      6.4240381E-27
    0.917432      3.8228347E-27
    0.926606      5.7694699E-26
    0.935872      3.2897239E-26
    0.945231      4.1146972E-26
    0.954683      2.3077251E-26
    0.964230      7.1915415E-27
    0.973872      6.2596493E-27
    0.983611      4.5691327E-27
    0.993447      4.4389920E-27
    1.003382      4.8232907E-27
    1.013416      9.8563221E-27
    1.023550      1.0552306E-26
    1.033785      7.7819431E-27
    1.044123      3.6234326E-27
    1.054564      1.2064945E-27
    1.065110      1.4181087E-27
    1.075761      1.4501539E-27
    1.086519      2.1835610E-27
    1.097384      5.8407068E-27
    1.108358      4.5494852E-26
    1.119441      9.0611985E-26
    1.130636      8.5886244E-26
    1.141942      6.1446863E-26
    1.153361      7.5751257E-26
    1.164895      6.7604016E-26
    1.176544      3.3552786E-26
    1.188309      2.0267783E-26
    1.200192      1.7626574E-26
    1.212194      1.6732408E-26
    1.224316      9.0990978E-27
    1.236560      3.6205712E-27
    1.248925      3.5616041E-27
    1.261414      1.9958067E-27
    1.274028      5.6242787E-27
    1.286769      1.2253512E-26
    1.299636      1.8298195E-26
    1.312633      2.4921571E-26
    1.325759      5.0925860E-26
    1.339017      3.9093019E-25
    1.352407      1.5538221E-24
    1.365931      7.6879935E-25
    1.379590      1.1567690E-24
    1.393386      9.4585393E-25
    1.407320      5.9215756E-25
    1.421393      3.1150726E-25
    1.435607      1.8498900E-25
    1.449963      7.8215988E-26
    1.464463      1.4602099E-25
