# Pressure:     3.000E-04 Ba
# Temperature:   1900.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      6.5318000E-30
    0.505000      5.7303756E-30
    0.510050      5.8585489E-30
    0.515150      3.8153649E-30
    0.520302      2.5462312E-30
    0.525505      2.7859140E-30
    0.530760      3.3741914E-30
    0.536068      4.0559483E-30
    0.541428      5.0415715E-30
    0.546843      4.7682045E-30
    0.552311      4.0852215E-30
    0.557834      3.1761575E-30
    0.563413      9.3003405E-30
    0.569047      8.0874449E-30
    0.574737      1.2871462E-29
    0.580484      4.2470193E-29
    0.586289      5.1096520E-24
    0.592152      6.2100101E-29
    0.598074      5.0071109E-29
    0.604054      3.5794654E-29
    0.610095      2.4695507E-29
    0.616196      2.8473997E-29
    0.622358      3.2181984E-29
    0.628582      2.6747339E-29
    0.634867      2.8020678E-29
    0.641216      6.1857517E-29
    0.647628      6.4417517E-29
    0.654104      6.6243600E-29
    0.660645      6.0331381E-29
    0.667252      4.6972466E-29
    0.673924      4.6866763E-29
    0.680664      3.6107543E-29
    0.687470      1.8768321E-28
    0.694345      8.6369803E-29
    0.701288      1.2930432E-28
    0.708301      2.0663591E-28
    0.715384      6.0391559E-28
    0.722538      4.9523265E-28
    0.729764      5.3162916E-28
    0.737061      4.4851468E-28
    0.744432      4.3796094E-28
    0.751876      3.7780469E-28
    0.759395      2.8172909E-28
    0.766989      5.3640402E-25
    0.774659      2.0649912E-28
    0.782405      2.1899573E-28
    0.790229      1.9485740E-28
    0.798132      2.7433152E-28
    0.806113      1.1661382E-27
    0.814174      9.2607285E-28
    0.822316      9.1967851E-28
    0.830539      8.8256922E-28
    0.838844      9.4829722E-28
    0.847233      8.5176171E-28
    0.855705      6.1386482E-28
    0.864262      4.9555167E-28
    0.872905      4.0896275E-28
    0.881634      6.0253323E-28
    0.890450      1.7690651E-27
    0.899355      8.9290158E-28
    0.908348      1.8088414E-27
    0.917432      3.2046761E-27
    0.926606      1.1909995E-26
    0.935872      7.2465522E-27
    0.945231      2.1980283E-26
    0.954683      1.0089578E-26
    0.964230      1.0042043E-26
    0.973872      9.4174348E-27
    0.983611      6.8736482E-27
    0.993447      5.5401805E-27
    1.003382      4.4492888E-27
    1.013416      3.5956111E-27
    1.023550      2.9308892E-27
    1.033785      2.1737782E-27
    1.044123      1.7415994E-27
    1.054564      1.4830356E-27
    1.065110      1.3315263E-27
    1.075761      1.3822262E-27
    1.086519      6.0748692E-27
    1.097384      1.4998125E-26
    1.108358      2.7730547E-26
    1.119441      2.0023780E-26
    1.130636      2.8202153E-26
    1.141942      2.1655833E-26
    1.153361      2.2758914E-26
    1.164895      2.7797262E-26
    1.176544      2.2423221E-26
    1.188309      1.8558990E-26
    1.200192      1.4103052E-26
    1.212194      1.0511079E-26
    1.224316      8.4441936E-27
    1.236560      6.5129892E-27
    1.248925      5.5826511E-27
    1.261414      6.0074412E-27
    1.274028      6.1057539E-27
    1.286769      6.9188677E-27
    1.299636      8.8761037E-27
    1.312633      1.3899272E-26
    1.325759      7.2546301E-25
    1.339017      5.3143883E-25
    1.352407      2.7618126E-25
    1.365931      1.7452963E-25
    1.379590      2.5067709E-25
    1.393386      2.7299463E-25
    1.407320      3.5320842E-25
    1.421393      3.2506626E-25
    1.435607      2.8355001E-25
    1.449963      2.6684752E-25
    1.464463      2.0292801E-25
    1.479108      1.6331803E-25
    1.493899      1.3245598E-25
    1.508838      1.1307124E-25
    1.523926      8.9856624E-26
    1.539165      7.1217729E-26
    1.554557      5.6459071E-26
    1.570102      4.2257666E-26
    1.585803      3.2306818E-26
    1.601662      2.4864874E-26
    1.617678      2.0491120E-26
    1.633855      1.6359067E-26
    1.650193      1.4361266E-26
    1.666695      1.1883612E-26
    1.683362      1.6324762E-26
    1.700196      2.9564938E-26
    1.717198      6.8391116E-26
    1.734370      1.1933592E-25
    1.751714      2.0006530E-25
    1.769231      3.2232327E-25
    1.786923      4.4629717E-25
    1.804792      5.7572257E-25
    1.822840      5.0609393E-25
    1.841069      6.4859257E-25
    1.859479      5.8649177E-25
    1.878074      3.9943068E-25
    1.896855      3.5379718E-25
    1.915823      3.8774576E-25
    1.934982      4.8871736E-25
    1.954331      5.2697337E-25
    1.973875      4.9564380E-25
    1.993613      4.3365562E-25
    2.013550      3.2783205E-25
    2.033685      2.6158135E-25
    2.054022      1.9303913E-25
    2.074562      1.3292754E-25
    2.095308      9.2573601E-26
    2.116261      6.3932954E-26
    2.137423      4.6819838E-26
    2.158798      3.7949753E-26
    2.180386      3.3619375E-26
    2.202190      3.3264898E-26
    2.224211      3.6842370E-26
    2.246454      3.4186023E-26
    2.268918      4.0760625E-26
    2.291607      1.3006539E-25
    2.314523      2.2920371E-25
    2.337669      1.8190575E-25
    2.361045      2.1593267E-25
    2.384656      3.2563211E-25
    2.408502      5.1836946E-25
    2.432587      8.6317689E-25
    2.456913      1.8390717E-24
    2.481482      2.2749396E-24
    2.506297      2.9927649E-24
    2.531360      3.3589982E-24
    2.556674      3.3617002E-24
    2.582240      2.5813664E-24
    2.608063      1.6937294E-24
    2.634143      1.1272441E-24
    2.660485      3.7034758E-24
    2.687090      3.6790719E-24
    2.713961      3.8644470E-24
    2.741100      4.0103079E-24
    2.768511      3.2352801E-24
    2.796196      3.8165695E-24
    2.824158      4.2203893E-24
    2.852400      3.6563614E-24
    2.880924      3.4255716E-24
    2.909733      3.7279094E-24
    2.938830      3.0296063E-24
    2.968219      2.6050602E-24
    2.997901      2.0538017E-24
    3.027880      1.9920039E-24
    3.058159      1.4419630E-24
    3.088740      1.2250281E-24
    3.119628      1.0220090E-24
    3.150824      8.1586337E-25
    3.182332      7.2956108E-25
    3.214156      5.4796841E-25
    3.246297      4.6579303E-25
    3.278760      3.9828377E-25
    3.311548      3.3383700E-25
    3.344663      3.3320681E-25
    3.378110      3.0528671E-25
    3.411891      2.6115294E-25
    3.446010      2.4205517E-25
    3.480470      2.1605621E-25
    3.515275      1.8834015E-25
    3.550427      1.5899284E-25
    3.585932      1.3710087E-25
    3.621791      1.0753962E-25
    3.658009      9.3340544E-26
    3.694589      7.3430183E-26
    3.731535      6.6915664E-26
    3.768850      5.4711200E-26
    3.806539      5.2958270E-26
    3.844604      6.7697879E-26
    3.883050      4.3321381E-26
    3.921881      1.1540244E-25
    3.961099      6.2939960E-26
    4.000710      8.5761870E-26
    4.040718      1.2574493E-25
    4.081125      1.6118831E-25
    4.121936      1.8522060E-25
    4.163155      2.1910644E-25
    4.204787      2.3821992E-25
    4.246835      2.5610490E-25
    4.289303      3.9048666E-25
    4.332196      1.0907825E-24
    4.375518      3.2425205E-24
    4.419273      4.2870116E-24
    4.463466      8.0638637E-24
    4.508101      7.9999541E-24
    4.553182      9.7894167E-24
    4.598714      7.9394048E-24
    4.644701      4.6418023E-24
    4.691148      5.0528070E-24
    4.738059      5.5267346E-24
    4.785440      5.1163847E-24
    4.833294      4.9604744E-24
    4.881627      5.3165287E-24
    4.930443      5.2488727E-24
    4.979748      4.8532462E-24
    5.029545      4.3786629E-24
    5.079841      3.6603840E-24
    5.130639      3.4162409E-24
    5.181946      3.3997598E-24
    5.233765      4.0027055E-24
