# Pressure:     1.000E+02 Ba
# Temperature:   3250.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.6096210E-26
    0.505000      1.8394576E-26
    0.510050      2.1126768E-26
    0.515150      2.4318927E-26
    0.520302      2.8147438E-26
    0.525505      3.3260402E-26
    0.530760      4.1411635E-26
    0.536068      5.0497003E-26
    0.541428      6.3700898E-26
    0.546843      8.3954471E-26
    0.552311      1.1427552E-25
    0.557834      1.7350028E-25
    0.563413      2.7620599E-25
    0.569047      4.8786610E-25
    0.574737      1.0994706E-24
    0.580484      6.4344580E-24
    0.586289      1.0735432E-22
    0.592152      2.7977280E-24
    0.598074      9.3746986E-25
    0.604054      4.2015851E-25
    0.610095      2.4574934E-25
    0.616196      1.6642409E-25
    0.622358      1.2345112E-25
    0.628582      9.3995034E-26
    0.634867      7.3713502E-26
    0.641216      6.2953149E-26
    0.647628      5.3965362E-26
    0.654104      4.8243059E-26
    0.660645      4.3692001E-26
    0.667252      4.1025379E-26
    0.673924      3.9919076E-26
    0.680664      3.9222859E-26
    0.687470      4.6095760E-26
    0.694345      4.2953237E-26
    0.701288      4.5737963E-26
    0.708301      5.1284986E-26
    0.715384      6.1469668E-26
    0.722538      7.9379052E-26
    0.729764      1.0997037E-25
    0.737061      1.6686090E-25
    0.744432      3.1030636E-25
    0.751876      8.5888753E-25
    0.759395      8.7077449E-24
    0.766989      3.5077861E-23
    0.774659      1.3291196E-24
    0.782405      4.2247659E-25
    0.790229      2.0535853E-25
    0.798132      1.2359835E-25
    0.806113      8.4949615E-26
    0.814174      1.5377030E-25
    0.822316      5.1132069E-26
    0.830539      3.6522177E-26
    0.838844      3.0198301E-26
    0.847233      2.5978995E-26
    0.855705      2.1015034E-26
    0.864262      1.8229214E-26
    0.872905      1.6166730E-26
    0.881634      1.4625432E-26
    0.890450      1.3713151E-26
    0.899355      1.1803302E-26
    0.908348      1.1698618E-26
    0.917432      1.2011664E-26
    0.926606      1.6482532E-26
    0.935872      1.4308186E-26
    0.945231      1.7844780E-26
    0.954683      1.5530781E-26
    0.964230      1.5930824E-26
    0.973872      1.6355512E-26
    0.983611      1.4631363E-26
    0.993447      1.3548649E-26
    1.003382      1.2854689E-26
    1.013416      1.2883364E-26
    1.023550      1.2265447E-26
    1.033785      1.0863150E-26
    1.044123      9.9506568E-27
    1.054564      9.1126467E-27
    1.065110      8.7880902E-27
    1.075761      8.8473574E-27
