# Pressure:     3.000E-03 Ba
# Temperature:    260.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.3582894E-29
    0.505000      3.5656949E-29
    0.510050      3.5127121E-30
    0.515150      2.2214727E-31
    0.520302      2.3697091E-30
    0.525505      2.6058409E-30
    0.530760      6.7749363E-31
    0.536068      6.7877595E-30
    0.541428      2.4117870E-29
    0.546843      5.3692948E-30
    0.552311      3.0037909E-31
    0.557834      1.1499007E-30
    0.563413      1.0537182E-29
    0.569047      3.1175544E-29
    0.574737      1.4780557E-29
    0.580484      9.2723634E-30
    0.586289      3.2036964E-28
    0.592152      2.0624172E-28
    0.598074      2.4853793E-29
    0.604054      1.0898994E-30
    0.610095      1.1359800E-31
    0.616196      8.9263249E-32
    0.622358      1.7937323E-29
    0.628582      2.1479224E-29
    0.634867      1.6367806E-29
    0.641216      6.8067221E-29
    0.647628      1.4223867E-28
    0.654104      7.5338081E-29
    0.660645      7.4321888E-30
    0.667252      4.3230600E-31
    0.673924      1.1512865E-30
    0.680664      9.9096451E-30
    0.687470      2.3149464E-28
    0.694345      3.4728820E-28
    0.701288      2.1898054E-28
    0.708301      1.5864968E-28
    0.715384      2.4376524E-27
    0.722538      2.1334541E-27
    0.729764      3.6637978E-28
    0.737061      6.9783528E-29
    0.744432      5.2283457E-30
    0.751876      1.4863939E-30
    0.759395      2.4006843E-31
    0.766989      2.3607233E-31
    0.774659      1.7581999E-30
    0.782405      1.3331310E-28
    0.790229      1.4421851E-28
    0.798132      2.2062375E-28
    0.806113      7.6823085E-28
    0.814174      1.2102331E-27
    0.822316      1.1701608E-27
    0.830539      5.2938688E-28
    0.838844      3.6259066E-28
    0.847233      3.2822286E-28
    0.855705      3.4769330E-28
    0.864262      5.0475848E-28
    0.872905      8.5616418E-28
    0.881634      1.3990239E-27
    0.890450      1.6518644E-26
    0.899355      1.0005607E-26
    0.908348      5.0962533E-27
    0.917432      1.7360557E-27
    0.926606      4.1918963E-26
    0.935872      2.2034836E-26
    0.945231      2.2947697E-26
    0.954683      1.2323002E-26
    0.964230      3.8696832E-27
    0.973872      3.7125100E-27
    0.983611      4.5523753E-27
    0.993447      4.7309604E-27
    1.003382      4.4214400E-27
    1.013416      9.7193881E-27
    1.023550      1.4337068E-26
    1.033785      8.6451033E-27
    1.044123      2.7183687E-27
    1.054564      7.3502771E-28
    1.065110      1.1603597E-27
    1.075761      1.3798588E-27
    1.086519      1.4967466E-27
    1.097384      2.6050311E-27
    1.108358      1.8471011E-26
    1.119441      6.4102841E-26
    1.130636      7.3232681E-26
    1.141942      3.6335076E-26
    1.153361      6.1143865E-26
    1.164895      8.0784315E-26
    1.176544      3.7040646E-26
    1.188309      1.5067779E-26
    1.200192      1.9021588E-26
    1.212194      2.0892544E-26
    1.224316      9.4230031E-27
    1.236560      2.0301239E-27
    1.248925      2.8397641E-27
    1.261414      1.8542874E-27
    1.274028      3.5013100E-27
    1.286769      1.1867873E-26
    1.299636      1.6270005E-26
    1.312633      2.1969144E-26
    1.325759      3.9218425E-26
    1.339017      9.7882646E-26
    1.352407      8.0440966E-25
    1.365931      5.7635982E-25
    1.379590      7.3763972E-25
    1.393386      5.7451405E-25
    1.407320      2.2780297E-25
    1.421393      1.2613022E-25
    1.435607      1.1228355E-25
    1.449963      4.9742893E-26
    1.464463      8.7768978E-26
    1.479108      1.3304567E-25
    1.493899      2.0217299E-25
    1.508838      2.1735255E-25
    1.523926      9.4658302E-26
    1.539165      4.7410667E-26
    1.554557      1.1710931E-26
    1.570102      5.0683526E-27
    1.585803      3.0604058E-27
    1.601662      3.1961106E-27
    1.617678      2.6609100E-26
    1.633855      1.3201189E-25
    1.650193      1.0529375E-25
    1.666695      8.5427762E-26
    1.683362      1.1431029E-25
    1.700196      1.6311131E-25
    1.717198      1.2901627E-25
    1.734370      7.4339933E-26
    1.751714      4.0681779E-26
    1.769231      8.7312897E-26
    1.786923      1.3159719E-25
    1.804792      2.7619823E-25
    1.822840      7.2985681E-25
    1.841069      9.3646600E-25
    1.859479      1.3150522E-24
    1.878074      2.8213155E-25
    1.896855      5.9797767E-25
    1.915823      3.5015930E-25
    1.934982      2.8822915E-25
    1.954331      3.3691669E-25
    1.973875      3.2927377E-25
    1.993613      2.7123447E-25
    2.013550      1.3093347E-25
    2.033685      3.0864913E-26
    2.054022      1.0821317E-26
    2.074562      3.5135106E-27
    2.095308      1.0250888E-27
    2.116261      4.0953238E-27
    2.137423      1.9572038E-26
    2.158798      9.6979206E-26
    2.180386      1.5018032E-25
    2.202190      3.4971952E-25
    2.224211      7.4850721E-25
    2.246454      1.2739096E-24
    2.268918      1.4180576E-24
    2.291607      1.5157223E-24
    2.314523      1.2199918E-24
    2.337669      1.5624277E-24
    2.361045      1.7064267E-24
    2.384656      5.5483408E-25
    2.408502      2.7204423E-25
    2.432587      1.3457660E-25
    2.456913      8.0758611E-26
    2.481482      1.1860413E-25
    2.506297      3.6490690E-25
    2.531360      9.4019214E-25
    2.556674      5.1791819E-24
    2.582240      9.9567976E-24
    2.608063      6.6075114E-24
    2.634143      3.1904712E-24
    2.660485      8.0805916E-24
    2.687090      4.4163097E-24
    2.713961      4.1850630E-24
    2.741100      5.2585162E-24
    2.768511      1.7437304E-24
    2.796196      8.5629714E-25
    2.824158      9.4450321E-25
    2.852400      6.1890876E-25
    2.880924      7.3612633E-25
    2.909733      6.2119334E-25
    2.938830      6.1180985E-25
    2.968219      3.2163401E-25
    2.997901      3.9014550E-25
    3.027880      3.9563381E-25
    3.058159      2.7088607E-25
    3.088740      3.8886543E-25
    3.119628      3.0518863E-25
    3.150824      1.0081812E-24
    3.182332      5.6321109E-24
    3.214156      6.0261341E-24
    3.246297      5.9727933E-24
    3.278760      4.5273949E-24
    3.311548      4.7314077E-24
    3.344663      4.8295276E-24
    3.378110      5.8975488E-24
    3.411891      2.9508687E-24
    3.446010      1.2669501E-24
    3.480470      5.7384814E-25
    3.515275      9.6654236E-25
    3.550427      6.8727166E-25
    3.585932      4.4466106E-25
    3.621791      2.9241720E-25
    3.658009      1.8062601E-25
    3.694589      2.4965785E-25
    3.731535      1.2443096E-25
    3.768850      1.2181266E-25
    3.806539      5.3828317E-26
    3.844604      1.4012504E-25
    3.883050      8.1368483E-26
    3.921881      6.9448970E-26
    3.961099      5.2955699E-26
    4.000710      3.7023821E-26
    4.040718      3.1453774E-26
    4.081125      1.6689968E-26
    4.121936      8.7455999E-27
    4.163155      4.3119140E-27
    4.204787      9.7108803E-27
    4.246835      4.6641013E-27
    4.289303      2.8578013E-27
    4.332196      2.6058150E-27
    4.375518      1.9239150E-27
    4.419273      2.4659291E-27
    4.463466      1.2766883E-27
    4.508101      2.4917800E-27
    4.553182      1.3363866E-27
    4.598714      1.8794461E-27
    4.644701      6.6212546E-27
    4.691148      6.4106717E-27
    4.738059      2.1946230E-27
    4.785440      4.8821722E-27
    4.833294      4.5524305E-27
    4.881627      1.8737312E-26
    4.930443      5.4119511E-26
    4.979748      1.2025602E-25
    5.029545      3.4800158E-27
    5.079841      3.8448908E-26
    5.130639      2.2018703E-25
    5.181946      5.7284293E-25
    5.233765      1.7932436E-25
    5.286103      5.9395872E-26
