# Pressure:     1.000E-02 Ba
# Temperature:    280.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      4.5415295E-29
    0.505000      3.4705539E-29
    0.510050      4.4383227E-30
    0.515150      2.8113965E-31
    0.520302      2.4210668E-30
    0.525505      2.6827229E-30
    0.530760      7.4317849E-31
    0.536068      7.5608609E-30
    0.541428      2.4230818E-29
    0.546843      5.7844207E-30
    0.552311      3.7578722E-31
    0.557834      1.2622864E-30
    0.563413      1.1484417E-29
    0.569047      3.1345174E-29
    0.574737      1.5651710E-29
    0.580484      1.0590989E-29
    0.586289      3.2102745E-28
    0.592152      2.1717393E-28
    0.598074      3.0964788E-29
    0.604054      1.4722022E-30
    0.610095      1.3594945E-31
    0.616196      1.1347566E-31
    0.622358      1.8964348E-29
    0.628582      2.1592654E-29
    0.634867      1.8195511E-29
    0.641216      7.6655290E-29
    0.647628      1.4644098E-28
    0.654104      8.0998040E-29
    0.660645      9.0077048E-30
    0.667252      6.2002140E-31
    0.673924      1.3490679E-30
    0.680664      1.1134299E-29
    0.687470      2.4839893E-28
    0.694345      3.4225839E-28
    0.701288      2.3355068E-28
    0.708301      1.6891563E-28
    0.715384      2.5352278E-27
    0.722538      2.1726673E-27
    0.729764      4.1156543E-28
    0.737061      8.6121298E-29
    0.744432      7.1280726E-30
    0.751876      1.7743525E-30
    0.759395      3.3835594E-31
    0.766989      3.0490991E-31
    0.774659      2.5319731E-30
    0.782405      1.4854279E-28
    0.790229      1.5638105E-28
    0.798132      2.3582770E-28
    0.806113      8.9200972E-28
    0.814174      1.3309098E-27
    0.822316      1.2820121E-27
    0.830539      6.1230241E-28
    0.838844      3.6760333E-28
    0.847233      3.3922712E-28
    0.855705      3.5144754E-28
    0.864262      5.1198324E-28
    0.872905      8.6292834E-28
    0.881634      1.4738904E-27
    0.890450      1.6522518E-26
    0.899355      1.0079363E-26
    0.908348      5.2948423E-27
    0.917432      1.9471312E-27
    0.926606      4.6040212E-26
    0.935872      2.3890750E-26
    0.945231      2.6104774E-26
    0.954683      1.4587661E-26
    0.964230      4.3424510E-27
